0: [[7, 11, 35, 2], [1, 3, 4, 30], [13, 5, 6, 21], [8, 27, 14, 9, 12, 29, 16, 15, 19, 17, 10], [23, 22, 25, 28], [24, 20, 26, 31, 32], [37, 33, 38, 34, 36], [46, 40, 44, 41, 39, 18], [45, 42], [43, 50, 48], [47, 54, 53, 51], [57, 49, 52], [56, 55, 58, 59, 60]]
1: [[7, 11, 35, 2], [1, 3, 4, 30], [13, 5, 6, 21], [8, 27, 14, 9], [12, 29, 16, 15, 19, 17, 10], [23, 22, 25, 28], [24, 20, 26, 31, 32], [37, 33, 38, 34, 36], [46, 40, 44, 41, 39, 18], [45, 42], [43, 50, 48], [47, 54, 53, 51], [57, 49, 52], [56, 55, 58, 59, 60]]
2: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 10, 12, 28, 8, 15, 14, 24, 16, 27, 18, 17, 19, 20], [31, 26, 25, 22, 23, 29, 34, 38, 36, 33, 32, 47, 37, 39, 43, 45, 40, 42, 41, 44, 46, 51], [50, 49, 48, 53, 57, 55, 59, 52], [56, 58, 54, 60]]
3: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 10, 15, 12, 14, 20, 8, 26, 17, 31, 16, 23, 18, 19, 25, 29, 22, 27, 24, 36, 47, 28, 46, 33, 37, 38, 34, 40, 32, 43, 41, 44, 45, 39], [42, 48, 59, 49, 51, 54, 57, 55, 60, 50, 52, 58, 53, 56]]
4: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 9, 26, 10, 12, 14, 24, 15, 17, 19, 18, 16], [20, 22, 25, 23, 27, 29, 28, 31, 40, 41, 36, 37, 38, 32, 39, 44, 42, 34, 43, 45, 46, 47, 60, 50, 52, 33, 54, 49, 51, 48, 53, 56, 55, 57, 59, 58]]
5: [[7, 11, 35, 2], [1, 3, 4, 30], [13, 5, 6, 21], [8, 27, 14], [9, 12, 29, 16, 15], [19, 17, 10, 23, 22, 25, 28, 24, 20, 26, 31, 32, 37, 33, 38, 34, 36, 46, 40, 44, 41, 39, 18, 45, 42], [43, 50, 48, 47, 54, 53, 51, 57, 49, 52, 56, 55, 58, 59, 60]]
6: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 26, 10, 12, 14, 24, 15, 17, 16, 18, 19], [20, 22, 25, 23, 27, 29, 28, 31, 38, 32, 37, 34, 36, 33, 39, 44, 40, 42, 43, 41, 46, 47, 45, 58, 48, 49, 55, 50, 51, 54, 53, 52, 57, 56, 59, 60]]
7: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 24, 6], [5, 10, 12, 8, 14, 29, 15, 17, 9, 19, 18, 16, 20, 22, 23, 31, 26, 25, 27, 28, 32, 44, 36, 37, 38, 43, 41, 46, 39, 34, 33, 40], [45, 42, 47, 51, 54, 48, 52, 60, 49, 50, 53, 55, 56, 57, 59, 58]]
8: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 8, 28], [14, 12, 10, 19, 15, 22], [16, 17, 20, 24, 29, 27, 25, 18, 23, 26, 31, 34, 32, 37, 38, 33, 41, 36, 39, 40, 58, 42, 44], [45, 46, 47, 50], [43, 48, 53, 49, 52, 59, 51, 56, 54, 57, 55, 60]]
9: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 8, 9], [28, 14, 10, 12, 22, 31, 20, 26, 16, 15], [27, 17, 19, 18, 25, 23, 24, 45, 29, 41, 37, 39, 36, 34, 32], [42, 33, 50], [43, 38, 40, 44], [49, 46, 59, 48, 54, 47, 60, 57, 53, 51, 58, 52], [55, 56]]
10: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 6, 5], [9, 10, 8, 12, 14, 19, 25, 15, 17, 31, 16, 18], [20, 23, 26, 24, 22, 27, 28, 60, 34, 37, 38, 29, 36, 47, 39, 33, 40, 54, 46, 41, 42, 44, 43, 50, 57, 32, 49, 52, 45, 55, 48, 56, 51, 58, 59, 53]]
11: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 12, 8], [10, 9, 18, 14, 24, 15, 20, 26, 23, 16], [22, 27, 17, 31, 25, 19, 28, 29, 40, 44, 32, 37, 36, 38, 33, 47, 34, 39, 46, 43, 41, 42], [50, 45, 58, 52, 48, 54, 57, 59, 49, 53, 60, 51, 55, 56]]
12: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 8, 26, 12], [14, 15, 24, 10, 19, 18, 16, 17, 28, 20, 25, 23, 22, 31, 27, 29, 36, 33, 37, 34, 32, 38, 42, 44, 40, 47, 43], [39, 46], [41, 45, 58, 48, 55, 50, 52, 51, 54, 49, 53, 57, 56, 59, 60]]
13: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 15, 6], [9, 8, 26, 28, 5, 10, 14], [18, 17, 23, 24], [31, 19, 20, 12], [22, 16, 27, 29], [25, 34, 36, 33, 32, 37, 46, 38, 47, 41, 40, 39, 42, 43], [45, 44, 51, 52, 48, 54, 56], [59, 55, 49, 50, 53, 57, 58, 60]]
14: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 21, 6], [9, 8, 15, 14, 27, 12, 17, 20, 16, 22, 23, 19, 18, 10], [24, 26, 28, 25, 29, 60, 38, 37, 40, 31, 32, 33, 34, 43], [42, 39, 46, 36, 44, 41, 45, 47, 51, 49, 53, 52, 48, 50, 54, 55, 57, 56, 59, 58]]
15: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 12, 10, 24, 14, 15, 17, 8, 16, 18, 28, 20], [22, 23, 26, 27, 25, 29, 45, 19, 32, 34, 40, 39, 31, 37, 33, 38, 36, 56, 43, 46, 41, 42, 44, 47, 53, 50, 54, 48, 49, 52, 55, 58], [59, 51, 57, 60]]
16: [[7, 11, 2, 35, 1, 3, 4], [30, 13, 21, 5, 6, 9], [8, 12, 14, 20, 10, 24, 15, 22, 18, 19, 16, 23, 31, 17, 27, 25, 26, 28, 29, 46, 32, 33, 37], [36, 38, 40, 39], [34, 43, 41, 42, 45, 44, 47, 54, 48, 52, 53, 50], [51, 55, 49, 60, 58, 59, 57, 56]]
17: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 9, 26, 12, 10, 15, 24], [14, 17, 22, 18], [19, 28, 20, 25], [23, 16, 27, 31, 29, 34, 32, 37, 33, 36, 38, 45], [44, 40, 47, 43, 39, 46, 41, 60, 58, 52, 51, 53, 50, 42, 54, 48, 55, 49, 56, 59, 57]]
18: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [12, 8, 14, 9, 16], [10, 15, 22, 20, 23, 17, 18, 24, 26, 19, 27, 25, 31], [28, 29, 32, 36, 33, 37], [38, 46, 40, 47, 34, 39, 43, 42, 41, 44], [45, 55, 48, 53, 50, 52, 57, 51, 49, 54, 56, 59, 60, 58]]
19: [[7, 11, 2, 35, 1, 3, 4, 30], [13, 21, 5, 8, 6, 27], [14, 29, 9, 10], [12, 15, 18, 16, 17, 23, 19, 22, 20, 24, 25, 26, 31, 59, 36, 37, 33, 34, 32, 44, 38, 40, 42, 47, 28, 39, 43, 50, 58, 41, 60, 54, 53, 45], [52, 46, 55, 48, 49, 56, 57, 51]]
20: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 31, 6, 8, 5, 14, 9], [10, 15, 12, 18, 16, 26, 19, 20, 22, 17, 27, 23, 25, 28, 24, 29, 34, 36, 33, 32, 37, 38, 40, 39, 43, 42, 46, 44, 41, 45, 47, 50, 56, 52, 51, 54, 49, 55, 48, 53, 57, 60, 58, 59]]
21: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 9, 10, 14, 16, 12], [18, 15, 20, 27, 23, 19, 22, 24, 25, 26], [17, 28, 31, 29, 45, 46], [32, 37, 40, 36, 33, 39, 34, 38, 42, 43], [41, 58, 44, 47, 50], [54, 52, 53, 49, 59, 48, 55, 56, 57, 51, 60]]
22: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 8, 9, 12], [14, 10, 29, 15, 18, 16, 19, 17], [20, 23, 24, 22, 28, 25, 27, 26, 44], [34, 33, 40, 32], [37, 31, 38, 41], [36, 39, 43, 42], [45, 46, 47, 48], [57, 52, 49, 50, 51, 53, 58, 54, 55, 56, 59, 60]]
23: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 12, 14], [10, 24, 27, 18, 19, 15, 16, 20, 22, 17, 23, 25, 26, 28], [29, 31], [44, 34, 36, 32], [33, 43, 37, 38, 39, 42], [56, 45, 40, 47, 41], [46, 51, 49, 48, 57, 52, 53], [50, 59], [54, 58, 55, 60]]
24: [[7, 11, 2, 35], [1, 3, 4], [30, 13, 21, 5, 6, 8, 9, 25], [10, 12, 22, 14, 27, 16, 23, 18, 15, 17, 19, 26, 28, 24, 20, 31, 29, 44, 41, 33, 32, 37, 42, 40, 38, 36, 43, 47, 45, 48, 46, 39, 34, 49, 51, 55, 58, 50, 54, 52, 60, 53, 57, 59, 56]]
25: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 26], [10, 14, 12, 24, 15, 17, 19, 18, 16, 22, 20, 23, 31], [25, 29, 27, 28], [40, 45, 37, 33, 36, 42, 39, 46], [38, 34, 43, 41, 44, 47, 54, 58, 52, 32, 50, 51, 48, 53, 49, 57, 55, 56, 59, 60]]
26: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 24], [10, 15, 14, 12], [8, 22, 26, 18, 19, 16, 31, 29, 17, 20, 23, 25, 28, 27, 40, 37, 36, 33, 32, 47, 39, 34, 45, 43, 44, 38, 41, 50, 42, 46, 60, 49, 53, 57], [54, 52, 55, 48, 51, 56, 58, 59]]
27: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21], [6, 5, 8, 12, 9, 28, 14, 31, 27, 10], [16, 29, 19, 15, 22, 17, 18, 20, 26, 23, 24, 25, 38, 41, 40, 36, 32, 44, 33, 39, 34, 37, 47, 43, 48, 42, 45, 53, 59, 46, 50, 56], [51, 52, 54, 55, 49, 58, 57, 60]]
28: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 5, 21, 6], [8, 9, 12, 10], [14, 15, 19, 22, 16, 24, 17, 20, 23, 25, 27, 29, 28, 26, 31, 37, 36, 32, 39, 38, 18], [34, 42, 33, 45], [44, 46, 40, 41, 43, 47, 51, 58, 50, 48, 49, 59, 53, 54, 52, 57, 60, 55, 56]]
29: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 10, 12, 8], [15, 14, 19, 23], [16, 31, 26, 17, 18], [20, 22, 25, 24], [27, 28, 45, 29], [32, 33, 34, 38], [37, 36, 39, 40], [43, 41, 47, 42], [46, 55, 44, 48], [51, 52], [53, 49, 54, 50, 57, 58], [59, 56, 60]]
30: [[7, 11, 2, 35], [1, 3, 4, 30, 13, 21, 5, 6, 8, 9], [29, 14, 10, 27, 12, 15, 17, 22, 18, 16, 23, 19, 31, 20, 24, 25, 28, 60], [34, 36, 32, 33, 26, 37, 44, 43, 38, 39, 40, 42], [45, 41, 46, 56, 57, 51, 52, 48, 47, 55, 54, 58, 49, 50, 59, 53]]
31: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6, 9, 24, 12], [26, 14, 15, 10, 23, 18], [17, 8, 19, 16, 29, 28, 27, 20, 31, 22, 25, 42, 36, 37, 38, 49, 45, 34, 44, 40, 39, 43, 32], [41, 46, 54, 55], [58, 47], [48, 33, 51, 50, 52, 56, 53, 57], [59, 60]]
32: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 10, 9, 12, 14, 25, 31], [15, 16, 18, 17, 19], [20, 23, 22, 26, 24, 27, 28, 29], [37, 36, 32, 39], [42, 33, 34, 38], [44, 43], [46, 45, 41, 48, 40, 47, 56, 51, 52, 49], [57, 53, 54, 50, 59, 58, 55, 60]]
33: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 6, 5, 8, 12, 10, 9, 14, 25, 15, 31, 24, 18, 22, 16, 23, 17, 19, 28, 20, 26, 27, 37, 40, 32, 29, 33, 38, 47, 43, 36, 41, 45], [39, 54, 57, 34, 42, 44, 60, 49], [53, 46, 51, 52, 55, 48, 59, 58, 50, 56]]
34: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [9, 8, 10, 25], [20, 12, 14, 15, 16, 26], [23, 17, 22, 31, 18, 19, 27, 28, 24, 29], [44, 32, 33, 36, 37, 38, 39, 47, 34, 43, 46, 41, 40, 42], [58, 45, 50, 48, 49, 55, 51, 54, 53, 56, 52, 59, 57, 60]]
35: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 5, 6], [8, 9, 10, 12], [14, 15, 16, 28], [17, 31, 24, 18], [19, 20, 22, 23, 29, 26, 27, 25, 32, 38], [34, 36], [37, 46, 33, 39, 40, 43, 56, 44, 41, 45], [42, 47, 48, 53, 52, 60, 49, 55, 54, 50, 51, 58, 57, 59]]
36: [[7, 11, 2, 35], [1, 3, 4, 30], [13, 21, 6, 12, 9, 25, 5, 8, 14, 10, 15], [16, 26, 18, 17, 20, 29, 19, 28, 22, 23, 24, 27, 34, 36, 37, 31, 33, 32, 43, 47, 38, 42, 39, 56, 40, 41, 50, 44, 45, 52, 55, 46, 57, 53, 49, 51, 48, 59, 54, 58, 60]]
