0: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
1: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
2: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
3: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
4: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
5: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
6: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
7: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
8: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
9: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
10: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
11: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
12: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
13: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
14: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
15: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
16: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
17: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
18: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
19: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
20: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
21: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
22: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
23: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
24: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
25: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
26: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
27: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
28: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
29: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
30: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
31: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
32: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
33: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
34: [[3, 18, 2, 5, 6, 10], [28, 9, 7, 24], [1, 4, 8, 12], [15, 11, 13, 17], [14, 22, 20, 19, 16, 23], [21, 29, 26, 27, 25]]
