0: [[53, 27, 35, 7, 2], [1, 3], [4, 11, 24, 12], [13, 9, 14, 6, 21], [5, 8, 16, 15, 10, 18], [19, 17, 23, 20], [22, 28, 30, 26, 25], [31, 29, 32, 37, 38], [41, 36, 34, 33, 47], [44, 43, 39, 46, 40, 42], [45, 50, 51, 56], [54, 52, 48, 55], [49, 57], [60, 58, 59]]
1: [[53, 27, 35, 7, 2], [1, 3], [4, 11, 24, 12], [13, 9, 14, 6, 21], [5, 8, 16, 15, 10, 18], [19, 17, 23, 20], [22, 28, 30, 26, 25], [31, 29, 32, 37, 38], [41, 36, 34, 33, 47], [44, 43, 39, 46, 40, 42], [45, 50, 51, 56], [54, 52, 48, 55], [49, 57], [60, 58, 59]]
2: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6], [8, 4, 14, 9, 11, 15, 18, 10], [19, 20, 17, 12, 16, 22, 23, 24, 26], [28, 31, 25, 29, 30, 60, 32, 46, 33, 36, 37, 34], [38, 40], [41, 47, 39, 42, 43, 45, 55, 51, 48, 59, 44], [56, 49, 54, 52, 58, 50, 57]]
3: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 6], [4, 9, 10, 8, 14, 12, 18, 16], [11, 30, 19, 17, 15, 23], [25, 20, 28, 26, 22, 24, 29], [31, 32, 37, 34, 44, 36, 33, 41, 46, 39], [38, 42, 40, 47, 45, 43, 54], [49, 55, 50, 48, 57, 59], [51], [52, 58, 56, 60]]
4: [[53, 27, 2, 35, 7, 1], [5, 4, 13, 21, 6, 3, 8], [9, 10, 18, 11, 14, 15, 12, 16, 19, 17, 22, 25, 23, 31, 24, 28, 30, 20, 26, 29, 32, 33, 46, 34, 37, 36, 38, 43, 41, 42], [44, 45, 39, 40, 60, 47, 48, 52], [51, 49, 57, 50, 55, 54], [56, 58, 59]]
5: [[53, 27, 2, 35, 7, 1, 5], [3, 13, 21, 6, 4], [8, 14, 9, 15, 16, 11, 23], [12, 28, 10, 17, 18, 22, 19], [20, 30, 31, 26, 29, 24], [25, 32, 37, 34, 42, 41, 33, 36], [38, 47, 39, 44, 46, 45], [43, 40, 55, 51, 52, 48, 50, 58], [57, 56, 49, 54, 59, 60]]
6: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 4, 6, 8], [9, 10, 18, 11, 14, 15], [12, 16, 19, 17, 22, 25, 23], [26, 24, 29, 28, 20, 30, 31, 32, 33, 46], [34, 47, 36, 38, 39, 41, 37], [42, 43, 44, 40, 45, 50], [49, 52, 55, 48, 57, 51], [60, 54, 56, 58, 59]]
7: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 4, 21, 6], [14, 9, 11, 8, 15, 19, 12, 16, 18, 10], [23, 17, 20, 22, 26, 28, 24, 29, 30, 25, 31, 32, 34], [39, 33, 36, 37, 38, 45, 42, 40, 41, 47, 43, 46, 44, 48, 52], [50, 54, 49, 57, 51, 59, 56, 55, 58, 60]]
8: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 4, 21, 6], [9, 8, 12, 11, 14, 15, 16, 23, 17, 18, 10], [22, 25, 19, 20], [24, 28, 30, 26, 29, 31, 32, 37, 34, 40], [33, 38], [36, 43, 39, 41, 44, 42, 45, 46, 47], [50], [49, 48, 52, 56, 55, 54, 58, 57, 51, 59, 60]]
9: [[53, 27, 2, 35, 7, 1], [5, 3, 13, 21, 4, 6], [14, 10, 11, 8, 9, 15, 19, 12, 18, 20], [23, 17, 16, 22, 24, 28, 25, 26, 31, 29, 30, 32, 34], [38, 46, 36, 37, 33, 43, 39, 44, 41, 40, 45, 42, 47, 51, 48], [50, 54, 49, 56, 59, 55, 52, 57, 58, 60]]
10: [[53, 27, 2, 35, 7], [1, 5, 3, 13, 21, 4, 6, 8, 12, 9, 10, 26, 18, 22, 29, 30, 11, 15, 20, 14, 19, 17, 25, 16, 24, 23, 28, 31, 32, 36, 37, 38, 44, 33, 41, 40, 42, 43, 34, 45, 39, 46, 47, 50, 52, 59, 48, 54, 55, 60, 51], [56, 57, 49, 58]]
