0: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
1: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
2: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
3: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
4: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
5: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
6: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
7: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
8: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
9: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
10: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
11: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
12: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
13: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
14: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
15: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
16: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
17: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
18: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
19: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
20: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
21: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
22: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
23: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
24: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
25: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
26: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
27: [[6, 2, 3, 8, 1, 4], [5, 7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
28: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
29: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
30: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
31: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
32: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
33: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
34: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
35: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
36: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
37: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
38: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
39: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
40: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
41: [[6, 2, 3, 8, 1, 4, 5], [7, 12, 11, 9, 10, 13], [14, 15, 16, 17, 19, 18, 20]]
