0: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29], [58, 31, 62, 28, 43], [33, 30], [51, 32, 35], [34, 39, 44, 37], [40, 36, 42], [41, 45, 46, 60], [55, 53, 61, 48, 47, 63], [57, 49, 50, 52, 54, 56, 59], [68, 65, 67, 64, 74, 69], [66, 76, 77, 70, 71, 73], [72, 75, 78], [79, 81, 82], [84], [80, 87], [83, 85, 86, 88]]
1: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24, 25, 20, 26, 29], [58, 31, 62, 28, 43], [33, 30], [51, 32, 35], [34, 39, 44, 37], [36, 40, 42], [41, 45, 46, 47], [63, 53, 55, 48, 50, 56], [49, 54, 57, 60, 52, 61, 59], [68, 65, 67, 64, 74, 69], [66, 76, 77, 70, 71, 73], [72, 75, 78], [79, 81, 82], [84], [80, 87], [83, 85, 86, 88]]
2: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29], [58, 31, 62, 28, 43], [33, 30], [51, 32, 35], [34, 39, 44, 37], [40, 36, 42], [41, 45, 46, 47, 53], [49, 61, 48, 50, 55], [52, 60, 59, 57, 54], [56, 63, 68, 65], [67, 64, 74, 69, 66, 76, 77, 70, 71, 73, 72, 75], [78, 79, 81, 82, 84, 80, 87, 83, 85, 86, 88]]
3: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29, 58], [31, 62, 28, 43, 33, 30], [51, 32, 35], [34, 39, 44, 37, 36, 41], [42, 40], [45, 46, 47, 63, 56], [48, 50], [52, 54, 57, 53, 55, 60], [49, 59, 61, 68, 65, 67, 64], [74, 69, 66, 76, 77, 70, 71, 73, 72, 75, 78, 79, 81, 82, 84, 80, 87, 83, 85, 86, 88]]
4: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29, 58], [31, 62, 28, 43, 33, 30], [51, 32, 35], [34, 39, 44, 37, 36, 41], [42, 40], [45, 46, 47, 63, 56], [48, 50], [52, 54, 57, 53, 55, 60], [49, 59, 61, 68, 65, 67, 64], [74, 69, 66, 76, 77, 70, 71, 73, 72, 75, 78, 79, 81, 82, 84, 80, 87, 83, 85, 86, 88]]
5: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20], [26, 29, 58, 31, 62], [28, 43, 33], [30, 51, 32, 35], [34, 39, 44], [37, 36, 41], [42, 40, 45, 46], [63, 48, 61, 49], [55, 47, 54, 53, 50, 52], [56, 57, 60, 59], [68, 65, 67, 64, 74, 69], [66, 76, 77], [70], [71, 73], [72, 75, 78, 79], [81, 82, 84, 80, 87, 83, 85, 86, 88]]
6: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29], [58, 31], [62, 28, 43, 33, 30], [51, 32, 35], [34, 39, 44, 37], [36, 40, 42], [41, 45, 46, 60, 53], [52, 56, 57, 54, 55], [47, 49, 50, 48, 61, 63], [59, 68, 65, 67, 64, 74, 69, 66, 76, 77, 70, 71, 73, 72], [75, 78, 79, 81, 82, 84, 80, 87, 83, 85], [86, 88]]
7: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21], [24, 25, 20, 26], [29, 58, 31, 62], [28, 43], [33, 30, 51, 32, 35, 34], [39, 44], [37, 36, 41, 42], [40, 45, 46], [47, 53, 61, 48, 49], [50, 52, 54, 60, 57], [55, 63, 56, 59, 68, 65], [67, 64, 74, 69, 66, 76, 77, 70, 71, 73, 72, 75, 78], [79, 81, 82, 84, 80, 87, 83, 85, 86, 88]]
8: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29], [58, 31, 62, 28, 43], [33, 30], [51, 32, 35], [34, 39, 44, 37], [36, 45, 42], [41, 40, 46, 47], [55, 53, 52], [48], [49, 54], [56, 57, 50, 60], [61, 63, 59, 68, 65, 67, 64, 74, 69, 66, 76, 77], [70, 71, 73, 72, 75, 78, 79, 81, 82, 84, 80, 87, 83, 85, 86, 88]]
9: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29], [58, 31, 62, 28, 43], [33, 30], [51, 32, 35], [34, 39, 44, 37], [36, 40, 42], [41, 45, 46, 63], [55, 52, 53, 50, 47, 48], [60, 49, 54, 56, 61, 59, 57], [68, 65, 67, 64, 74, 69, 66], [76, 77, 70, 71, 73, 72], [75, 78, 79, 81, 82, 84, 80], [87, 83, 85], [86, 88]]
10: [[23, 22, 1, 2, 13, 12], [5, 7, 3, 38, 4], [6, 10, 9, 8, 11, 16], [15, 14], [27, 17, 18, 19, 21, 24], [25, 20, 26, 29], [58, 31, 62, 28, 43], [33, 30], [51, 32, 35, 34], [39, 44, 37, 40], [36, 42, 41], [45, 46, 47, 55], [49, 61, 48, 54, 63, 57], [53, 50, 52, 60, 56, 59], [68, 65, 67, 64, 74, 69], [66, 76, 77], [70, 71], [73, 72, 75, 78], [79, 81, 82, 84, 80, 87], [83, 85, 86, 88]]
