0: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
1: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
2: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
3: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
4: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
5: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
6: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
7: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
8: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
9: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
10: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
11: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
12: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
13: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
14: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
15: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
16: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
17: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
18: [[22, 36, 1, 72], [29, 2, 6, 12], [10, 5, 3, 4], [11, 7, 8, 9], [13, 15, 14, 24], [50, 19, 26, 20], [25, 16, 53, 18], [59, 17, 21, 31], [23, 27, 28], [30, 39, 33, 34], [51, 35, 46], [44, 40, 32], [37, 38, 42, 47], [41, 43, 45, 60], [61, 52, 49, 48], [54, 55, 57, 56], [58, 62, 63, 68], [67, 64, 65, 70], [66, 69, 73, 77], [74, 71, 75, 76], [79, 78, 82], [85, 80, 81, 83], [84, 86, 87, 88]]
