0: [[10, 1, 3, 4, 5, 2], [13, 7, 12], [8, 6, 11, 9]]
1: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
2: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
3: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
4: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
5: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
6: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
7: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
8: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
9: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
10: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
11: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
12: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
13: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
14: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
15: [[10, 1, 2, 3, 4, 5], [13, 7, 12], [8, 6, 11, 9]]
16: [[10, 1, 2, 3, 4, 5], [13, 7, 12, 8], [6, 11, 9]]
17: [[10, 1, 2, 3, 4, 5], [13, 7, 12, 8], [6, 11, 9]]
18: [[10, 1, 2, 3, 4, 5], [13, 7, 12, 8], [6, 11, 9]]
19: [[10, 1, 2, 3, 4, 5], [13, 7, 12, 8], [6, 11, 9]]
20: [[10, 1, 2, 3, 4, 5, 13], [7, 12, 8], [6, 11, 9]]
21: [[10, 1, 2, 3, 4, 5, 13], [7, 12, 8], [6, 11, 9]]
22: [[10, 1, 2, 3, 4, 5], [13, 7], [12, 8, 6, 11, 9]]
23: [[10, 1, 2, 3, 4, 5], [13, 7], [12, 8, 6, 11, 9]]
24: [[10, 1, 2, 3, 4, 5], [13, 7], [12, 8, 6, 11, 9]]
25: [[10, 1, 2, 3, 4, 5], [13, 7], [12, 8, 6, 11, 9]]
26: [[10, 1, 2, 3, 4, 5], [13, 7, 12, 8, 6], [11, 9]]
27: [[10, 1, 2, 3, 4, 5, 13, 7], [12, 8], [6, 11, 9]]
