0: [[20, 17, 13, 18, 19, 4], [3, 1], [2, 8, 10, 5, 7], [14, 16, 15, 6], [11, 12, 9]]
1: [[20, 17, 13, 18, 19, 4], [3, 1], [2, 8, 10, 5, 7], [14, 16, 15, 6], [11, 12, 9]]
2: [[20, 17, 13, 4], [18, 19], [3, 1], [2, 8, 10], [5, 7], [14, 16, 6, 15], [11, 12, 9]]
3: [[20, 17, 13, 18, 19, 4], [3, 1], [8, 2], [10, 5, 7], [14, 16, 6], [11, 12, 15, 9]]
4: [[20, 17, 13, 4], [18, 19], [3, 1], [2, 8], [10, 5, 7], [14, 16, 6], [11, 12, 9, 15]]
5: [[20, 17, 13, 4], [18, 19], [3, 1], [2, 8], [10, 5, 7], [14, 16, 6], [11, 12, 9, 15]]
6: [[20, 17, 13, 18, 19, 4], [3, 1], [2, 8], [10, 5, 7], [14, 16, 11, 12, 15, 9, 6]]
7: [[20, 17, 13, 18, 19, 4], [3, 1, 2, 8], [10, 5, 7], [14, 16, 15, 11, 12, 9, 6]]
8: [[20, 17], [13, 4], [18, 19], [3, 1], [2, 8, 10], [5, 7], [14, 16, 6], [11, 12, 15], [9]]
9: [[20, 17, 13, 4], [18, 19], [3, 1], [2, 8, 10], [5, 7], [14, 16, 6], [11, 12, 15], [9]]
10: [[20, 17], [13, 4], [18, 19], [3, 1, 2, 8], [10, 5, 7], [14, 16, 11, 12, 9, 6, 15]]
11: [[20, 17, 13, 18, 19, 4], [3, 1, 2, 8], [10, 5, 7, 14], [16, 11, 12, 15, 9, 6]]
12: [[20, 17], [13, 4], [18, 19], [3, 1], [2, 8], [10, 5, 7], [14, 16], [6, 15], [11, 12, 9]]
13: [[20, 17], [13, 18, 4], [19, 3, 1, 2, 8], [10, 5, 7], [14, 16, 6], [11, 12, 9, 15]]
14: [[20, 17, 13, 18, 19], [3, 4], [1, 2, 8, 10], [5, 7, 14, 16, 6], [11, 12, 9, 15]]
15: [[20, 17, 13, 18, 19, 4], [3, 1], [2, 8, 10, 5, 7, 14, 16], [11, 12, 15, 9, 6]]
16: [[20, 17], [13, 4], [18, 19], [3, 1], [2, 8, 10], [5, 7, 14, 16, 11, 12, 9, 6, 15]]
17: [[20, 17], [13, 18, 4], [19], [3, 1], [2, 8, 10], [5, 7, 14, 16, 6], [11, 12, 9, 15]]
18: [[20, 17], [13, 4, 18], [19, 3, 1], [2, 8, 10], [5, 7, 14], [16, 6, 15], [11, 12, 9]]
19: [[20, 17], [13, 4, 18], [19, 3, 1], [2, 8, 10], [5, 7, 14], [16, 6, 15], [11, 12, 9]]
20: [[20, 17], [13, 4, 18], [19, 3, 1], [2, 8, 10], [5, 7, 14], [16, 6, 15], [11, 12, 9]]
21: [[20, 17], [13, 4], [18, 19, 3], [1, 2], [8, 10], [5, 7, 14], [16, 6, 15], [11, 12, 9]]
22: [[20, 17], [13, 2, 19, 4], [3, 1, 18], [8, 10, 5, 7], [14, 16, 6, 15], [11, 12, 9]]
23: [[20, 17], [13, 4], [18, 19, 3, 1], [2, 8, 10], [5, 7], [14, 16, 6], [15, 11, 12], [9]]
24: [[20, 17], [13, 4], [18, 19], [3, 1], [2, 8], [10, 5], [7, 14, 6], [16], [11, 12, 15], [9]]
25: [[20, 17, 13, 4], [18, 19], [3, 1, 2], [8, 10, 5], [7, 14, 16, 15, 11, 12, 9, 6]]
26: [[20, 17], [13, 4], [18, 19], [3, 1], [2, 8, 10], [5, 7, 14], [16, 11, 12, 6], [9, 15]]
27: [[20, 17, 13, 4], [18, 19], [3, 1, 2], [8, 10], [5, 7, 14, 16, 6], [11, 12, 15], [9]]
28: [[20, 17], [13, 18, 4], [19, 3], [1, 2, 8, 10, 5], [7, 14, 16, 6, 15], [11, 12], [9]]
29: [[20, 17], [13, 19, 4], [18, 3, 1], [2, 8, 10, 5], [7, 14, 6], [16, 11, 12, 9, 15]]
30: [[20, 17, 13, 4], [18, 19], [3, 1, 2], [8, 10, 5], [7, 14, 16, 6], [11, 15], [12, 9]]
31: [[20, 17], [13, 18, 19], [4, 3, 1, 2], [8, 10, 5, 7], [14, 16, 11, 15, 12], [9, 6]]
32: [[20, 17], [13, 18, 19, 3, 4], [1, 2, 8, 10], [5, 7, 14], [16, 6, 11, 12, 9, 15]]
33: [[20, 17], [13, 4], [18, 19], [3, 1, 2, 8, 10], [5, 7, 14, 16, 6], [11, 15], [12, 9]]
34: [[20, 17], [13, 4], [18, 19], [3, 1, 2], [8, 10, 5, 7, 14, 16, 6, 11, 12, 9, 15]]
35: [[20, 17], [13], [18, 19, 3, 1, 2], [8, 10, 5], [7, 14, 4, 6], [16, 11, 12, 9, 15]]
36: [[20, 17, 13, 4], [18], [19, 3], [1, 2], [8, 10, 5], [7, 14, 16, 6], [11, 12, 15], [9]]
37: [[20, 17], [13, 18, 4], [19, 3, 1], [2, 8, 10, 5, 7, 14, 16, 6, 11, 12, 9, 15]]
38: [[20, 17, 13, 4], [18, 19, 3, 1, 2, 8, 10], [5, 7, 14, 16, 6, 15, 11, 12, 9]]
39: [[20, 17], [13, 4, 18, 19], [3, 1, 2, 8, 10, 5, 7, 14, 16, 6, 15, 11, 12, 9]]
40: [[20, 17], [13, 4], [18, 19, 3], [1, 2, 8, 10, 5, 7, 14, 16, 6, 11, 12, 9, 15]]
41: [[20, 17], [13, 4, 18], [19, 3, 1, 2, 8, 10, 5, 7, 14, 16, 11, 6, 15, 12, 9]]
