0: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 4, 2], [14, 22, 23, 26], [39, 33, 13, 25, 17, 6, 21], [46, 38], [1, 53, 5, 47], [32, 48, 51, 3, 20, 19, 30], [55, 16, 37, 56], [31, 41], [27, 43, 42, 11], [40, 24, 45, 12, 28], [50, 36], [54, 44, 52, 58, 59, 60]]
1: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 2, 4, 14], [22, 23, 26, 39, 33, 13], [25, 17, 6, 21, 46], [38, 1, 53, 5], [32, 48, 47], [51, 3, 20, 19, 30], [55, 16, 37, 56, 31], [41, 27, 43], [42], [11, 40, 24, 44, 12, 28], [50, 36], [54, 45, 52, 58, 59, 60]]
2: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2, 14], [22, 23], [26, 39], [33, 13, 25, 17], [6, 21, 46], [38, 1, 53, 5, 47], [32, 48, 51, 3, 20, 19, 30], [55, 16, 37], [56, 31, 41], [27, 43], [42, 11, 40, 24, 45, 12, 28], [50, 36, 54, 44, 52, 58, 59, 60]]
3: [[49, 57], [29, 8], [15, 9, 10, 18], [34, 7, 35, 2, 4], [14, 22, 23, 26, 39, 33], [13, 6, 25, 21], [17, 46], [38, 1, 53, 5], [47, 32], [48, 51, 3, 20, 19, 30], [55, 16, 37, 56, 45], [41, 27, 43, 42, 11], [40, 24, 31, 12, 28, 50], [36, 52, 58], [44], [54, 59], [60]]
4: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 2, 4], [14, 22, 23, 26, 39, 33], [13, 25, 17, 6, 21], [46, 38, 1, 53], [5, 32, 48, 47], [51, 3, 20, 19], [30, 55, 16, 37, 56, 31], [41, 27, 43], [42, 11, 40, 24, 45], [12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
5: [[49, 57], [29, 8], [15, 9, 10, 18, 34], [7, 35, 2, 4, 14], [22, 23, 26, 39], [33, 13], [25, 6, 21, 17, 46], [38, 1], [53, 5, 47, 32], [48, 51, 3, 20, 19], [30, 55, 16, 37, 56], [45, 41], [27, 43], [42, 11, 40, 24], [31, 12, 28], [50, 36, 54], [44, 52, 58, 59, 60]]
6: [[49, 57], [29, 8], [15, 9, 10, 18], [34, 7, 35, 4, 2], [14, 22, 23, 26], [39, 33, 13], [25, 17, 6, 21], [46, 38], [1, 53], [5, 47, 32, 48], [51, 3, 20], [19, 30, 55, 16, 37], [56, 31, 41], [27, 43, 42, 11], [40, 24, 45, 28, 12], [50, 36], [54, 44, 52, 58, 59, 60]]
7: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2, 14], [22, 23], [26, 39, 33], [13, 6, 25, 21], [17, 46, 38, 1], [53, 5, 47, 32], [48, 51, 3], [20, 19, 30], [55, 16, 37, 56], [45, 41], [27, 43, 42, 11, 40], [24, 31, 12, 28, 50], [36, 54, 44, 52, 58, 59, 60]]
8: [[49, 57], [29, 8, 15, 9, 10, 18], [34, 7, 35, 2, 4], [14, 22, 23, 26, 39, 33], [13, 25, 17, 6, 21, 46, 38, 1, 53, 5], [32, 48, 47, 51, 3, 20, 19, 30, 55, 16, 37, 56, 31, 41, 27], [43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
9: [[49, 57], [29, 8], [15, 9], [34, 10, 18], [7, 35, 4, 14, 22, 2], [23, 26, 39, 33, 13], [25, 17, 6, 21], [46, 38], [1, 53, 5, 47], [32, 48, 51, 3, 20, 19, 30], [55, 16, 37, 56, 31], [41, 27, 43, 42, 11, 40, 24, 45, 12, 28, 50, 36, 54, 44, 52, 58, 59, 60]]
10: [[49, 57], [29, 8, 15, 9], [10, 18, 34], [7, 35, 4, 2, 14], [22, 23, 26, 39], [33, 13], [25, 17, 6, 21, 46, 38], [1, 53, 5, 47, 32], [48, 51, 3, 20, 19], [30, 55, 16, 37, 56, 45], [41, 27, 43], [42], [11, 40], [24, 31, 12, 28, 50, 36, 52, 58, 44, 54, 59, 60]]
