0: [[8, 10], [1, 3], [2, 7, 5], [14, 4], [13, 12, 11, 9], [16, 6, 15], [18, 17, 19, 20]]
1: [[8, 10], [1, 3], [2, 7, 5], [14, 4], [13, 12, 11, 9], [16, 6, 15], [18, 17, 19, 20]]
2: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 9], [16, 6], [18, 17, 19, 20, 15]]
3: [[8, 10], [1, 3], [2, 7, 5], [14, 4], [13, 12], [11, 9], [16, 6], [18, 17, 19, 20, 15]]
4: [[8, 10], [1, 3], [2, 7, 5], [14, 4], [13, 12], [11, 9], [16, 6], [18, 17, 19, 20, 15]]
5: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13, 12], [11, 9], [16, 6, 15], [18, 17, 19, 20]]
6: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 9], [16, 6], [18, 15], [17, 19, 20]]
7: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 9], [16, 6], [18, 15], [17, 19, 20]]
8: [[8, 10], [1, 3], [2, 7, 5], [14, 4], [13, 12, 11, 9], [16, 6, 15], [18, 17, 19], [20]]
9: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 9], [16, 6], [18, 17, 15], [19, 20]]
10: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13], [12, 11, 9], [16, 6, 15], [18, 17, 19, 20]]
11: [[8, 10], [1, 3], [2, 7, 5], [14, 4], [13, 12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
12: [[8, 10], [1, 3], [2, 7, 5], [14, 4], [13, 12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
13: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
14: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13, 12], [11, 9], [16, 6], [18, 15], [17, 19, 20]]
15: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 9], [16, 18, 6, 15], [17], [19, 20]]
16: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13, 12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
17: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13, 12, 11], [16, 9, 6, 15], [18, 17, 19], [20]]
18: [[8, 10], [1, 3, 2], [7, 5], [14, 4], [13, 12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
19: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 16], [9, 6], [15, 18, 17], [19, 20]]
20: [[8, 10], [1, 3], [2, 7, 5, 14], [13, 12, 11, 16, 9, 4, 6], [18, 15, 17, 19, 20]]
21: [[8, 10], [1, 3], [7, 5, 2], [14, 4], [13, 12], [11, 16, 15, 18, 17, 19, 20, 9, 6]]
22: [[8, 10], [1, 3, 2, 7], [5, 14, 4], [13, 12, 11, 9], [16, 15, 18, 17, 19, 20, 6]]
23: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 16, 15, 18, 17, 19, 20, 9, 6]]
24: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13], [12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
25: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 4], [12, 11, 16, 15, 18, 17, 19, 20, 9, 6]]
26: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13, 12], [11, 16, 9], [18, 6, 15], [17, 19, 20]]
27: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13, 12], [11, 16, 9], [18, 6, 15], [17, 19, 20]]
28: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13, 12], [11, 16, 9], [18, 6, 15], [17, 19, 20]]
29: [[8, 10], [1, 3], [7, 5, 2], [14, 13, 12, 4], [11, 16, 15, 18, 17, 9, 6], [19, 20]]
30: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 12, 11, 4], [16, 15, 18, 17, 19, 20, 9, 6]]
31: [[8, 10], [1, 3, 2], [7, 5, 14], [13, 4], [12, 11, 9], [16, 6], [18, 17, 19, 15], [20]]
32: [[8, 10], [1, 3, 2], [7, 5], [14, 4, 13], [12, 11, 16], [9, 6], [15, 18, 17], [19, 20]]
33: [[8, 10], [1, 3, 2], [7, 5, 14], [13, 4], [12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
34: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 12, 4], [11, 16, 15, 18, 17, 19, 20, 9, 6]]
35: [[8, 10], [1, 3], [2, 7, 5], [14, 13, 12, 4], [11, 16, 15, 18, 17, 19, 20, 9, 6]]
36: [[8, 10], [1, 3], [2, 7], [5, 14, 4], [13], [12, 11, 16, 9], [18, 6, 15], [17, 19, 20]]
37: [[8, 10], [1, 3], [7, 5, 2], [14, 4, 13, 12, 11, 16, 15, 18, 17, 19, 20, 9, 6]]
38: [[8, 10], [1, 3], [7, 5, 2], [14, 13, 4, 12, 11, 16, 18, 15, 17, 19, 20, 9, 6]]
39: [[8, 10, 1], [3, 2, 4], [7, 5], [14], [13, 12, 11], [16, 9, 6], [18, 15], [17, 19, 20]]
40: [[8, 10], [1, 3, 2], [7, 5, 14], [13, 4], [12, 11, 16], [18, 17, 19, 20, 9, 6, 15]]
41: [[8, 10], [1, 3, 7, 5, 2, 14, 13, 4], [12, 11, 16, 15, 18, 17, 19, 20, 9, 6]]
