0: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
1: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
2: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
3: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
4: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
5: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
6: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
7: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
8: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
9: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
10: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
11: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
12: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
13: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
14: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
15: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6], [7, 8, 13]]
16: [[1, 4, 12, 3, 10, 2], [5, 9, 11, 6], [7, 8, 13]]
17: [[1, 4, 12, 3, 10, 2, 5], [9, 11], [6, 7, 8, 13]]
18: [[1, 4, 12, 3, 10, 2, 5], [9, 11], [6, 7, 8, 13]]
19: [[1, 4, 12, 3, 10, 2, 5], [9, 11], [6, 7, 8, 13]]
20: [[1, 4, 12, 3, 10, 2, 5], [9, 11], [6, 7, 8, 13]]
21: [[1, 4, 12, 3, 10, 2, 5, 9], [11, 6], [7, 8, 13]]
22: [[1, 4, 12, 3, 10, 2, 5, 9], [11, 6], [7, 8, 13]]
23: [[1, 4, 12, 3, 10, 2, 5, 9], [11, 6], [7, 8, 13]]
24: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6, 7], [8, 13]]
25: [[1, 4, 12, 3, 10, 2, 5], [9, 11, 6, 7], [8, 13]]
26: [[1, 4, 12, 3, 10, 2], [5, 9, 11], [6, 7, 8, 13]]
27: [[1, 4, 12, 3, 10, 2], [5, 9, 11], [6, 7, 8, 13]]
