0: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46, 59], [48, 61, 49], [51, 55], [50, 53, 54], [56, 57, 60, 63], [64, 65, 71, 66], [67, 69, 77, 68], [70, 75, 72, 73], [74, 76, 78], [79, 81, 86, 82], [80, 87, 83, 84, 85, 88]]
1: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46, 59], [48, 61, 49], [51, 55], [50, 53, 54], [56, 57, 60, 63], [64, 65, 71, 66], [67, 69, 77, 68], [70, 75, 72, 73], [74, 76, 78], [79, 81, 86, 82], [80, 87, 83, 84, 85, 88]]
2: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46, 59], [48, 61, 49], [51, 55, 50], [53, 54, 56], [57, 60, 63], [64, 65, 71, 66], [67, 69, 77], [68, 70, 75, 72, 73, 74], [76, 78, 79, 81, 86, 82, 80, 87, 83, 84, 85, 88]]
3: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46, 59], [48, 61, 49], [51, 55, 50], [53, 54, 56, 57, 60, 63, 64, 65, 71, 66, 67, 69, 77, 68, 70, 75, 72, 73, 74, 76, 78, 79, 81, 86, 82, 80, 87, 83, 84, 85, 88]]
4: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46, 59], [48, 61, 49], [51, 55, 50], [53, 54, 56, 57], [60, 63, 64, 65, 71, 66], [67, 69, 77], [68, 70, 75], [72, 73, 74, 76, 78, 79, 81, 86, 82, 80, 87, 83], [84, 85, 88]]
5: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46, 59], [48, 61, 49], [51, 55, 50, 53], [54, 56, 57], [60, 63, 64], [65, 71, 66, 67, 69, 77, 68, 70, 75, 72, 73, 74, 76, 78, 79, 81, 86, 82, 80, 87, 83, 84, 85, 88]]
6: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46, 59], [48, 61, 49], [51, 55], [50, 53, 54, 56, 57, 60, 63], [64, 65, 71, 66, 67, 69, 77], [68, 70, 75, 72, 73, 74, 76, 78, 79, 81, 86, 82, 80, 87, 83, 84, 85, 88]]
7: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34], [37, 36, 43], [38, 42], [41, 40, 45, 47, 46], [59, 48, 61, 49, 51], [55, 50, 53, 54, 56], [57, 60, 63], [64, 65, 71], [66, 67], [69, 77, 68, 70, 75, 72, 73, 74, 76, 78, 79, 81, 86], [82, 80, 87, 83, 84], [85, 88]]
8: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30], [32, 35, 34, 37], [36, 43, 38, 42, 41], [40, 45, 47, 46, 59], [48, 61, 49], [51, 55, 50], [53, 54, 56], [57, 60, 63, 64, 65, 71, 66, 67, 69, 77, 68], [70, 75, 72, 73, 74, 76, 78, 79, 81, 86, 82, 80, 87, 83, 84, 85, 88]]
9: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62], [52, 33, 31, 30], [32, 35, 34], [37, 36, 43, 38, 42], [41, 40, 45, 47, 46], [59, 48, 61], [49, 51], [55, 50, 53], [54, 56, 57, 60], [63, 64, 65, 71], [66, 67, 69, 77], [68, 70, 75, 72], [73, 74, 76], [78, 79, 81, 86], [82, 80, 87], [83, 84, 85, 88]]
10: [[39, 44, 3, 4, 10], [2, 1, 22, 13, 12], [7, 5, 6], [8, 9, 27], [15, 14, 18], [11, 17, 21], [20, 19], [24, 16, 23], [29, 25, 28], [58, 26, 62, 52], [33, 31, 30, 32], [35, 34], [37, 36, 43], [38, 42, 41, 40], [45, 47, 46, 59], [48, 61, 49, 51], [55, 50, 53, 54], [56, 57, 60], [63, 64, 65], [71, 66, 67], [69, 77, 68], [70, 75, 72, 73], [74, 76, 78, 79, 81, 86, 82, 80, 87, 83, 84, 85, 88]]
