0: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59], [37, 67], [24, 2, 3], [31, 1, 84], [46, 30, 11], [14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47], [33, 34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43, 87], [32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61], [77, 69, 78, 82, 81, 64, 88]]
1: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
2: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
3: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
4: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
5: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
6: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77, 69], [78, 82, 81], [64, 88]]
7: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
8: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
9: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
10: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
11: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82, 81], [64, 88]]
12: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
13: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
14: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
15: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
16: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
17: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44], [80, 55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
18: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
19: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
20: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
21: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
22: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
23: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37, 67], [24, 2, 3], [31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
24: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37, 67], [24, 2, 3], [31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
25: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37, 67], [24, 2, 3], [31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
26: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2, 3], [31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
27: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2, 3], [31, 1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
28: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44], [80, 55, 70], [53, 75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
29: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44], [80, 55, 70], [53, 75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
30: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59, 37], [67, 24, 2], [3, 31, 1], [84, 46, 30], [11, 14, 15], [5, 8, 38], [13, 12, 22], [35, 7, 40], [52, 10, 39], [16, 17, 21], [20, 25, 28], [4, 18, 23], [36, 27, 47], [33, 34, 74], [26, 54, 42], [57, 79, 44], [80, 55, 70], [53, 75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
31: [[72, 49, 85], [86, 29, 6], [50, 76, 19], [9, 59], [37, 67, 24], [2, 3, 31], [1, 84], [46, 30, 11], [14, 15, 5], [8, 38, 13], [12, 22, 35], [7, 40, 52], [10, 39, 16], [17, 21, 20], [25, 28, 4], [18, 23, 36], [27, 47, 33], [34, 74, 26], [54, 42, 57], [79, 44, 80], [55, 70, 53], [75, 45, 56], [58, 62, 43], [87, 32, 63], [41, 73, 60], [68, 65, 66], [83, 51, 71], [48, 61, 77], [69, 78, 82], [81, 64, 88]]
