0: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
1: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12, 19], [26, 15, 13, 16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
2: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
3: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36], [32, 23, 33]]
4: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36, 32, 23, 33]]
5: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16, 7, 37, 30], [21, 31, 27, 36, 32, 23, 33]]
6: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37], [30, 21, 31, 27, 36, 32, 23, 33]]
7: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12, 19], [26, 15, 13, 16], [7, 37, 30], [21, 31, 27], [36, 32, 23, 33]]
8: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
9: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8], [3, 20, 35, 1], [2, 10, 18, 9], [5, 11, 12, 19], [26, 15, 13], [16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
10: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1], [2, 10, 18, 9], [5, 11, 12], [19, 26, 15, 13], [16, 7, 37], [30, 21, 31, 27], [36, 32, 23, 33]]
11: [[25, 17, 24, 28], [4, 14, 6, 22], [29, 34, 8, 3], [20, 35, 1, 2], [10, 18, 9], [5, 11, 12], [19, 26, 15], [13, 16, 7, 37, 30, 21, 31, 27], [36, 32, 23, 33]]
