0: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
1: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
2: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
3: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
4: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
5: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
6: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
7: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
8: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
9: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
10: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
11: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
12: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
13: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
14: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
15: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
16: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
17: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
18: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
19: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
20: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
21: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
22: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
23: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
24: [[9, 4, 1, 13, 6, 3, 2], [7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
25: [[9, 4, 1, 13, 6, 3, 2], [7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
26: [[9, 4, 1, 13, 6, 3, 2], [7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
27: [[9, 4, 1, 13, 6, 3, 2], [7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
28: [[9, 4, 1, 13, 6, 3, 2], [7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
29: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10], [11, 14, 12, 15], [16, 20, 17, 19, 18]]
30: [[9, 4, 1, 13, 6], [3, 2, 7, 5, 8, 10], [11, 14, 12, 15, 16], [20, 17, 19, 18]]
31: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8], [10, 11, 14, 12, 15, 16], [20, 17, 19, 18]]
32: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8, 10, 11], [14, 12, 15, 16, 20], [17, 19, 18]]
33: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8], [10, 11, 14, 12, 15, 16], [20, 17, 19, 18]]
34: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8], [10, 11, 14, 12, 15, 16], [20, 17, 19, 18]]
35: [[9, 4, 1, 13, 6], [3, 2, 7, 5, 8, 10], [11, 14, 12, 15], [16, 20, 17, 19, 18]]
36: [[9, 4, 1, 13, 6, 3, 2], [7, 5, 8, 10, 11], [14, 12, 15, 16, 20], [17, 19, 18]]
37: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8], [10, 11, 14, 12, 15], [16, 20, 17, 19, 18]]
38: [[9, 4, 1, 13, 6, 3], [2, 7, 5, 8], [10, 11, 14, 12, 15], [16, 20, 17, 19, 18]]
39: [[9, 4, 1, 13, 6], [3, 2, 7, 5, 8], [10, 11, 14, 12, 15, 16], [20, 17, 19, 18]]
40: [[9, 4, 1, 13, 6, 3, 2, 7], [5, 8, 10, 11, 14], [12, 15, 16, 20], [17, 19, 18]]
41: [[9, 4, 1, 13, 6], [3, 2, 7, 5, 8], [10, 11, 14, 12, 15], [16, 20, 17, 19, 18]]
