0: [[6, 11, 4, 9], [3, 5, 1], [10, 7, 8, 12, 13, 2]]
1: [[6, 11, 4, 9], [1, 3, 5], [10, 2, 7, 8, 12, 13]]
2: [[6, 11, 4, 9], [1, 3, 5], [10, 2, 7, 8, 12, 13]]
3: [[6, 11, 4, 9], [1, 3, 5, 10, 2], [7, 8, 12, 13]]
4: [[4, 9, 6, 11], [1, 3, 5, 10, 2], [7, 8, 12, 13]]
5: [[4, 9, 6, 11], [1, 3, 5, 10, 2], [7, 8, 12, 13]]
6: [[9, 6, 11], [1, 3, 5, 4], [10, 2], [7, 8, 12], [13]]
7: [[6, 11, 4, 9, 1], [3, 5], [10, 2, 7, 8, 12, 13]]
8: [[6, 11, 4, 9], [1, 3, 5, 10], [2, 7, 8, 12, 13]]
9: [[6, 11, 4, 9], [1, 3, 5, 10], [2, 7, 8, 12, 13]]
10: [[11, 6], [9, 1, 4], [3, 5], [10, 2, 7, 8, 12, 13]]
11: [[6, 11, 4, 9, 1], [3, 5, 10, 2], [7, 8, 12, 13]]
12: [[11, 6], [9, 4], [1, 3, 5], [10, 2, 7, 8, 12], [13]]
13: [[11, 6], [9, 4], [1, 3, 5], [10, 2, 7, 8, 12], [13]]
14: [[11], [9, 1, 3, 5, 10, 2, 6, 4], [7, 8, 12, 13]]
15: [[6, 11], [4, 9], [1, 3], [5, 10], [2, 7, 8, 12, 13]]
16: [[6, 11], [4, 9], [1, 3], [5, 10], [2, 7, 8, 12, 13]]
17: [[6, 11], [4, 9], [1, 3], [5, 10], [2, 7, 8, 12, 13]]
18: [[6, 11], [9, 1, 4, 3], [5, 10], [2, 7, 8, 12, 13]]
19: [[4], [9, 1, 3, 6], [5, 10, 2], [7, 8, 12, 11], [13]]
20: [[4, 9, 6, 11], [1, 3, 5, 10, 2, 7], [8, 12, 13]]
21: [[4, 9, 6, 11], [1, 3], [5, 10, 2, 7], [8, 12, 13]]
22: [[6, 11], [4, 9, 1, 3, 5, 10, 2, 7, 8], [12, 13]]
23: [[11, 9, 1, 6, 4], [3, 5], [10, 2, 7], [8, 12, 13]]
24: [[6, 11], [4, 9, 1, 3, 5, 10, 2, 7, 8], [12, 13]]
25: [[6], [11, 4, 9, 1, 3, 5, 10, 2, 7, 8, 12, 13]]
26: [[6], [11, 4, 9, 1, 3, 5, 10, 2, 7, 8, 12, 13]]
27: [[11], [9, 6], [1, 3], [5, 10, 4], [2, 7, 8], [12, 13]]
