0: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39, 45], [4, 42, 7], [34], [28, 23, 22], [11, 27, 43], [41, 47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 31, 44], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
1: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39, 45], [4, 42, 7], [34], [28, 23, 22], [11, 27, 43], [41, 47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 31, 44], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
2: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 40, 18], [24, 42, 12], [26, 39, 45], [56], [4, 7, 34], [28, 23, 22], [11, 27, 43], [41, 47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 31, 44], [51, 52, 54], [58, 60, 48], [49, 59, 57]]
3: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39, 45], [4, 7, 44], [34], [28, 23, 22], [11, 27, 43], [41, 47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 31, 42], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
4: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
5: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
6: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
7: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
8: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
9: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
10: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
11: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
12: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
13: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
14: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
15: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
16: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
17: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
18: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
19: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
20: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
21: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
22: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
23: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
24: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
25: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
26: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
27: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [60, 56, 48], [49, 59, 57]]
28: [[13, 6, 21], [33, 8, 17], [9, 29, 10], [32, 20, 19], [1, 3, 30], [14, 15, 16], [5, 38, 18], [40, 24, 12], [58, 26, 39], [45, 4, 7], [44, 34, 28], [23, 22, 11], [27, 43, 41], [47, 35, 2], [53, 50, 36], [37, 25, 55], [46, 42, 31], [51, 52, 54], [56, 60, 48], [49, 59, 57]]
