0: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 11, 8, 9, 6, 21], [15, 17, 14, 16, 10, 18], [23, 26, 19, 31, 22, 28], [30, 20, 25, 24, 29, 32, 37], [33, 36, 34, 46, 39, 38], [43, 45, 41, 40, 42, 44, 50], [51, 47, 52], [59, 49, 48, 53, 57], [56, 55], [58, 60]]
1: [[35, 27, 54, 7, 2], [1, 5], [12, 3, 4, 8, 11, 9], [13, 6, 21, 10, 14], [30, 18, 15, 17, 16, 20, 25, 23], [28, 22, 19, 26, 31, 24, 29, 33], [37, 34, 36], [32, 38, 39], [45, 43], [47], [40, 41, 42, 44, 51, 46, 50], [49, 52, 57], [48, 58, 55, 56, 53], [59, 60]]
2: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11, 10], [6, 8, 13, 21, 9], [23, 26], [15, 14, 24, 16, 19, 17, 20], [22, 18, 28, 31], [29, 25, 30, 33], [45, 44, 36, 38, 42], [32, 34, 39, 37, 41, 43], [40, 46, 51, 47, 58, 50, 52], [48, 49, 55, 57, 53, 56, 59, 60]]
3: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [14, 20, 13, 9, 21], [6, 15, 10, 8, 16, 19], [23, 26, 17, 18, 22], [25, 24, 30, 31, 29, 28], [32, 37, 36, 34, 33], [46, 38, 39, 41], [40, 43, 44, 42, 45], [51, 47], [49, 52, 59, 57, 55], [48, 53, 56], [50, 58, 60]]
4: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [10, 6, 14, 16, 21, 8, 9], [29, 18, 15, 13, 20, 17, 19], [22, 24, 26, 23, 25, 30, 28], [31, 32, 37], [42, 39, 38, 34, 33, 36, 45], [40, 41, 44, 53], [47, 51, 43], [46, 50, 52], [48, 56, 49, 55, 57, 59, 58, 60]]
5: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [6, 24, 14, 8, 21, 10, 13], [31, 18, 15, 16, 19, 17, 9], [20, 25, 22, 23, 28, 30], [26, 29, 32], [37, 41, 39, 40, 34, 38, 36, 45, 42, 33, 43, 53, 46, 50, 47, 44, 48, 51], [52, 56, 49, 55, 57, 59, 58, 60]]
6: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [6, 14, 8], [9, 21, 10, 24, 15], [17, 18, 22], [13, 30, 16, 19, 23], [28, 20, 29, 25, 26], [31, 37, 32, 58, 36], [46, 42, 39, 33, 43, 45], [34, 40, 38, 41, 51, 47, 44], [49, 57], [48, 55, 56], [50], [52, 53, 59, 60]]
7: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4, 11], [8, 30, 15, 10], [17], [6, 9, 25, 29, 13, 14, 20, 18, 16, 19, 22, 21, 23, 28, 24, 26, 31, 33, 37, 40, 36, 38, 46, 32, 39, 47, 34, 41, 45, 43, 44, 51, 42, 48, 52, 56, 50], [49, 55, 53, 57, 58, 59, 60]]
8: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [13, 8, 6, 10, 14, 21], [9, 23, 11, 18], [15, 16, 17, 26], [20, 19, 24, 31, 29], [22, 25], [30, 28], [40, 36, 34, 37, 33, 45, 32, 38], [47, 39, 41], [46, 42, 44, 50, 43, 48], [51, 57, 49, 52, 53, 55], [56, 58, 59, 60]]
9: [[35, 27, 54, 7, 2, 1], [5, 12, 3, 4, 11, 10], [6, 9, 8, 21], [14, 16, 13, 19], [15, 18, 20, 22, 17, 24, 23, 29, 30, 28, 31], [26, 25, 32, 37, 41, 36, 34, 33, 38], [39, 43, 40, 42, 44, 46, 47, 51, 45, 52], [50, 57, 49, 56, 53, 48, 55, 59, 58, 60]]
10: [[35, 27, 54, 7, 2], [1, 5, 12, 3, 4], [14, 8, 9, 6], [11, 19, 13, 16, 15, 18, 10, 21], [20, 17, 23], [22, 26, 28, 30, 31, 25], [24, 29, 32, 37, 33, 36], [38, 46, 39, 34, 43, 45, 42, 40, 41, 44, 50, 51, 47, 48], [59, 49, 55, 52, 57, 58, 53, 56, 60]]
