0: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11], [7, 8, 10, 2]]
1: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11], [7, 8, 10, 2]]
2: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11], [7, 8, 10, 2]]
3: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11], [7, 8, 10, 2]]
4: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
5: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
6: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1], [14, 4, 15], [12, 11], [7, 8, 10, 2]]
7: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1], [14, 4, 15], [12, 11], [7, 8, 10, 2]]
8: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11, 7], [8, 10, 2]]
9: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20, 1, 4], [14, 15], [12, 11], [7, 8, 10, 2]]
10: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
11: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
12: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
13: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4], [11, 12, 7, 15], [8, 10, 2]]
14: [[16, 3, 6], [13, 5, 9], [17], [19, 18, 20], [1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
15: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11, 7, 8, 10, 2]]
16: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20, 1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
17: [[16, 3, 6], [13, 5, 9], [17], [19, 18, 20], [1, 14, 4, 15], [12, 11, 7], [8, 10, 2]]
18: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20, 1], [14, 4, 15], [12, 11, 7], [8, 10, 2]]
19: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20, 1, 4], [14, 15], [12, 11, 7], [8, 10, 2]]
20: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20, 1, 4], [14, 15], [12, 11, 7], [8, 10, 2]]
21: [[16, 3, 6], [13, 5, 17, 9], [19, 18], [20, 1, 14, 4], [12, 11, 15], [7, 8, 10, 2]]
22: [[16, 3, 6], [13, 5, 17, 9], [19, 18, 20], [1, 14, 4], [12, 15], [11, 7, 8, 10, 2]]
23: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1, 14, 4], [12, 15], [11, 7, 8, 10, 2]]
24: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1, 14, 4], [12, 11, 7, 15], [8, 10, 2]]
25: [[16, 3, 6, 13], [5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11, 7, 8, 10, 2]]
26: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11, 7, 8], [10, 2]]
27: [[16, 3, 6], [13, 5, 17, 9], [19, 18, 20], [1, 14, 4, 15], [12, 11, 7, 8, 10, 2]]
28: [[16, 3, 6], [13, 5, 9], [17, 19, 18, 20], [1, 14, 4, 15], [12, 11, 7, 8], [10, 2]]
29: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1], [14, 12, 4, 15], [11, 7, 8, 10, 2]]
30: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1], [14, 12, 4, 15], [11, 7, 8, 10, 2]]
31: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1], [14, 12, 4, 15], [11, 7, 8, 10, 2]]
32: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20, 1, 4], [14, 15], [12, 11], [7, 8], [10, 2]]
33: [[16, 3, 13, 9], [5, 17, 4], [19, 18, 20, 1], [14, 6, 15], [12], [11, 7, 8, 10, 2]]
34: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1, 14, 4], [12, 11, 7, 8, 10, 2, 15]]
35: [[16, 3, 6], [13, 5, 17, 19, 18, 9], [20, 1, 14, 12, 4, 15], [11, 7, 8, 10, 2]]
36: [[16, 3, 6], [13, 5, 9], [17, 19, 18], [20, 1], [14, 12, 11, 4], [7, 8, 10, 2, 15]]
37: [[16, 3, 6], [13, 5], [17, 19, 18, 9], [20, 1, 14, 15, 12, 4], [11, 7, 8, 10, 2]]
38: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20], [1, 14, 12, 11, 7, 8, 10, 2, 4, 15]]
39: [[16, 3, 6], [13, 5, 9, 17], [19, 18, 20, 1], [14, 12, 11, 7, 8, 10, 2, 4, 15]]
40: [[16, 3, 6], [13, 5, 9], [17, 19], [18, 20, 1, 4], [14], [12, 11, 7, 8, 15], [10, 2]]
41: [[16, 3, 6], [13, 5, 9, 17], [19, 18, 20, 1, 14, 4, 12, 11, 15, 7, 8, 10, 2]]
