0: [[25, 5], [3, 1, 18, 6, 2, 19, 7, 4, 8, 10, 12], [15, 11, 13, 9, 17, 16, 29, 14], [20, 23, 22], [24, 28], [21, 27, 26]]
1: [[25, 5], [3, 1, 18, 6, 2, 19, 7, 4, 8, 10, 12], [15, 11, 13, 9, 17, 16, 29, 14], [20, 23, 22], [24, 28], [21, 27, 26]]
2: [[25, 5], [3, 1, 18, 12], [6, 2, 19, 11, 4, 7, 8, 10], [15, 9, 29, 13, 20, 16, 17, 22, 23, 14], [28, 24], [21, 27, 26]]
3: [[25, 5, 3, 1, 18, 19, 2, 4, 9, 7, 8, 14], [6, 15, 13, 11, 10, 12], [16, 23, 17, 20, 22], [24, 28], [29], [21, 27, 26]]
4: [[25], [5, 3], [1, 18, 6, 2, 19], [7, 4, 8, 15, 11, 10, 12], [13, 9, 28, 17, 16, 23, 20, 24, 29, 22, 14], [21, 27, 26]]
5: [[25, 5], [3, 1, 18, 6, 2, 19, 7, 4, 12], [11, 10], [13, 8, 9, 21, 15, 17, 20, 16, 22, 14], [23, 28, 24], [29, 27, 26]]
6: [[25, 5, 3, 1], [18, 6, 2, 19, 8, 12], [7, 9, 15, 11, 13, 4, 20, 16, 17, 23, 22, 10, 14], [24], [28, 29], [21, 27, 26]]
7: [[25, 5], [3, 1, 18, 6, 2, 17, 4, 7, 15, 8, 11, 12], [13, 9, 20, 24, 10, 14], [16, 21, 19, 28], [23, 22], [29, 27, 26]]
8: [[25, 5], [3], [1, 18, 6, 2, 4, 7, 8, 9, 12], [11, 15, 13, 16, 17, 21, 10], [28, 19, 20, 23, 24, 22, 14], [29, 27, 26]]
9: [[25, 5], [3, 1, 22], [18, 6, 2, 19, 7, 4, 15, 8, 13, 9, 12], [29, 11, 10], [24, 20, 16, 21, 17, 28, 23, 14], [27, 26]]
10: [[25, 5, 3, 1, 18, 6, 2, 7, 8, 10], [4, 15, 29, 9, 16, 11, 14], [20, 24, 28, 12], [13], [17, 19, 23, 22], [21, 27, 26]]
11: [[25, 5], [3, 1, 18, 6, 2, 4, 7, 15, 9, 8, 12], [13, 11, 17, 21, 24, 16, 10, 14], [23, 19, 28, 22], [20], [29, 27, 26]]
12: [[25, 5], [3, 1, 18, 22, 12], [6, 2], [17, 4, 7, 9, 13, 11, 14], [8, 21, 15, 19, 20, 16, 24, 28, 23, 10], [29, 27, 26]]
13: [[25, 5], [3, 1, 18, 6, 2, 17, 4, 7, 11, 8, 13, 12], [9, 21, 24], [20, 15, 16, 19, 29, 10, 14], [23, 22], [27, 28, 26]]
14: [[25, 5], [3, 1], [18, 6, 2], [19, 7, 4, 9, 13, 11, 22, 10], [15, 8, 20, 23, 24, 21, 28, 16, 17, 12, 14], [27, 29, 26]]
15: [[25, 5], [3, 1, 18, 6, 2, 19, 4, 22, 12], [7, 9, 8], [15, 17, 20, 16, 24, 11, 29, 21, 13, 10, 14], [23], [27, 28, 26]]
16: [[25, 5], [3, 1, 18, 22], [6, 2, 4, 11, 9, 7, 8, 12], [15], [17, 13, 16, 19, 20, 21, 23, 28, 24, 10, 14], [29, 27, 26]]
17: [[25, 5, 3], [1, 18, 6, 2, 19, 7, 4, 15], [8, 9, 11, 13, 21, 24, 16, 20, 10, 12, 14], [17, 22], [28, 23], [29, 27, 26]]
18: [[25, 5], [3, 1, 18, 6, 2, 17, 13, 4, 8, 14, 12], [9, 22, 10], [16], [15, 28, 19, 20, 21, 7, 23, 24, 11], [26, 29, 27]]
19: [[25, 5, 3], [1, 18, 6, 2, 19, 7, 4, 12], [11, 13, 16, 8, 24, 28, 9, 10, 14], [15, 17], [20, 23, 21, 22], [27, 29, 26]]
20: [[25, 5], [3, 1, 12], [18, 6, 2, 4, 7, 20, 8, 13, 9, 22, 10], [11, 28, 14], [15, 17, 16, 23, 21, 19, 24], [27, 29, 26]]
21: [[25, 5, 3, 1, 18, 6, 2, 19, 7, 4, 10], [9, 13, 8, 11, 20, 16, 12, 14], [17, 15], [21, 23, 22], [24, 28], [27, 29, 26]]
22: [[25, 5], [3, 1, 18, 12], [19, 7, 4, 9, 2, 8, 10], [15, 13, 26, 29, 6, 20, 11, 16, 23, 22, 14], [24, 17], [21, 27, 28]]
