0: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
1: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
2: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
3: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
4: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
5: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
6: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
7: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
8: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
9: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
10: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
11: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
12: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
13: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
14: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
15: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
16: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
17: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
18: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
19: [[5, 4, 6], [1, 13, 2, 9], [7, 11, 14, 10], [8, 12, 16, 15, 18, 3], [19, 17, 20, 22], [23, 21, 24]]
20: [[9, 3, 5, 6, 4], [1, 13, 2], [7, 11, 14, 10], [8, 12, 16, 15, 18], [19, 17, 20, 22], [23, 21, 24]]
