0: [[1, 3, 8], [14, 4], [7, 2, 10, 5], [12, 13, 11, 9], [16, 6, 15], [17, 19, 18, 20]]
1: [[1, 3, 8], [14, 4], [7, 2, 10, 5], [12, 13, 11, 9], [16, 6, 15], [17, 19, 18, 20]]
2: [[1, 3, 8], [14, 5, 4], [7, 2, 6, 13, 10], [11, 12, 9], [16, 19, 18, 17, 20, 15]]
3: [[1, 3, 8], [14, 7, 6, 4], [2, 5], [10, 11, 13, 12, 9], [16, 17, 15], [18, 19, 20]]
4: [[1, 3, 8], [14, 4], [2, 7, 5], [10, 13], [11, 9], [12], [16, 6, 15], [17, 18, 19, 20]]
5: [[1, 3], [8, 14, 4], [7, 2], [5, 10, 6, 9], [13, 11, 16, 12], [17, 19, 18, 20, 15]]
6: [[1, 3], [8, 14, 4], [7, 2], [5, 10, 6, 9], [13, 11, 16, 12], [17, 19, 18, 20, 15]]
7: [[1, 3], [8, 14, 4], [7, 2], [5, 10, 6, 9], [13, 11, 16, 12], [17, 19, 18, 20, 15]]
8: [[1, 3, 8, 14], [7, 6], [2, 4, 5], [13, 9, 11, 10], [12, 15, 16], [18, 17, 19, 20]]
9: [[1, 3, 8], [14, 2, 7, 6], [11, 4], [5, 10], [12, 13, 9], [16, 19, 17, 15], [18, 20]]
10: [[1, 3, 8], [14, 4, 15], [2, 12, 5, 13, 10], [7, 6, 11, 9], [17, 19, 16, 18, 20]]
11: [[1, 3, 8], [14, 2], [5, 7, 4], [11, 12, 9], [13, 10, 16, 6, 15], [19, 18, 20, 17]]
12: [[1, 3, 8], [14, 7, 6], [2, 5, 4], [10, 11, 12, 9], [13, 20, 17], [18, 19, 16, 15]]
13: [[1, 3, 8], [14, 5, 4], [7, 2, 6, 15], [9, 10, 11], [12, 17, 13, 16], [18, 19, 20]]
14: [[1, 3, 8], [14, 2, 7, 6], [4, 5], [11, 13, 10, 9], [15, 12, 17, 18, 19], [20, 16]]
15: [[1, 3, 8], [14, 7, 2], [5, 6, 4], [13, 11, 10, 9], [12, 17, 16, 19, 18, 20, 15]]
16: [[1, 3, 8], [14, 5, 7], [2, 6, 4], [13, 10, 9], [11, 12, 17, 15], [18, 19, 16, 20]]
17: [[1, 3, 8], [14, 4, 5, 2, 7, 6, 9, 13, 10, 15, 11], [19, 17, 18, 16, 20, 12]]
18: [[1, 3, 8], [14, 5, 7], [4, 2, 6], [13, 9, 10], [11, 12, 15, 17], [18, 19, 16, 20]]
19: [[1, 3, 8], [14, 2, 6, 4], [7, 5, 11, 9], [13], [10, 12, 20, 17], [18, 19, 16, 15]]
20: [[1, 3, 8, 14], [6, 7, 2, 10], [5, 13, 11, 18, 4, 9], [12, 17, 19, 16, 20, 15]]
21: [[1, 3, 8, 14], [6, 7, 2, 10], [5, 13, 11, 18, 4, 9], [12, 17, 19, 16, 20, 15]]
22: [[1, 3, 8], [14, 4], [7, 2, 11, 5], [9, 19, 12], [10, 16, 6, 13], [15, 17, 18, 20]]
23: [[1, 3], [8, 14, 2, 6], [5, 10, 13, 4, 9], [12, 18, 17, 11], [16, 19, 20, 7, 15]]
24: [[1, 3, 8], [14, 4, 12], [2, 5, 6, 7, 11], [13, 9, 10, 15, 16, 17], [18, 19, 20]]
25: [[1, 3, 8], [14, 2, 5], [7], [10, 6, 9], [11, 13, 18, 4], [16, 12, 15], [19, 17, 20]]
26: [[1, 3], [8, 14], [5, 2], [7, 6, 4], [10, 11, 13, 9], [12, 18], [16, 19, 17, 20, 15]]
27: [[1, 3, 8], [14, 5, 4], [2, 6, 12], [13, 11, 7, 9], [10, 18, 16, 17, 19, 20, 15]]
28: [[1, 3, 8, 14, 6, 4], [2, 7, 5, 13, 12, 9, 15, 10, 16], [17, 11, 18, 19, 20]]
29: [[1, 3], [8, 14], [2, 10, 5, 12], [7, 11, 6, 9], [13, 18, 17, 4], [19, 16, 20, 15]]
30: [[1, 3], [8, 14, 2, 6], [5, 4], [10], [11, 12, 7, 9], [13, 19, 17], [16, 18, 20, 15]]
31: [[1, 3, 8], [14, 6, 4, 10, 2, 15, 5, 12, 11, 13, 9], [17, 19, 18, 16, 20, 7]]
32: [[1, 3], [8, 14, 2, 7, 4, 5, 6, 11, 12, 10, 13], [9, 16, 17, 18, 19, 20, 15]]
33: [[1, 3, 8], [14, 4, 7, 2], [6, 5, 9, 13], [10, 11, 12, 15, 17, 18, 16], [19, 20]]
34: [[1, 3, 8], [14, 6, 4, 2], [12, 5, 7, 9, 11, 10, 13, 15, 18, 17, 19, 16, 20]]
35: [[1, 3, 8], [14, 2, 7], [5, 6], [4, 11, 10], [9, 12, 13], [15, 16, 17], [19, 18, 20]]
36: [[1, 3, 8], [14, 6, 7], [2, 15, 5], [4, 9, 11, 10], [12, 13, 17, 19, 16, 18, 20]]
37: [[1, 3, 8], [14, 2, 6], [5, 9, 4, 12, 10, 11, 13, 15, 18, 7, 16, 19, 17, 20]]
38: [[1, 3], [8, 14, 5, 4], [2, 12, 13, 9], [10, 11, 6], [20, 7, 19], [16, 17, 18, 15]]
39: [[1, 3, 8, 14, 5, 7], [2, 6, 4], [13, 11], [12, 10, 17, 9], [18, 19, 16, 20, 15]]
40: [[1, 3, 8, 14], [2, 7], [11, 4, 5, 12, 6, 10, 9, 13, 15, 16, 19, 17, 18, 20]]
41: [[1, 3, 8], [14, 2, 6], [4, 7, 5, 15], [10, 11, 13], [9, 12, 17, 19], [16, 20, 18]]
