0: [[9, 4, 6, 8, 11], [3, 1, 5], [10, 2], [13, 12, 7]]
1: [[9, 4, 6, 8, 11], [3, 1, 5], [10, 13, 2, 12, 7]]
2: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 2], [13, 12, 7]]
3: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 2], [13, 12, 7]]
4: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 2], [13, 12, 7]]
5: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 2], [13, 12, 7]]
6: [[9, 6, 4], [8, 11], [3, 1, 5], [10, 2], [13, 12, 7]]
7: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 13, 12, 2, 7]]
8: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 13, 2], [12, 7]]
9: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 13, 2], [12, 7]]
10: [[9, 4], [6, 8, 11], [3, 1, 5], [10, 13, 2], [12, 7]]
11: [[9, 4], [6, 8, 11], [3, 1], [5, 10, 2], [13, 12, 7]]
12: [[9, 6, 4], [8, 11], [3, 1, 5], [10, 13, 12, 2, 7]]
13: [[9, 6, 4], [8, 11], [3, 1, 5], [10, 12, 13, 2, 7]]
14: [[9, 6, 4], [8, 11], [3, 1, 5], [10, 13, 12, 2, 7]]
15: [[9, 6, 4], [8, 11], [3, 1, 5, 10], [13, 12, 2, 7]]
16: [[9, 6], [8, 11, 2], [3, 1], [5, 10, 4], [12, 13, 7]]
17: [[9, 4], [6, 8, 11], [3, 1, 5, 10, 2, 13, 12, 7]]
18: [[9, 6, 4], [8, 11], [3, 1, 5], [10, 13, 12, 7], [2]]
19: [[9, 6, 2], [8, 11, 7], [3, 1, 5], [10, 13, 12, 4]]
20: [[9, 4], [6, 8], [11, 3, 1], [5, 10, 2], [13, 12, 7]]
21: [[9, 4], [6, 8], [11, 1, 3], [2, 10, 5], [13, 12, 7]]
22: [[9, 4], [6, 8], [11, 3, 1], [5, 10, 2], [13, 12, 7]]
23: [[9, 4], [6, 8, 11], [1, 10, 5, 13, 12, 2, 3], [7]]
24: [[9], [8, 11], [3, 1], [5, 10, 6, 4], [13, 12, 2, 7]]
25: [[9, 4], [6, 8], [11, 3], [1, 5, 10, 2], [13, 12, 7]]
26: [[9, 4], [6, 8], [11, 3, 1], [5, 10, 2, 13, 12, 7]]
27: [[9, 6], [8, 11, 3, 7], [1, 5, 10, 2, 4], [13], [12]]
