0: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
1: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
2: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
3: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
4: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
5: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
6: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
7: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
8: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
9: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
10: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
11: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
12: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
13: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
14: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
15: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
16: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
17: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
18: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
19: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
20: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
21: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
22: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
23: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
24: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
25: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
26: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
27: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
28: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
29: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
30: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
31: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
32: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
33: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
34: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
35: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
36: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
37: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
38: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
39: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
40: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
41: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
42: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
43: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
44: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
45: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
46: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
47: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
48: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
49: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
50: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
51: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
52: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
53: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
54: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
55: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
56: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
57: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
58: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
59: [[6, 19, 4, 3, 1, 9, 18, 2, 5, 7, 8, 24, 11, 10, 12], [15, 13, 17], [20, 25], [16, 28, 22, 23, 29, 14], [21, 26, 27]]
