0: [[3, 8, 1], [12, 13], [10, 2, 7, 5], [11, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
1: [[3, 8, 1], [12, 13], [2, 10, 7, 5], [14, 4, 6], [11, 9], [16, 19, 17, 18, 20, 15]]
2: [[3, 8, 1], [12, 13], [10, 2, 7, 5], [11, 9, 4], [6, 14], [15, 16], [18, 17, 19, 20]]
3: [[3, 8, 1], [12, 13, 11], [2, 10, 7, 5, 6, 14, 9], [15, 16, 18, 17, 19, 20, 4]]
4: [[3, 8, 1], [12, 13], [10, 2, 7], [5, 14, 4], [11, 16, 9, 6], [19, 17, 18, 20, 15]]
5: [[3, 8, 1], [12, 13, 10], [2, 7, 5], [14, 4], [11, 9], [16, 6, 15], [18, 17, 19, 20]]
6: [[3, 8, 1], [12, 13], [2, 10, 7], [5, 11, 4], [14, 16, 9, 6, 15], [19, 17, 18, 20]]
7: [[3, 8, 1], [12, 13], [2, 10, 7], [5, 11, 4], [14, 16, 9, 6, 15], [19, 17, 18, 20]]
8: [[3, 8, 1], [12, 13], [2, 10, 7, 5], [4, 6], [11, 9, 14], [15, 16, 18], [17, 19, 20]]
9: [[3, 8, 1], [12, 13], [2, 10], [7, 5], [14, 4, 6], [11, 17, 16, 9, 15], [19, 18, 20]]
10: [[3, 8, 1], [12, 13], [10, 2, 7, 5, 11, 4, 6, 14, 9], [15, 16, 18, 17, 19, 20]]
11: [[3, 8, 1], [12, 13], [2, 10, 7], [5, 14, 11, 9, 4, 6], [15, 16, 18, 19, 17, 20]]
12: [[3, 8, 1], [12, 13], [10, 2, 7, 5], [14, 9, 6], [11, 18, 4], [16, 17, 19, 20, 15]]
13: [[3, 8, 1], [12, 13], [2, 10, 7], [5, 9], [14, 4, 6], [11], [16, 18, 17, 15], [19, 20]]
14: [[3, 8, 1], [12, 13], [10, 2], [7, 5], [14, 4], [11, 9, 6, 15], [16, 18, 19, 20, 17]]
15: [[3, 8, 1], [12, 13, 2], [10, 7, 5], [14, 4, 6], [11, 9], [19, 17], [16, 18, 20, 15]]
16: [[3, 8, 1], [12, 13], [10, 2, 7], [5, 11], [14, 4], [16, 18, 9, 6, 15], [17, 19, 20]]
17: [[3, 8, 1], [12, 13], [10, 2], [7, 5], [14, 11, 4, 6], [15, 17, 18, 16, 19, 20, 9]]
18: [[3, 8, 1], [12, 13], [2, 10, 7], [5, 14, 11, 15, 17, 9, 4, 6], [19, 18, 16, 20]]
19: [[3, 8, 1], [12, 13], [2, 10, 7], [5], [16, 4, 6, 15], [11, 14, 18, 9], [19, 17, 20]]
20: [[3, 8, 1], [12, 13], [2, 10, 7], [5, 14, 11, 4], [16, 15, 19, 17, 18, 20, 9, 6]]
21: [[3, 8, 1], [12, 13, 2], [10, 7, 5, 14, 11, 9, 4, 6], [15, 17, 16, 18, 19, 20]]
22: [[3, 8, 1], [12, 13], [2, 10], [7, 5], [11, 17, 14, 16, 19, 9, 4, 6, 15], [18, 20]]
23: [[3, 8, 1], [12, 13, 2], [10, 7, 5], [14, 11, 15, 16, 19, 9, 4, 6], [17, 18, 20]]
24: [[3, 8, 1], [12, 13, 10], [2, 7, 5], [14, 11, 9, 4, 6], [16, 19, 18, 15], [17, 20]]
25: [[3, 8, 1], [12, 13, 2], [10, 7, 5], [11, 4], [14, 9, 6], [16, 18, 15], [17, 19, 20]]
26: [[3, 8, 1], [12, 13, 2], [10, 7, 5], [11, 4], [14, 9, 6], [16, 18, 15], [17, 19, 20]]
27: [[3, 8, 1], [12, 13], [2, 10, 7], [5, 14, 4, 6, 15, 11, 18, 16, 17, 19, 20, 9]]
28: [[3, 8, 1], [12, 13, 2, 10], [7, 5, 4], [14, 6], [11, 9], [17, 16, 18, 15], [19, 20]]
29: [[3, 8], [1, 12, 13], [2, 10, 7, 5, 14, 4], [6, 9], [11, 16, 18, 19, 17, 20, 15]]
30: [[3, 8, 1], [12, 13, 2], [10, 7, 5, 14], [11, 9, 4], [16, 18, 6, 15], [19, 17, 20]]
31: [[3, 8], [1, 12, 13], [10, 7, 5, 6, 2, 4], [11, 14, 15, 16, 19, 17, 18, 20, 9]]
32: [[3, 8, 1], [12, 13, 2, 10, 7], [5, 11, 6, 9], [14, 17, 4, 15], [18, 16, 19, 20]]
33: [[3, 8], [1, 12, 13], [2, 10, 7], [5, 4, 6], [14, 11, 9], [18, 17], [16, 19, 20, 15]]
34: [[3, 8, 1, 12], [13, 2, 10, 7, 5, 14, 4, 15, 9, 11, 6, 16], [17, 19, 18, 20]]
35: [[3, 8], [1, 12, 13], [10, 2, 6], [7, 5], [14, 11, 9], [16, 19, 15], [17, 18], [20, 4]]
36: [[3, 8], [1, 12, 13, 2], [10, 7, 5, 6], [14, 11, 15, 16, 19, 17, 18, 20, 9, 4]]
37: [[3, 8], [1, 12, 13, 2], [10, 7, 5, 14, 4, 6, 11, 15, 16, 18, 9], [19, 17, 20]]
38: [[3, 8], [1, 12, 13], [10, 2], [7, 5, 14], [11, 4], [18, 16, 9, 6, 15], [19, 17, 20]]
39: [[3, 8], [1, 12, 13], [2, 10], [7, 5, 14], [11, 4], [18, 16, 9, 6, 15], [17, 19, 20]]
40: [[3, 8], [1, 12], [13, 10, 2, 7, 9], [5], [14, 11, 18, 4], [16, 17, 6, 15], [19, 20]]
41: [[3, 8, 1, 12], [13, 10], [2, 7, 6], [5, 4], [14, 11, 15, 16, 18, 19, 17, 20, 9]]
