0: [[2, 10, 3], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19, 1, 13], [21, 23, 24]]
1: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
2: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
3: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
4: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
5: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
6: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
7: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
8: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
9: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
10: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
11: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
12: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
13: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
14: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
15: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
16: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
17: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
18: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
19: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
20: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
21: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
22: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
23: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
24: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
25: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
26: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7], [9, 8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
27: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7], [9, 8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
28: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7], [9, 8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
29: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7], [9, 8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
30: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
31: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
32: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
33: [[13, 2, 4, 10, 3, 1], [5, 6], [11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
34: [[13], [2, 4, 10, 3, 1], [5, 6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
35: [[13], [2, 4, 10, 3, 1], [5, 6, 11, 7], [9, 8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
36: [[13], [2, 4, 10, 3, 1], [5, 6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
37: [[13], [2, 4, 10, 3, 1], [5, 6, 11, 7], [9, 8, 14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
38: [[13, 2, 4, 10, 3, 1], [5, 6], [11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
39: [[13, 2, 4, 10, 3, 1], [5, 6], [11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
40: [[13, 2, 4, 10, 3, 1], [5, 6], [11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
41: [[13, 2, 4, 10, 3, 1], [5, 6], [11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
42: [[13, 2, 4, 10, 3, 1], [5, 6], [11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18], [22, 19], [21, 23, 24]]
43: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16, 18, 22], [19, 21], [23, 24]]
44: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18, 22], [19, 21], [23, 24]]
45: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18, 22], [19, 21], [23, 24]]
46: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9, 8], [14, 12, 15, 20, 17, 16, 18, 22], [19, 21], [23, 24]]
47: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16], [18, 22], [19, 21, 23, 24]]
48: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7], [9, 8, 14, 12, 15, 20, 17, 16], [18, 22], [19, 21, 23, 24]]
49: [[10, 3], [1, 13, 2], [4, 5], [6, 11, 7, 9], [8, 14, 12, 15, 20, 17, 16], [18, 22], [19, 21, 23, 24]]
