0: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
1: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
2: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
3: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
4: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
5: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
6: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
7: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
8: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
9: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
10: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
11: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
12: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
13: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
14: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
15: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
16: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
17: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4], [5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
18: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13], [4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
19: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13], [4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
20: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4, 5], [9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
21: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4, 5], [9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
22: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4, 5], [9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
23: [[7, 14, 11, 10, 12, 20, 16, 3, 1, 6, 2, 13, 4, 5], [9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
24: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
25: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
26: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
27: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
28: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
29: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
30: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
31: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
32: [[7, 14, 11, 10, 12, 20, 16, 3], [1, 6, 2, 13, 4, 5, 9, 17, 8, 18, 19, 15, 22], [21, 23, 24]]
