0: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
1: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 18, 16, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
2: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 13, 12, 8, 11], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
3: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 18, 16, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
4: [[3, 5, 6, 1, 2, 10, 14], [4, 11, 13, 8, 12, 15], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
5: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
6: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
7: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
8: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
9: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
10: [[3, 5, 6, 1, 2, 10, 14], [4, 15, 11, 13, 8, 12], [7, 9, 17, 16, 18, 23, 19, 22, 24], [21, 20, 25, 26, 29, 27, 28]]
