0: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
1: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
2: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
3: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
4: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
5: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
6: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
7: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
8: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
9: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
10: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
11: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
12: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
13: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
14: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
15: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
16: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
17: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
18: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
19: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
20: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
21: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
22: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
23: [[2, 18, 10, 32, 37, 19], [12, 11, 4, 9, 24, 17], [3, 1, 13, 5, 30, 34], [21, 26, 8, 25, 14, 22, 28], [6, 15, 33, 23, 20, 27], [7, 16, 31, 35, 29, 36]]
