0: [[13, 6, 3, 2, 9, 4, 5, 1], [14, 10, 11, 7], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
1: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
2: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
3: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
4: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
5: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
6: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
7: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
8: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
9: [[13, 6, 1, 3, 2, 9], [4, 5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
10: [[13, 6, 1, 3, 2, 9], [4, 5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
11: [[13, 6, 1, 3, 2, 9, 4], [5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
12: [[13, 6, 1, 3, 2, 9, 4], [5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
13: [[13, 6, 1, 3, 2, 9, 4, 5, 14, 10], [11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
14: [[13, 6, 1, 3, 2, 9, 4, 5, 14, 10], [11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
15: [[13, 6, 1, 3, 2, 9, 4, 5, 14, 10], [11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
16: [[13, 6, 1, 3, 2, 9, 4, 5, 14, 10], [11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
17: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11], [7, 8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
18: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11], [7, 8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
19: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 8, 12], [15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
20: [[13, 6, 1, 3, 2, 9], [5, 14, 10, 11, 7, 4, 12], [8, 15, 16, 19, 17, 18, 20], [22, 21, 23, 24]]
21: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 8, 12], [15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
22: [[13, 6, 1, 3, 2], [9, 4, 5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
23: [[13, 6, 1, 3, 2], [9, 4, 5, 14, 10, 11, 7], [8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
24: [[13, 6, 1, 3, 2], [9, 4, 5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
25: [[13, 6, 1, 3, 2], [9, 4, 5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
26: [[13, 6, 1, 3, 2], [9, 4, 5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
27: [[13, 6, 1, 3, 2, 9, 4, 5, 14], [10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
28: [[13, 6, 1, 3, 2, 9, 4, 5, 14], [10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
29: [[13, 6, 1, 3, 2, 9, 4, 5, 14], [10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
30: [[13, 6, 1, 3, 2, 9, 4, 5, 14], [10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
31: [[13, 6, 1, 3, 2, 9], [4, 5, 14, 10, 11, 7, 8, 12], [15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
32: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 8, 15, 12], [16, 19, 18, 20, 22, 17], [21, 23, 24]]
33: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 8, 15, 12], [16, 19, 18, 20, 22, 17], [21, 23, 24]]
34: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 8, 15, 12], [16, 19, 18, 20, 22, 17], [21, 23, 24]]
35: [[13, 6, 1, 3], [2, 9, 4, 5, 14, 10, 11, 7, 12], [8, 15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
36: [[13, 6, 1, 3, 2, 9, 4], [5, 14, 10, 11, 7, 8, 15, 12], [16, 19, 18, 20, 22, 17], [21, 23, 24]]
37: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 8, 15, 16, 19, 12], [18, 20, 22, 17], [21, 23, 24]]
38: [[13, 6, 1, 3, 2, 9, 5, 14, 4], [10, 11, 7], [8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
39: [[13, 6, 1, 3, 2], [9, 4, 5, 14, 10, 11, 7, 8, 12], [15, 16, 19, 18, 20, 22, 17], [21, 23, 24]]
40: [[13, 6, 1, 3], [2, 9, 4, 5, 14], [10, 11, 7, 8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
41: [[13, 6, 1, 3, 2, 9, 5, 14, 4], [10, 11, 7, 12], [8, 15, 16, 19, 17, 18, 20], [22, 21, 23, 24]]
42: [[13, 6, 1, 3, 2, 9, 4, 5, 14], [10, 11, 7, 8, 15, 16, 12], [19, 18, 20, 22, 17], [21, 23, 24]]
43: [[13, 6, 1, 3], [2, 9, 5, 14, 10, 11, 7, 4], [8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
44: [[13, 6, 1, 3, 2, 9, 4, 5, 14, 10, 11], [7, 8, 15, 16, 19, 12], [18, 20, 22, 17], [21, 23, 24]]
45: [[13, 6], [1, 3, 2, 9, 5, 14, 10, 4], [11, 7, 8, 15, 16, 19, 17, 18, 20, 12], [22, 21, 23, 24]]
46: [[13, 6, 1], [3, 2, 9, 4, 5, 14, 10, 11], [7, 8, 15, 16, 19, 18, 20, 22, 12, 17], [21, 23, 24]]
47: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 12], [8, 15, 16, 19, 17, 18, 20, 22, 21], [23, 24]]
48: [[13, 6, 1, 3, 2, 9, 4, 5], [14, 10, 11, 7, 12, 8], [15, 16, 19, 17, 18, 20, 22, 21], [23, 24]]
49: [[13, 6, 1, 3, 2, 9, 4, 5, 14], [10, 11, 7, 12], [8, 15, 16, 19, 17, 18, 20, 22, 21], [23, 24]]
