0: [[11, 19, 1, 2], [5, 3, 4, 6, 10], [7, 24, 28, 12], [29, 8, 13], [9, 15, 16, 17, 18, 14], [21, 26, 27], [20, 25], [23, 22]]
1: [[11, 19, 1, 2], [5, 3, 4, 6, 10], [7, 24, 28, 12], [29, 8, 13], [9, 15, 16, 17, 18, 14], [21, 26, 27], [20, 25], [23, 22]]
2: [[19, 1, 2], [5, 3, 4, 6, 7, 10], [11, 17, 28, 12], [8, 13, 14], [9, 15, 16, 18, 23, 22], [21, 26, 27], [20, 25], [24, 29]]
3: [[11, 19, 1], [2, 5, 3, 8], [6, 4, 24, 28, 10], [13, 15, 12, 14], [9, 7, 16, 18, 17, 27], [21, 26, 29], [20, 25], [23, 22]]
4: [[11, 19, 5, 6, 10], [1, 3, 2, 4, 15, 12], [7, 16, 24], [13, 8, 9], [29, 25, 28, 14], [21, 18, 17], [20, 23, 22], [27, 26]]
5: [[10, 19, 5, 7, 1, 3, 2, 14, 6], [12, 4, 9, 8, 11, 13, 15, 16, 17, 22], [18, 21, 28, 23, 27, 24, 20, 26, 25, 29]]
6: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 13, 8, 11, 9, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 26, 25, 24, 29]]
7: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [13, 4, 9, 8, 11, 12, 15, 16, 17, 22], [18, 21, 28, 23, 24, 20, 25, 27, 26, 29]]
8: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 13, 8, 11, 9, 15, 17, 16, 22], [18, 21, 28, 23, 27, 20, 24, 25, 26, 29]]
9: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 13, 8, 11, 9, 15, 17, 16, 22], [18, 21, 28, 23, 25, 20, 26, 24, 27, 29]]
10: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 9, 8, 11, 13, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 26, 25, 24, 29]]
11: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 13, 9, 11, 8, 15, 16, 17, 22], [18, 21, 28, 23, 25, 20, 24, 27, 26, 29]]
12: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 13, 8, 11, 9, 15, 16, 17, 22], [18, 21, 28, 23, 26, 20, 25, 24, 27, 29]]
13: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 9, 8, 11, 13, 15, 16, 17, 22], [18, 21, 28, 23, 24, 20, 25, 27, 26, 29]]
14: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 13, 8, 11, 9, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 24, 25, 26, 29]]
15: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [13, 4, 9, 8, 11, 12, 15, 16, 17, 22], [26, 21, 28, 23, 18, 20, 25, 24, 27, 29]]
16: [[19, 1, 2], [5, 3, 4, 6, 15, 10], [17, 28, 8], [7, 9, 13], [25, 11, 18, 23, 20, 22, 12, 14], [21, 26], [16, 27], [24, 29]]
17: [[11, 19, 1], [6, 2, 3, 4, 7, 22, 10, 12], [5, 24, 25], [13, 8, 15], [9, 18, 20, 17, 16], [21, 26, 27, 14], [28], [23, 29]]
18: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 13, 8, 11, 9, 15, 16, 17, 22], [18, 21, 28, 23, 25, 20, 24, 27, 26, 29]]
19: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 9, 8, 11, 13, 15, 16, 17, 22], [26, 21, 28, 23, 18, 20, 24, 25, 27, 29]]
20: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 9, 8, 11, 13, 15, 16, 17, 22], [18, 21, 28, 23, 25, 24, 20, 27, 26, 29]]
21: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 9, 8, 11, 15, 13, 16, 17, 22], [18, 21, 28, 23, 25, 20, 24, 27, 26, 29]]
22: [[10, 19, 5, 7, 1, 3, 2, 14, 6, 12], [4, 13, 8, 11, 9, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 24, 25, 26, 29]]
23: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 9, 8, 11, 13, 15, 16, 17, 22], [18, 21, 28, 23, 25, 20, 24, 27, 26, 29]]
24: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 13, 8, 11, 9, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 24, 25, 26, 29]]
25: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 9, 8, 11, 13, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 26, 24, 25, 29]]
26: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 13, 8, 11, 9, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 26, 25, 29, 24]]
27: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 9, 8, 11, 13, 15, 16, 17, 22], [18, 21, 28, 23, 26, 20, 25, 24, 27, 29]]
28: [[10, 19, 5, 6, 1, 3, 2, 14, 7, 13], [4, 9, 8, 11, 12, 15, 17, 16, 22], [26, 21, 28, 23, 18, 20, 25, 24, 27, 29]]
29: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [12, 4, 13, 8, 9, 11, 15, 16, 29, 22], [26, 21, 28, 23, 27, 18, 17, 25, 20, 24]]
30: [[11, 19, 5, 6, 1, 3, 2, 14, 7, 12], [4, 8, 10, 9, 13, 15, 16, 17, 22], [18, 21, 28, 23, 27, 20, 24, 25, 26, 29]]
31: [[10, 19, 5, 6, 1, 3, 2, 12, 7], [14, 20, 13, 4, 8, 9, 15, 17, 11, 18], [16, 22, 26, 23, 25, 27, 24, 29, 28, 21]]
32: [[10, 19, 5, 6, 1, 3, 7, 14, 2], [13, 4, 11, 8, 9, 15, 12, 16, 21, 22], [17, 20, 29, 18, 24, 23, 26, 25, 27, 28]]
33: [[10, 19, 5, 6, 1, 3, 2, 7, 15], [4, 8, 29, 12, 9, 13, 14, 25, 11, 16], [18, 21, 22, 23, 17, 20, 24, 26, 27, 28]]
34: [[11, 19, 5, 6, 1, 3, 2, 12, 7, 9], [4, 10, 8, 13, 14, 15, 16, 17, 22], [18, 21, 28, 20, 27, 23, 25, 26, 24, 29]]
35: [[10, 19, 1, 6, 5, 3, 2, 14, 7, 4], [16, 28, 12, 11, 8, 13, 17, 9, 15], [20, 21, 22, 23, 25, 24, 26, 27, 18, 29]]
36: [[10, 19, 1, 6, 5, 3, 4, 7, 2], [13, 20, 29, 8, 24, 9, 11, 16, 25, 22], [12, 14, 26, 23, 27, 18, 15, 17, 21, 28]]
37: [[10, 19, 5, 6, 1, 3, 2, 14, 7], [4, 8, 13, 12, 11, 9, 15, 16, 21, 20], [18, 17, 22, 23, 27, 24, 28, 25, 26, 29]]
38: [[10, 19, 5, 6, 1, 3, 4, 14, 2], [13, 7, 15, 8, 11, 9, 12, 16, 21, 22], [17, 20, 29, 18, 24, 23, 25, 26, 28, 27]]
39: [[10, 19, 5, 6, 1, 3, 2, 8, 7], [4, 9, 12, 11, 27, 14, 13, 15, 29, 22], [17, 20, 16, 21, 24, 18, 25, 23, 26, 28]]
40: [[10, 19, 5, 6, 1, 3, 2, 13, 7], [4, 12, 29, 11, 27, 9, 8, 14, 15, 18], [21, 17, 20, 23, 26, 16, 22, 25, 24, 28]]
41: [[10, 19, 5, 2, 4, 3, 6, 8, 7, 11], [15, 12, 18, 9, 20, 13, 1, 29, 16], [17, 23, 14, 21, 27, 25, 22, 26, 28, 24]]
42: [[11, 19, 1, 2, 5, 3, 4, 14, 7, 12], [20, 9, 8, 6, 10, 13, 15, 16, 22], [18, 21, 28, 23, 25, 17, 26, 24, 27, 29]]
43: [[10, 19, 1, 2, 5, 3, 4, 14, 6], [13, 12, 7, 8, 27, 9, 15, 11, 20, 16], [18, 17, 21, 23, 26, 22, 29, 24, 25, 28]]
44: [[10, 19, 5, 2, 1, 3, 4, 6, 7, 11], [16, 12, 8, 15, 13, 14, 24, 9, 20], [17, 18, 28, 23, 27, 22, 25, 26, 29, 21]]
45: [[10, 19, 5, 6, 1, 3, 2, 4, 7, 12], [11, 9, 8, 27, 13, 15, 14, 16, 20], [18, 21, 17, 23, 24, 22, 26, 25, 28, 29]]
46: [[11, 19, 5, 2, 1, 3, 4, 14, 7, 6], [20, 13, 12, 25, 9, 15, 8, 10, 16], [18, 22, 17, 23, 27, 21, 24, 26, 28, 29]]
47: [[19, 1, 6, 5, 10], [3, 2, 4, 14], [7, 28, 9], [8, 11, 13, 24, 15, 12], [20, 17, 18, 22], [23, 27, 21], [16, 25], [26, 29]]
48: [[11, 19, 5, 2, 1, 3, 6, 4, 7, 8], [10, 13, 12, 29, 9, 15, 20, 25, 18], [27, 17, 14, 21, 24, 16, 28, 26, 23, 22]]
49: [[11, 19, 1, 2], [5, 3, 4], [7, 24, 28, 8, 10, 14], [29, 6, 15, 9, 22, 12], [16, 13, 17], [21, 26, 20], [23, 25], [27, 18]]
50: [[11, 19, 1, 6, 5, 3, 4, 9, 2, 7], [10, 28, 8, 15, 12, 13, 16, 18, 20], [17, 21, 14, 23, 27, 26, 24, 25, 22, 29]]
51: [[11, 19, 5, 6, 1, 3, 4, 14, 2], [15, 28, 12, 7, 29, 8, 13, 17, 9, 22], [10, 21, 18, 23, 27, 24, 16, 25, 26, 20]]
52: [[19], [1, 2, 5], [3, 7, 6, 15, 4, 10, 12], [29, 8, 11], [9, 13, 17, 27], [16, 21, 18, 23, 22, 14], [26, 20, 28, 25], [24]]
53: [[19, 1, 6, 5, 10], [3, 4, 2, 7, 22, 12], [8, 24, 14], [9, 15, 11, 13, 17, 27], [18, 16, 28], [21, 25], [20, 26], [23, 29]]
54: [[11, 19, 5, 6, 1, 3, 4, 14, 15], [2, 20, 28, 8, 27, 9, 13, 17, 7, 22], [16, 10, 12, 23, 24, 21, 18, 25, 26, 29]]
55: [[11, 19, 5, 2, 14], [1, 3, 4, 13, 10], [6, 8, 9, 15, 12], [18, 17, 7], [16, 21, 26], [23, 24, 20, 22], [27, 25], [28, 29]]
56: [[11, 19], [1, 2, 5], [3, 4, 6, 7, 24, 10, 12], [29, 13], [8, 9, 15], [16, 17, 18, 20, 14], [21, 26, 27, 23, 22], [25, 28]]
57: [[11, 19, 1], [2, 5, 3, 4, 22, 10, 14, 12], [15, 28, 6], [8, 21, 9, 13], [7, 18, 16, 17], [20, 26, 27], [25, 24], [23, 29]]
58: [[19], [1, 2, 4, 12], [3, 7, 6, 9, 5, 8, 10], [13, 11], [15, 17, 27], [16, 18, 23, 28, 21, 22, 14], [26, 20, 24], [25, 29]]
59: [[19], [5, 2, 1], [3, 6, 15, 28, 10], [13, 4, 25], [9, 7, 8, 11], [18, 16, 20, 17, 21, 14], [26, 23, 24, 22, 12], [27, 29]]
