0: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
1: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 12, 13, 7]]
2: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 12, 13, 7]]
3: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
4: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
5: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
6: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
7: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
8: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
9: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
10: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
11: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
12: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
13: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
14: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
15: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
16: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
17: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
18: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
19: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
20: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
21: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
22: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
23: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
24: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
25: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
26: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
27: [[3, 1, 5], [6, 10, 2, 4], [8, 11], [9, 13, 12, 7]]
