0: [[16, 6, 3, 4], [9], [15, 8, 5], [11, 7], [14, 10, 2], [12, 20, 17, 19, 18, 22, 1, 13], [23, 21, 24]]
1: [[4, 16, 6, 3], [1, 9], [15, 2, 13, 8], [11, 7], [14, 10, 12, 20], [17, 19, 5], [18, 22], [23, 21, 24]]
2: [[16, 6, 3], [1, 9], [15, 2], [13, 8], [11, 7], [14, 10], [12, 20, 17, 19, 5], [18, 22, 4], [23, 21, 24]]
3: [[16, 6, 3], [1, 9], [15, 2], [13, 8, 5], [11, 7], [14, 10], [12, 20], [17, 19], [18, 22, 4], [23, 21, 24]]
4: [[16, 3], [1, 9, 6], [15], [2, 13, 8], [11, 7], [14, 10, 12], [20, 17, 5], [19, 18, 22, 4], [23, 21, 24]]
5: [[16, 6, 3], [1, 9, 4], [15, 2], [13, 8, 5], [11, 7], [14, 10], [12, 20], [17, 19, 18, 22], [23, 21, 24]]
6: [[4, 16, 6, 3, 5], [1, 9], [15, 2], [13, 8], [11, 7], [14, 10, 12], [20, 17, 19, 18, 22], [23, 21, 24]]
7: [[16, 6, 3], [1, 9], [15, 2, 4], [13, 8, 5], [11, 7], [14, 10], [12, 20], [17, 19, 18], [22, 23, 21, 24]]
8: [[16, 1, 6, 3, 4], [9], [15, 2], [13, 8, 5], [11, 7], [14, 10], [12, 20], [17, 19, 18, 22], [23, 21, 24]]
9: [[16, 1, 6, 3, 4], [9], [15, 2], [13, 8, 5], [11, 7], [14, 10], [12, 20], [17, 19, 18, 22], [23, 21, 24]]
10: [[6, 3], [5, 4], [16, 1, 9, 15, 2, 13, 8, 11, 7], [14, 10], [12, 20], [17, 19, 18, 22], [23, 21, 24]]
11: [[4], [16, 1, 3], [9, 15, 6], [2, 13, 8], [11, 7, 14, 10], [12, 20, 5], [17, 19, 18, 22], [23, 21, 24]]
12: [[4, 16, 3], [1, 9, 15, 6], [2, 13], [8, 11, 7], [14, 10, 12, 20], [17, 19, 5], [18, 22], [23, 21, 24]]
13: [[4, 16, 3], [1, 9], [15, 2], [13, 8, 11, 6, 5], [7, 14, 10], [12, 20], [17, 19], [18, 22], [23, 21, 24]]
14: [[6, 3], [5, 4], [16, 1, 9, 15, 2], [13, 8], [11, 7, 14, 10], [12, 20], [17, 19], [18, 22], [23, 21, 24]]
15: [[4, 16, 1, 6, 3, 5], [9, 15], [2, 13], [8, 11, 7], [14, 10, 12, 20, 17, 19], [18, 22], [23, 21, 24]]
16: [[4], [16, 1, 9, 15, 6, 3], [2, 13, 8, 5], [11, 7, 14], [10, 12, 20], [17, 19, 18, 22], [23, 21, 24]]
17: [[4], [16, 1, 3], [9, 15], [2, 13, 8, 6, 5], [11, 7], [14, 10, 12], [20, 17, 19], [18, 22], [23, 21, 24]]
18: [[4], [16, 1, 3], [9, 15, 2], [13, 8, 6, 5], [11, 7], [14, 10], [12, 20], [17, 19, 18], [22, 23, 21, 24]]
19: [[4, 16, 3], [1, 9], [15, 2, 13], [8, 11, 6], [7, 14, 10], [12, 20, 17, 5], [19, 18, 22], [23, 21, 24]]
20: [[16, 1, 3], [9, 15, 6, 4], [2, 13], [8, 5], [11, 7], [14, 10, 12], [20, 17], [19, 18], [22, 23, 21, 24]]
21: [[4, 16, 6, 3], [1], [9, 15], [2, 13], [8, 11, 7], [14, 10], [12, 20, 17, 5], [19, 18, 22], [23, 21, 24]]
22: [[16, 1, 3], [9, 15, 6], [2, 13], [8, 11], [7, 14], [10, 12], [20, 17, 5], [19, 18, 22, 4], [23, 21, 24]]
23: [[4, 5], [16, 1, 3], [9, 15], [2, 13], [8, 11, 6], [7, 14, 10], [12, 20, 17], [19, 18, 22], [23, 21, 24]]
24: [[4], [16, 1, 3], [9, 15, 2, 6], [13, 8, 11], [7], [14, 10, 12], [20, 17, 19, 5], [18, 22], [23, 21, 24]]
25: [[4, 5], [16, 1, 3], [9, 15], [2, 13], [8, 11, 7, 6], [14, 10], [12, 20, 17], [19, 18], [22, 23, 21, 24]]
26: [[4], [16, 1, 3], [9, 15], [2, 13, 8, 6, 5], [11, 7, 14], [10, 12], [20, 17, 19, 18], [22, 23, 21, 24]]
27: [[16, 6, 3], [1, 9], [15, 2], [13, 8], [11, 7], [14, 10], [12, 20, 17, 19, 5], [18, 22, 23, 4], [21, 24]]
28: [[4], [16, 1, 3], [9, 15], [2, 13, 8, 11, 6, 5], [7, 14], [10, 12, 20], [17, 19, 18], [22, 23, 21, 24]]
29: [[4, 16, 6, 3], [1, 9], [15, 2], [13, 8, 5], [11, 7], [14, 10], [12, 20, 17, 19], [18, 22, 23], [21, 24]]
30: [[16, 1, 3], [9, 15, 6, 4], [2, 13], [8, 11], [7, 14], [10, 12], [20, 17, 5], [19, 18], [22, 23, 21, 24]]
