0: [[20, 1, 2], [19, 5, 4], [16, 3], [6, 9, 15], [11, 7], [8, 14, 10], [13, 12], [17, 18], [22], [23, 21, 24]]
1: [[2, 1], [5, 4], [16, 3], [6, 9, 15], [11, 7], [8, 14, 10, 20], [13, 12, 19], [17, 18, 22], [23, 21, 24]]
2: [[20, 2, 1], [4, 16, 3], [6, 9, 15], [11, 7], [8, 14, 10, 13], [12, 17, 19, 5], [18, 22], [23, 21, 24]]
3: [[2, 1], [5], [4, 16, 3], [6, 9, 15], [11, 7], [8, 14, 10, 20], [13, 12, 19], [17, 18, 22], [23, 21, 24]]
4: [[20, 2, 1], [4, 16, 3], [6, 9, 15], [11, 7], [8, 14, 10, 19], [13, 12, 17, 18, 5], [22, 23, 21, 24]]
5: [[2, 1], [5, 4], [16, 3], [6, 9, 15], [11, 7], [8, 14, 10, 20], [13, 12, 19], [17, 18], [22, 23, 21, 24]]
6: [[2], [5, 4], [16, 3], [6, 9], [15, 11, 7, 8], [14, 10], [13, 12, 20, 1, 19], [17, 18], [22, 23, 21, 24]]
7: [[20, 1, 2], [19, 5, 4, 16], [3, 6], [9, 15], [11, 7, 8], [14, 10], [13, 12], [17, 18, 22], [23, 21, 24]]
8: [[2], [5, 4], [16, 3, 6, 9], [15, 11, 7], [8, 14], [10, 13, 20, 1], [12, 17, 18, 22, 19], [23, 21, 24]]
9: [[2], [5], [4, 16, 3], [6, 9, 15], [11, 7, 8], [14, 10, 13], [12, 17, 20, 1, 19], [18, 22], [23, 21, 24]]
10: [[2], [4], [16, 3], [6, 9, 1], [15, 11, 7], [8, 14], [10, 20, 19], [13, 12, 5], [17, 18, 22], [23, 21, 24]]
11: [[2], [5, 4], [16, 3], [6, 9, 1], [15, 11], [7, 8], [14, 10, 13], [12, 17, 18, 22, 20, 19], [23, 21, 24]]
12: [[2], [5, 4], [16, 3], [6, 9, 1], [15, 11], [7, 8], [14, 10, 13], [12, 17, 18, 22, 20, 19], [23, 21, 24]]
