0: [[7, 16, 11], [10, 3, 4, 2, 5, 6, 13, 14, 1, 12], [9, 15, 8, 19, 18, 20, 22, 17], [23, 21, 24]]
1: [[11, 12, 1, 7, 16], [10, 3, 4, 2, 5, 6, 13, 14], [9, 15, 8, 17, 19, 18, 20, 22], [23, 21, 24]]
2: [[7, 16, 11], [10, 3, 4, 2, 5, 6, 12, 1], [13, 14, 9, 15, 8, 17, 19, 18], [20, 22], [23, 21, 24]]
3: [[7, 16, 11], [12, 1, 10, 3], [4, 2], [5, 6, 13, 14, 9], [15, 8, 17, 19, 18], [20, 22], [23, 21, 24]]
4: [[12, 1, 10, 3, 4, 16], [2, 5, 6, 7, 11], [13, 14, 9, 15, 8, 17, 19, 18], [20, 22], [23, 21, 24]]
5: [[7, 16], [11, 12], [1, 10, 3], [4, 2, 5, 6, 13, 14], [9, 15, 8, 17, 19, 18, 20, 22], [23, 21, 24]]
6: [[12, 1, 10, 7, 11], [3, 4, 2, 16], [5, 6, 13, 14, 9], [15, 8], [17, 19, 18, 20], [22, 23, 21, 24]]
7: [[12, 1, 10, 7, 11], [3, 4, 2, 5, 16], [6, 13], [14, 9, 15, 8], [17, 19], [18, 20, 22], [23, 21, 24]]
8: [[12, 1], [10, 3, 4], [2, 5, 6], [13, 14, 7, 11], [9, 15, 8], [17, 19], [18, 20, 22, 16], [23, 21, 24]]
9: [[12, 1, 10, 3, 4], [2, 5, 6], [13, 14], [9, 15, 8], [17, 19, 7, 11], [18, 20, 22, 16], [23, 21, 24]]
10: [[12, 1, 16], [10, 3], [4, 2, 5], [6, 13], [14, 9, 7, 11], [15, 8, 17], [19, 18], [20, 22], [23, 21, 24]]
11: [[12, 1, 10, 3], [4, 2, 5], [6, 13, 14], [9, 15], [8, 17, 7, 16, 11], [19, 18, 20, 22], [23, 21, 24]]
12: [[12], [1, 10], [3, 4, 2, 16], [5, 6], [13, 14, 9, 7, 11], [15, 8], [17, 19, 18, 20], [22, 23, 21, 24]]
13: [[12, 1, 16], [10, 3, 4], [2, 5, 6], [13, 14, 9, 7, 11], [15, 8, 17], [19, 18], [20, 22], [23, 21, 24]]
14: [[12], [1, 10], [3, 4, 16], [2, 5, 6], [13, 14, 7, 11], [9, 15, 8], [17, 19], [18, 20], [22, 23, 21, 24]]
15: [[12], [1, 10], [3, 4, 2, 16], [5, 6], [13, 14, 7, 11], [9, 15], [8, 17, 19, 18], [20, 22], [23, 21, 24]]
16: [[12, 1, 16, 11], [10, 3, 4], [2, 5], [6, 13], [14, 9, 15, 7], [8, 17, 19, 18, 20], [22, 23, 21, 24]]
17: [[12], [1, 10, 11], [3, 4, 16], [2, 5], [6, 13, 14, 7], [9, 15], [8, 17, 19, 18, 20], [22, 23, 21, 24]]
18: [[12], [1, 10, 3], [4, 2], [5, 6, 13], [14, 9, 15, 7, 11], [8, 17, 19], [18, 20, 22, 16], [23, 21, 24]]
19: [[12, 1, 10], [3, 4, 16], [2, 5, 6], [13, 14, 9, 15], [8, 17, 7, 11], [19, 18], [20, 22], [23, 21, 24]]
20: [[12, 1, 10], [3, 4, 2, 16], [5, 6], [13, 14, 7, 11], [9, 15], [8, 17, 19], [18, 20], [22, 23, 21, 24]]
21: [[7, 16, 11], [12, 1], [10, 3, 4], [2, 5], [6, 13, 14, 9], [15, 8, 17, 19, 18, 20, 22], [23], [21, 24]]
22: [[7, 16, 11], [12, 1, 10, 3, 4], [2, 5, 6], [13, 14, 9, 15, 8], [17, 19, 18, 20], [22, 23], [21, 24]]
23: [[7, 11, 16], [1, 10, 3, 4, 2, 5, 6, 13, 14, 12], [9, 15, 8, 17], [19, 18, 20, 22, 23, 21, 24]]
24: [[12, 1, 10, 7, 11], [3, 4, 16], [2, 5], [6, 13], [14, 9], [15, 8], [17, 19, 18, 20], [22, 23], [21, 24]]
25: [[12, 1, 10, 7, 11], [3, 4, 2, 16], [5, 6], [13, 14], [9, 15, 8], [17, 19, 18], [20, 22, 23], [21, 24]]
26: [[12, 1, 10, 7, 11], [3, 4, 2, 16], [5, 6], [13, 14], [9, 15, 8], [17, 19, 18], [20, 22], [23, 21], [24]]
27: [[12, 1, 10, 7, 11], [3, 4, 2, 16], [5, 6], [13, 14], [9, 15, 8], [17, 19, 18], [20, 22, 23], [21, 24]]
28: [[12, 1, 10], [3, 4, 16], [2, 5, 6], [13, 14, 7, 11], [9, 15], [8, 17, 19, 18], [20, 22, 23, 21, 24]]
