0: [[20, 17], [13, 8, 19, 1, 2, 12], [11, 7], [10, 9, 14, 6], [15, 4, 5], [18, 3, 16], [22], [23, 21, 24]]
1: [[13, 12, 8, 19, 20, 17, 5], [1, 11, 2], [7, 10], [9, 14, 6], [15, 4, 18], [3, 16, 22], [23, 21, 24]]
2: [[13, 12, 8, 19, 20, 17, 5], [1, 11, 2], [7, 10], [9, 14, 6], [15, 4, 18], [3, 16, 22], [23, 21, 24]]
3: [[20, 17], [5, 13, 12], [8, 19], [1, 11, 2], [7], [10, 9, 14], [6, 15, 4], [18, 3, 16, 22], [23, 21, 24]]
4: [[5, 17], [13, 8, 20, 12], [19, 1, 11], [2, 7, 10], [9, 14], [6, 15, 4], [18, 3, 16, 22], [23, 21, 24]]
5: [[20, 17], [5, 13, 12], [8, 19], [1, 11], [2, 7, 10], [9, 14, 6], [15, 4, 18], [3, 16, 22], [23, 21, 24]]
6: [[13, 12, 8, 20, 17, 5], [19, 1, 11], [2, 7, 10], [9, 14, 6], [15, 4, 18], [3, 16], [22, 23, 21, 24]]
7: [[13, 17], [12, 8, 19, 20, 5], [1, 11, 2], [7, 10, 9, 14, 6], [15, 4, 18], [3, 16], [22, 23, 21, 24]]
8: [[13, 12, 8, 19, 20, 17, 5], [1, 11, 2], [7, 10], [9, 14, 6], [15, 4, 18, 3], [16, 22], [23, 21, 24]]
9: [[13, 17], [12, 8, 20, 5], [19, 1], [11, 2, 7, 10], [9, 14, 6, 15], [4, 18, 3, 16], [22, 23, 21, 24]]
10: [[20, 13, 17], [8, 19, 1, 12], [11, 2, 7], [10, 9], [14, 6, 5], [15, 4, 18], [3, 16, 22], [23, 21, 24]]
11: [[13, 17], [12, 8, 19, 20, 5], [1, 11, 2], [7, 10, 9, 14], [6, 15], [4, 18, 3, 16], [22, 23, 21, 24]]
12: [[13, 17], [12, 8, 20, 5], [19, 1, 11, 2], [7, 10], [9, 14, 6, 15], [4, 18, 3, 16], [22, 23, 21, 24]]
13: [[13, 12, 17], [8, 19, 20], [1, 11], [2, 7], [10, 9, 14], [6, 5], [15, 4], [18, 3, 16], [22, 23, 21, 24]]
14: [[20, 17], [5, 13, 12], [8, 19], [1, 11, 2], [7, 10], [9, 14], [6, 15], [4, 18, 3, 16], [22, 23, 21, 24]]
15: [[13, 12, 17, 5], [8, 19, 1, 20], [11, 2], [7, 10], [9, 14], [6, 15, 4, 18], [3, 16, 22], [23, 21, 24]]
16: [[20, 17], [13], [8, 19, 1, 12], [11, 2], [7, 10], [9, 14, 6], [15, 4, 5], [18, 3], [16, 22], [23, 21, 24]]
17: [[12, 8, 20, 17], [19, 1, 13], [11, 2], [7, 10], [9, 14], [6, 15], [4, 18, 5], [3, 16, 22], [23, 21, 24]]
