0: [[5, 1, 7, 2], [3, 11], [8, 10], [13, 12, 9], [15, 16, 14, 6, 4], [19, 17, 20, 18]]
1: [[5, 1, 7, 2], [3, 11], [8, 10], [13, 12, 9], [15, 16, 14, 6, 4], [19, 17, 20, 18]]
2: [[5, 1, 7, 2], [3, 11], [8, 10], [13, 12, 9], [16, 14, 6, 15], [19, 4], [17, 20, 18]]
3: [[5, 1, 2, 7], [3, 11], [8, 4], [13, 9, 12], [6, 10, 14], [15, 16], [19, 17, 20, 18]]
4: [[5, 1, 7, 2], [3, 11, 8, 4], [14, 6, 10, 9], [16, 12, 13, 15], [17, 20, 18, 19]]
5: [[5, 1, 7, 2], [3, 11, 8, 4], [13, 6, 10, 9], [14, 12, 16, 15], [18, 17, 20, 19]]
6: [[5, 1, 7, 2], [3, 11], [8, 14], [13, 4, 12], [9, 10, 6], [15, 16], [17, 18, 20, 19]]
7: [[5, 1, 7, 2], [3, 11, 8], [13, 4], [14, 10, 6], [12, 17, 20, 9], [19, 16, 18, 15]]
8: [[5, 1, 7, 2], [11, 8, 12, 10], [14, 3, 6, 9], [16, 4, 13, 15], [17, 19, 18, 20]]
9: [[5, 1, 7, 2], [11, 12], [10, 3, 6], [8, 13, 16, 9], [14, 17, 4, 15], [19, 18, 20]]
10: [[5, 1, 7, 2, 3, 11, 4, 8, 14, 9, 6, 10], [16, 13, 12, 15], [19, 17, 18, 20]]
11: [[5, 1, 2, 7], [3, 11, 10, 8], [12, 13, 6, 14, 4, 9, 18, 15, 17, 19, 20, 16]]
12: [[5, 1, 7, 2], [3, 11, 8, 10], [13, 12, 9, 15, 17, 14, 6, 4, 19, 16, 18, 20]]
13: [[5, 1, 7, 2], [3, 10, 12, 6, 9], [13, 8, 14, 4], [20, 11, 18, 19, 17, 15, 16]]
14: [[5, 1, 2, 7], [3, 11, 8], [12, 13, 9, 10, 15, 4, 16], [14, 18, 17, 19, 20, 6]]
15: [[5, 1, 7, 2], [12, 10, 6, 9], [3, 14, 8], [17, 11, 13, 4], [19, 16, 18, 20, 15]]
16: [[5, 1, 7, 2], [3, 11], [10, 9], [12, 6, 8, 15], [4, 18, 14, 13], [19, 17, 20, 16]]
17: [[5, 1, 7, 2], [3, 11], [4, 8, 14, 9, 6, 10, 16, 12, 13, 19, 15, 17], [18, 20]]
18: [[5, 1, 3, 6], [2, 11, 8, 10], [12, 13], [9, 14, 4], [7, 15, 16], [19, 20, 18, 17]]
19: [[5, 1], [3, 11], [8, 2, 13, 7], [12, 10, 16, 6, 9], [14, 18, 4, 15], [20, 19, 17]]
20: [[5, 1, 7, 2], [3, 11, 8, 13], [12, 16, 10, 4], [6, 9, 14, 15, 17], [18, 20, 19]]
21: [[5], [1, 6, 3, 2], [10, 7, 9], [8, 11], [12, 13, 14, 17, 4, 15], [16, 20, 19, 18]]
22: [[5, 1, 3, 6], [2, 11, 10, 8], [12, 7, 14, 9], [13, 17, 4], [18, 20, 19, 16, 15]]
23: [[5, 1, 7, 2], [3, 10, 12, 14, 13, 4, 8, 11, 18, 6, 9, 20], [17, 15, 16, 19]]
24: [[5, 1, 7, 2], [3, 11, 4, 8, 14, 9, 6, 10, 17, 13, 12, 19], [15, 16, 18, 20]]
25: [[5, 1, 7], [2, 3, 10], [6, 13, 8, 11, 9], [16, 14, 12, 15, 4], [19, 17, 20, 18]]
26: [[5, 1, 7, 2], [3, 11], [8, 4, 12, 13, 6, 9], [10, 20, 14, 19, 15], [17, 16, 18]]
27: [[5, 1], [7, 2, 11], [8, 12, 4, 13], [10, 9, 15, 3], [6, 14, 16], [19, 17, 20, 18]]
28: [[5, 1, 3, 6], [2, 11, 8, 10], [9, 13, 15], [14, 16, 12, 7, 4], [17, 19, 20, 18]]
29: [[5, 1, 7], [2, 11, 9, 8], [4, 13, 3, 10], [12, 14, 6, 16, 15, 17, 19, 20, 18]]
30: [[5, 1, 7, 2, 3, 11, 8, 4, 13, 10, 9, 12, 15, 6, 16, 14], [19, 17], [20, 18]]
31: [[5, 1], [7, 2], [3, 11, 8, 6], [13, 12, 4, 14, 9, 10, 15, 18], [16, 17, 19, 20]]
32: [[5, 1, 2, 7], [3, 10, 12, 8], [13, 9, 4, 15], [16, 6, 14, 11, 17, 19, 20, 18]]
33: [[5, 1, 3], [2, 11, 8], [13, 7, 4], [10, 12, 14, 6, 9], [18, 17], [19, 16, 20, 15]]
34: [[5, 1, 3, 6, 2], [9, 12, 10], [4, 7, 11, 14, 8, 13, 15], [18, 19, 16, 17, 20]]
35: [[5, 1, 6], [3, 11, 8, 9], [14, 12, 2, 4], [7], [10, 13, 15, 16], [17, 19, 20, 18]]
36: [[5], [1, 6, 3], [4, 10, 8, 11, 15, 9, 7, 12, 2, 16, 14, 18, 13, 20, 19, 17]]
37: [[5, 1, 6, 3], [7, 11, 8, 4], [13, 10, 2, 9], [14, 20, 17, 15], [12, 16, 18, 19]]
38: [[5, 1, 7], [2, 3, 10], [12, 4], [13, 6, 8, 15], [9, 11, 14, 16], [18, 17, 20, 19]]
39: [[5, 1, 2, 7], [10, 9, 3], [12, 4, 8, 15], [11, 13, 16, 14, 18], [20, 19, 17, 6]]
40: [[5, 1, 6, 3], [4, 11, 10, 8], [13, 12, 7, 15, 16, 2, 9, 14, 17, 18, 19, 20]]
41: [[5, 1, 7], [2, 3, 11, 8], [10, 12, 15, 4], [9, 6, 18, 16], [13, 14, 17, 20], [19]]
