0: [[23, 28], [1, 2, 15, 7], [16, 9, 17, 11], [24, 18, 10], [3, 20], [4, 8, 12], [25, 5], [6, 13, 22], [19, 29, 14], [21, 26, 27]]
1: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11], [24, 18], [10, 3], [20, 4, 8, 12], [25, 5], [6, 13, 22], [19, 29, 14], [21, 26, 27]]
2: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11], [24, 18, 10], [3, 20], [4, 8, 12], [25, 5, 6], [13, 19], [22, 29, 14], [21, 26, 27]]
3: [[23, 28], [1, 2, 15, 7], [16, 9], [17, 11, 24, 18], [3, 20, 10], [4, 8, 12], [25, 5, 6], [13, 22], [19, 29, 14], [21, 26, 27]]
4: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11], [24, 18, 10], [3, 20, 4], [8, 12], [25, 5, 6], [13, 22, 19], [29, 14], [21, 26, 27]]
5: [[23, 28], [1, 2, 15], [7, 16], [9, 17, 11], [24, 18, 10], [3, 20, 4], [8, 12], [25, 5, 6], [13, 22], [19, 29, 14], [21, 26, 27]]
6: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11], [24, 18, 10], [3, 20], [4, 8, 12], [25, 5, 6], [13, 19, 22], [29, 14, 21], [26, 27]]
7: [[23, 28, 1], [2, 15, 7], [16, 9], [17, 11], [24, 18, 10], [3, 20, 4], [8, 12], [25, 5, 6], [13, 22, 19], [29, 14], [21, 26, 27]]
8: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11], [24, 18], [3, 20, 10], [4, 8], [25, 5], [6, 13, 19, 12, 22], [29, 21, 14], [26, 27]]
9: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11], [24, 18, 10, 3], [20, 4, 8], [25, 5], [6, 13], [19, 12, 22], [29, 14], [21, 26, 27]]
10: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24, 18], [10, 3, 20], [4, 8, 12], [25, 5, 6], [13, 22, 19], [29, 14, 21], [26, 27]]
11: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11, 24], [18, 10], [3, 20], [4, 8, 12], [25, 5], [6, 13, 19, 22], [29, 14, 21], [26, 27]]
12: [[23, 28, 1], [2, 15, 7], [16, 9], [17, 11, 24], [18, 10], [3, 20, 4], [8, 12], [25, 5], [6, 13, 22], [19, 29, 14], [21, 26, 27]]
13: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24, 18, 3], [20, 10], [4, 8, 12], [25, 5, 6], [13, 19, 22], [29, 21, 14], [26, 27]]
14: [[23, 28], [1, 2], [15, 7, 16], [9, 17], [11, 24], [18, 10], [3, 20], [4, 8, 12], [25, 5, 6], [13, 19, 22], [29, 14, 21], [26, 27]]
15: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11, 24], [18, 10, 3], [20, 4], [8, 12], [25, 5, 6], [13, 22, 19], [29, 14], [21, 26, 27]]
16: [[23, 28, 1], [2, 15, 7], [16, 9, 17], [11, 24, 18], [10, 3, 20], [4, 8, 12], [25, 5, 6], [13, 22, 19], [29, 14, 21], [26, 27]]
17: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11], [24, 18], [10, 3, 20], [4, 8], [12, 25, 5], [6, 13, 22, 19], [29, 14], [21, 26, 27]]
18: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11], [24, 18], [10, 3, 20], [4, 8, 12], [25, 5], [6, 13, 22], [19, 29, 14, 21, 26, 27]]
19: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24], [18, 10, 3], [20, 4], [8, 12, 25], [5, 6], [13, 22], [19, 29, 14], [21, 26, 27]]
20: [[23, 28, 1], [2, 15], [7, 16], [9, 17], [11, 24], [18, 10], [3, 20], [4, 8, 12], [25, 5, 6], [13, 19], [22, 29, 14], [21, 26, 27]]
21: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11], [24, 18, 10], [3, 20, 4], [8, 12], [25, 5, 6], [13, 19, 22], [29, 14, 21, 26, 27]]
22: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11], [24, 18, 10], [3, 20, 4], [8, 12], [25, 5, 6], [13, 19, 22], [29, 14, 21, 26, 27]]
23: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11], [24, 18, 10], [3, 20], [4, 8], [12, 25, 5], [6, 13, 19], [22, 29, 14], [21, 26, 27]]
24: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11], [24, 18, 10], [3, 20], [4, 8], [12, 25, 5], [6, 13, 19], [22, 29, 14], [21, 26, 27]]
25: [[23, 28], [1, 2, 15], [7, 16], [9, 17, 11], [24, 18], [10, 3, 20], [4, 8, 12], [25, 5, 6], [13, 22, 19, 29, 14, 21, 26, 27]]
26: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11, 24], [18, 3], [20, 10, 4], [8, 12], [25, 5, 6], [13, 22, 19], [29, 14, 21], [26, 27]]
27: [[23, 28], [1, 2], [15, 7], [16, 9, 17], [11, 24, 18], [10, 3, 20], [4, 8, 12], [25, 5], [6, 13, 19, 22, 29, 14, 21, 26, 27]]
28: [[23, 28], [1, 2, 15, 7], [16, 9, 17, 11], [24, 18, 3], [10, 20, 4], [8, 12, 25], [5, 6], [13, 22, 19], [29, 14, 21, 26, 27]]
29: [[23, 28], [1, 2], [15, 7], [16, 9, 17, 11], [24, 18, 3], [20, 10], [4, 8, 12], [25, 5, 6], [13, 22, 19, 29, 14, 21, 26, 27]]
30: [[23, 28], [1, 2, 15], [7, 16], [9, 17], [11, 24, 18], [10, 3], [20, 4], [8, 12, 25], [5, 6, 13], [19, 22, 29, 14], [21, 26, 27]]
31: [[23, 28], [1, 2], [15, 7, 16], [9, 17], [11, 24], [18, 10], [3, 20], [4, 8, 12], [25, 5, 6], [13, 22, 19, 29, 14, 21, 26, 27]]
32: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11], [24, 18], [10, 3], [20, 4, 8], [12, 25], [5, 6], [13, 19, 22], [29, 14, 21], [26, 27]]
33: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11], [24, 18, 10], [3, 20, 4], [8, 12], [25, 5], [6, 13, 19], [22, 29, 14, 21, 26, 27]]
34: [[23, 28], [1, 2, 15], [7, 16], [9, 17, 11, 24], [18, 10], [3, 20], [4, 8, 12], [25, 5], [6, 13, 19], [22, 29, 14, 21, 26, 27]]
35: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11, 24], [18, 10, 3, 20], [4, 8], [12, 25, 6], [13, 19], [5, 22], [29, 14], [21, 26, 27]]
36: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11, 24], [18, 10, 3], [20, 4], [8, 12, 25], [5, 6], [13, 22, 19], [29, 14, 21], [26, 27]]
37: [[23, 28], [1, 2], [15, 7], [16, 9], [17, 11, 24], [18, 10, 3], [20, 4, 8], [12, 25], [5, 6], [13, 22, 19], [29, 14, 21], [26, 27]]
38: [[23, 28], [1, 2, 15], [7, 16, 9], [17, 11, 24], [18, 10, 3], [20, 4], [8, 12, 25], [5, 6], [13, 19, 22], [29, 14, 21, 26, 27]]
39: [[23, 28], [1, 2], [15, 7, 16], [9, 17], [11, 24, 18], [10, 3, 20], [4, 8, 12, 25], [5, 6, 13], [19, 22, 29, 14, 21, 26, 27]]
40: [[23, 28], [1, 2], [15, 7, 16], [9, 17, 11], [24, 18], [10, 3], [20, 4], [8, 12, 25], [5, 6, 13], [22, 19, 29], [14, 21, 26, 27]]
