0: [[12, 11], [3, 1], [2, 7, 16, 5, 9, 6], [10, 8], [13, 14, 4], [18, 20, 19, 17, 15]]
1: [[12, 11], [3, 1], [2, 7, 16, 5, 9, 6], [10, 8], [13, 14, 4], [18, 20, 19, 17, 15]]
2: [[12, 11], [3, 1], [2, 7], [16, 6], [5, 10, 8, 9], [13, 14, 4], [18, 20, 19, 17, 15]]
3: [[12, 11], [3, 1], [2, 7], [6, 16], [5, 10, 8, 9], [13, 14, 4, 18], [20, 17, 19, 15]]
4: [[12, 11], [3, 1], [2, 7], [6, 16], [5, 10, 8, 9], [13, 14, 4, 18], [20, 17, 19, 15]]
5: [[12, 11], [3, 1], [2, 7, 16, 6], [5, 10, 8, 9], [13, 14, 18, 4], [20, 17, 19, 15]]
6: [[12, 11], [3, 1], [2, 7, 16, 6], [5, 10], [8, 13, 9], [14, 18, 20, 17, 19, 4, 15]]
7: [[12, 11], [3, 1], [2, 7, 6], [16, 5, 10, 8], [13, 14, 9], [18, 20, 17, 19, 4, 15]]
8: [[12, 11], [3, 1], [2, 7, 6, 16, 5, 10, 8], [13, 14, 4, 18, 20, 17, 19, 15, 9]]
9: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 10, 8, 9], [13, 14, 4], [18, 20], [17, 19, 15]]
10: [[12, 11], [3, 1], [2, 7, 6], [16, 5, 10, 8, 9], [13, 14, 18, 20, 17, 19, 4, 15]]
11: [[12, 11, 3], [1, 2, 7], [16, 6], [5, 10, 9], [8, 13, 14, 4], [18, 20, 19, 17], [15]]
12: [[12, 11], [3, 1], [2, 7], [16, 5, 10, 8, 9, 6], [13, 14, 4], [18, 20], [17, 19, 15]]
13: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 10, 8, 9], [13, 14, 18, 20, 4], [17, 19, 15]]
14: [[12, 11], [3, 1], [2, 7, 6], [16, 5, 9], [10, 8, 13], [14, 18, 4], [20, 17, 19, 15]]
15: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 10, 9], [8, 13, 14, 18, 4], [20, 19, 17, 15]]
16: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 9], [10, 8, 13], [14, 18, 4], [20, 19, 17, 15]]
17: [[12, 11], [3, 1, 2], [7, 16, 5, 6], [10, 8, 9], [13, 14, 4], [18, 20], [19, 17, 15]]
18: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 10], [8, 9], [13, 14, 4], [18, 20, 19], [17, 15]]
19: [[12, 11], [3, 1], [2, 7, 6], [16, 5], [10, 8], [13, 14, 9], [18, 4], [20, 17, 19, 15]]
20: [[12, 11], [3, 1], [2, 7, 6], [16, 5], [10, 8, 9], [13, 14, 4], [18, 20], [17, 19, 15]]
21: [[12, 11], [3, 1, 2], [7, 16, 6], [5], [10, 8, 9], [13, 14, 18, 4], [20, 17, 19, 15]]
22: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 10], [8, 9], [13, 14, 4], [18, 17], [19, 20, 15]]
23: [[12, 11, 3], [1, 2, 7, 6], [16, 5, 10, 8], [13, 9], [14, 18, 20, 4], [17, 19, 15]]
24: [[12, 11, 3], [1, 2, 7], [16, 5, 6], [10, 8, 9], [13, 14, 18, 4], [20, 17, 19, 15]]
25: [[12, 11], [1, 2, 7, 6, 3], [16, 5, 10, 8, 13, 14, 9], [4, 18, 20, 19, 17, 15]]
26: [[12, 11, 3, 1], [2, 7, 16, 6], [5, 10], [8, 13, 9], [14, 18, 20, 17, 4], [19, 15]]
27: [[12, 11, 3], [1, 2, 7], [16, 5, 6], [10, 8, 9], [13, 14, 4], [18, 20], [17, 19, 15]]
28: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 10], [8, 13, 9], [14, 18, 20, 19, 4], [17, 15]]
29: [[12, 11, 3], [1, 2, 7], [16, 5, 10, 9, 6], [8, 13, 14, 18, 20, 19, 17, 15, 4]]
30: [[12, 11], [3, 1, 2], [7, 16, 6], [5, 9], [10, 8, 13], [14, 18, 20, 19, 4], [17, 15]]
31: [[12, 11], [3, 1, 2], [7, 6, 16, 5, 10], [8, 13, 14, 4, 18, 20, 19, 17, 15, 9]]
32: [[12, 11, 3], [1, 2, 7, 6], [16, 5, 10], [8, 13, 9], [14, 18, 4], [20, 17, 19, 15]]
33: [[12, 11], [3, 1, 2, 7], [16, 5, 10], [8, 13, 9], [14, 4, 6], [18, 20], [17, 19, 15]]
34: [[12, 11], [3, 1, 2, 7, 16, 5, 10, 8], [9, 6, 13, 14, 18, 20, 17, 19, 15, 4]]
35: [[12, 11], [3, 1, 2], [7, 6], [16, 5, 10], [8, 9, 13], [14, 4, 18, 20], [17, 19, 15]]
36: [[12, 11], [3, 1], [2, 7, 6, 16, 5, 9], [10, 8, 13, 14, 18, 20, 17, 19, 4], [15]]
37: [[12, 11], [3, 1, 2], [7, 6, 16, 5, 9], [10, 8, 13, 14, 4, 18, 20, 17, 19, 15]]
38: [[12, 11, 3], [1, 2, 7, 6], [16, 15], [5, 9, 10, 8, 13, 14, 4, 18, 20, 17, 19]]
39: [[12, 11, 3], [1, 2, 7, 6, 16], [5, 10, 8, 9, 13, 14, 4, 18, 20, 19, 17, 15]]
40: [[12, 11], [3, 1, 2, 7, 6, 16, 5, 10, 8, 9, 13, 14, 4, 18, 20, 17], [19, 15]]
41: [[12, 11], [3, 1, 2, 7, 6, 16, 5, 9, 10, 8, 13, 14, 4, 18, 20, 17], [19, 15]]
