0: [[5, 1, 19, 22, 6, 2, 10], [3, 12, 4, 11, 16, 20, 13, 15, 8], [7, 9, 17, 24, 18, 23, 28, 14], [21, 29, 27, 26, 25]]
1: [[5, 1, 19, 22, 6, 2, 10], [3, 12, 4, 11, 16, 20, 13, 15, 8], [7, 9, 17, 24, 18, 23, 28, 14], [21, 29, 27, 26, 25]]
2: [[5, 1, 19, 22, 6, 2, 10], [3, 12, 4, 11, 16, 20, 13, 15, 8], [7, 9, 17, 24, 18, 23, 28, 14], [21, 29, 27, 26, 25]]
3: [[5, 1, 19, 22, 6, 2, 10], [3, 12, 4, 11, 16, 20, 13, 15, 8], [7, 9, 17, 24, 18, 23, 28, 14], [21, 29, 27, 26, 25]]
4: [[5, 1, 19, 22, 6, 2, 10], [3, 12, 4, 11, 16, 20, 13, 15, 8], [7, 9, 17, 24, 18, 23, 28, 14], [21, 29, 27, 26, 25]]
5: [[5, 1, 19, 22, 6, 2, 10, 3], [12, 4, 11, 16, 20, 13, 7, 15, 8], [9, 17, 24, 18, 23, 28, 14], [21, 29, 27, 26, 25]]
6: [[5, 1, 19, 22, 6, 11, 2], [4, 25, 8, 7, 24, 3, 12, 10], [9, 13, 15, 17, 23, 16, 18, 20, 14], [21, 28, 27, 26, 29]]
7: [[5, 1, 19, 22, 6, 3, 10], [15, 12, 4, 7, 8, 13, 9, 24, 2], [11, 16, 25, 17, 20, 18, 23, 14], [21, 27, 29, 26, 28]]
8: [[5, 1, 19, 22, 6, 3, 7, 2], [13, 8, 11, 4, 24, 9, 10], [12, 17, 16, 18, 20, 15, 23, 25, 14], [21, 29, 27, 26, 28]]
9: [[5, 1, 19, 22, 6, 3, 7, 9, 2], [4, 8, 15, 11, 17, 13, 10, 14], [16, 24, 20, 23, 18, 25, 12], [21, 28, 27, 26, 29]]
10: [[5, 1, 19, 22, 6, 3, 7, 24, 2, 10], [4, 9, 8, 12, 25, 13, 11, 14], [15, 23, 20, 16, 17, 18], [21, 26, 27, 28, 29]]
11: [[5, 1, 19, 22, 6, 3, 15, 2], [4, 8, 11, 13, 7, 9, 12, 25], [24, 17, 16, 18, 20, 23, 10, 14], [21, 29, 27, 28, 26]]
12: [[5, 1, 19, 22, 6, 3, 10], [8, 11, 4, 23, 7, 9, 12, 13, 15, 2], [16, 24, 17, 18, 25, 20, 14], [21, 28, 26, 29, 27]]
13: [[5, 1, 19, 22, 6, 3, 10], [8, 11, 4, 23, 7, 9, 12, 13, 15, 2], [16, 24, 17, 18, 25, 20, 14], [21, 28, 26, 29, 27]]
14: [[5, 1, 19, 22, 6, 3], [11, 2, 13, 7, 4, 10, 12, 8, 14], [24, 9, 17, 20, 16, 28, 18, 23, 15], [21, 27, 25, 26, 29]]
15: [[5, 1, 19, 22, 6], [2, 3, 13, 8, 7, 15, 4, 9, 12], [25, 29, 16, 20, 23, 11, 17, 18, 10, 14], [21, 24, 27, 28, 26]]
16: [[5, 1, 19, 22, 6, 2, 3, 13, 12], [8, 7, 15, 4, 9], [25, 29, 16, 20, 23, 11, 17, 18, 10, 14], [21, 24, 27, 28, 26]]
17: [[5, 1, 19, 22, 6, 2], [3, 9, 15, 4, 8, 7, 10, 14], [29, 16, 11, 17, 18, 20, 25, 24, 13, 12], [23, 26, 21, 27, 28]]
18: [[5, 1, 19, 22, 6, 2, 3, 10], [7, 23, 8, 4, 13, 9, 12], [11, 15, 16, 28, 26, 24, 17, 18, 14], [21, 29, 20, 25, 27]]
19: [[5, 1, 19, 22, 6, 2, 3, 10], [7, 23, 8, 4, 13, 9, 12], [11, 15, 16, 28, 26, 24, 17, 18, 14], [21, 29, 20, 25, 27]]
20: [[5, 1, 19, 22, 6, 3, 4, 2], [9, 12, 8, 7, 14], [13, 11, 24, 17, 20, 25, 15, 16, 18, 23, 10], [21, 29, 27, 28, 26]]
21: [[5, 1, 19, 22, 6, 3, 2, 9, 12, 8], [7, 4, 13, 24], [29, 16, 20, 11, 17, 15, 18, 23, 10, 14], [21, 28, 27, 25, 26]]
22: [[5, 1, 19, 22, 6, 2, 9], [3, 13, 4, 15, 8, 12, 14], [7, 25, 11, 18, 16, 28, 24, 23, 20, 10], [21, 17, 26, 29, 27]]
23: [[5, 1, 19, 22, 6, 3, 11], [12, 7, 9, 4, 15, 8, 2, 10, 14], [13, 17, 16, 18, 20, 23, 24, 25], [21, 28, 27, 26, 29]]
24: [[5, 1, 19, 22, 6, 2, 3, 8, 14], [4, 7, 9, 24, 10, 12], [15, 28, 11, 25, 20, 16, 13, 17, 18], [21, 29, 26, 23, 27]]
25: [[5, 1, 19, 22, 6, 11, 2, 9, 12], [3, 4, 16, 15, 7, 29, 13, 14], [17, 8, 28, 23, 18, 20, 10], [21, 24, 26, 27, 25]]
26: [[5, 1, 19, 22, 6, 3, 11], [4, 13, 7, 12, 2, 8, 10, 14], [29, 9, 15, 24, 23, 16, 17, 18, 20], [21, 25, 27, 26, 28]]
27: [[5, 1, 19, 22, 6, 2, 3, 13], [7, 8, 4, 9, 10, 12, 14], [29, 17, 11, 20, 15, 16, 18, 23, 25], [21, 24, 27, 26, 28]]
28: [[5, 1, 19, 22, 6, 2, 9, 12], [3, 13, 4, 15, 8, 7, 14], [25, 11, 18, 16, 28, 24, 23, 20, 10], [21, 17, 26, 29, 27]]
29: [[5, 1, 19, 22, 6, 11, 2, 3, 12], [4, 8, 9, 7, 10, 14], [13, 15, 23, 25, 28, 17, 16, 18, 20], [21, 24, 26, 27, 29]]
30: [[5, 1, 19, 22, 6, 3, 2, 7, 28], [8, 25, 13, 4, 9, 11, 29, 10, 12], [23, 20, 17, 15, 16, 14], [18, 21, 26, 24, 27]]
31: [[5, 1, 19, 22, 6, 2, 7], [3, 12, 4, 15, 20, 11, 9, 13, 8, 14], [16, 17, 24, 18, 21, 23, 10], [25, 26, 29, 28, 27]]
32: [[5, 1, 19, 22, 6, 2, 7, 8, 10], [4, 3, 9, 26, 24, 13, 11, 12, 14], [18, 21, 16, 29, 15, 17], [20, 23, 27, 25, 28]]
33: [[5, 1, 19, 22, 6, 3, 2, 11, 12], [9, 4, 7, 8, 13, 29, 15, 10], [18, 25, 21, 16, 20, 17, 14], [23, 28, 26, 24, 27]]
34: [[5, 1, 19, 22, 6, 3, 2, 10], [24, 4, 25, 13, 9, 12, 14], [16, 17, 20, 18, 7, 21, 8, 15, 11], [23, 29, 27, 26, 28]]
35: [[5, 1, 19, 22, 6, 11, 2, 7, 28, 10], [4, 25, 13, 15, 3, 8], [17, 16, 18, 9, 21, 27, 12], [20, 24, 23, 26, 29, 14]]
36: [[5, 1, 19, 22, 6, 2, 4, 8, 10, 12], [7, 9, 11, 3, 13, 15], [17, 21, 20, 16, 24, 25, 18, 14], [23, 28, 26, 29, 27]]
37: [[5, 1, 19, 22, 6, 4, 3, 13, 10, 12], [7, 11, 16, 8, 9, 15], [17, 25, 18, 26, 2, 20, 23, 14], [21, 29, 27, 24, 28]]
38: [[5, 1, 19, 22, 6, 11, 2], [3, 9, 13, 7, 12, 24, 8, 10], [15, 16, 17, 26, 18, 4, 20, 23, 14], [21, 29, 27, 28, 25]]
39: [[5, 1, 19, 22, 6, 2, 11, 3, 9], [7, 4, 8, 26, 13, 29, 10, 12], [24, 21, 16, 15, 18, 17, 14], [20, 23, 27, 25, 28]]
40: [[5, 1, 19, 22, 6, 11, 3, 8, 12], [7, 2, 9, 13, 15], [29, 17, 26, 18, 4, 23, 16, 20, 10, 14], [21, 28, 27, 24, 25]]
41: [[5, 1, 19, 22, 6, 3, 10], [2, 13, 4, 29, 11, 8, 14, 12], [7, 9, 15, 18, 23, 21, 20, 16, 17], [25, 24, 27, 28, 26]]
42: [[5, 1, 19, 22, 6, 2, 11, 3, 13, 4, 8, 12], [15, 7, 21, 9, 20, 26, 14], [17, 18, 24, 16, 10], [27, 25, 29, 23, 28]]
43: [[5, 1, 19, 22, 6, 3, 2], [12, 7, 9, 4, 11, 15, 8, 14], [16, 13, 20, 18, 17, 23, 24, 27, 10], [21, 26, 28, 25, 29]]
44: [[5, 1, 19, 22, 6, 2, 3], [13, 7, 4, 15, 8, 11, 10, 12], [29, 26, 17, 20, 21, 18, 9, 23, 14], [25, 16, 27, 28, 24]]
45: [[5, 1, 19, 22, 6, 2, 11, 10], [15, 4, 9, 16, 28, 21, 13, 8, 3], [7, 17, 18, 20, 23, 12, 14], [24, 27, 29, 26, 25]]
46: [[5, 1, 19, 22, 6, 2, 3], [15, 4, 8, 7, 9, 20, 13, 11, 10, 12, 14], [17, 16, 18, 27, 21, 23], [24, 25, 28, 26, 29]]
47: [[5, 1, 19, 22, 6, 2, 3], [7, 29, 15, 4, 21, 8, 9, 11], [13, 24, 17, 20, 23, 18, 10, 12, 14], [27, 16, 26, 25, 28]]
48: [[5, 1, 19, 22, 6, 3, 11, 13, 2, 12], [4, 8, 17, 15, 26, 10], [9, 18, 16, 21, 24, 20, 7, 14], [23, 25, 27, 28, 29]]
49: [[5, 1, 19, 22, 6, 3, 2, 11, 4, 12], [7, 13, 8, 15, 9, 10, 14], [18, 17, 20, 21, 16, 25, 27], [23, 26, 29, 28, 24]]
50: [[5, 1, 19, 22, 6, 2, 3, 8, 13, 12], [15, 11, 29, 26, 4, 9], [7, 28, 16, 18, 20, 24, 10, 14], [21, 17, 23, 25, 27]]
51: [[5, 1, 19, 22, 6, 2, 8, 10, 14], [28, 7, 23, 24, 9, 3, 11, 17, 12], [4, 13, 21, 18, 15, 20], [29, 16, 26, 25, 27]]
52: [[5, 1, 19, 22, 6, 3, 2, 10], [7, 4, 24, 9, 11, 29, 21, 12, 14], [13, 8, 15, 17, 27, 16, 20], [23, 28, 26, 18, 25]]
53: [[5, 1, 19, 22, 6, 3, 2, 4, 12], [7, 13, 27, 15, 8, 28, 9, 10], [11, 23, 16, 21, 18, 17, 14], [20, 24, 26, 25, 29]]
54: [[5, 1, 19, 22, 6, 3, 11, 10], [2, 13, 7, 4, 8, 12, 14], [28, 9, 23, 25, 15, 16, 21, 17, 18], [20, 24, 26, 27, 29]]
55: [[5, 1, 19, 22, 6, 3, 10], [11, 4, 2, 9, 28, 13, 15, 8, 12], [7, 17, 20, 16, 18, 29, 21, 14], [23, 24, 27, 26, 25]]
56: [[5, 1, 19, 22, 6, 2, 11, 3, 12], [7, 4, 13, 9, 8, 26, 29, 17, 10], [16, 18, 20, 28, 15, 14], [21, 24, 27, 23, 25]]
57: [[5, 1, 19, 22, 6, 2, 3, 9, 4, 12, 14], [7, 13, 15, 16, 11, 18, 10], [17, 24, 26, 28, 20, 8], [23, 25, 21, 27, 29]]
58: [[5, 1, 19, 22, 6, 3, 2, 27], [4, 15, 28, 8, 12], [7, 9, 11, 25, 16, 18, 21, 13, 24, 10, 14], [17, 29, 26, 23, 20]]
59: [[5, 1, 19, 22, 6, 3, 2], [9, 8, 4, 7, 28, 15, 12], [11, 13, 17, 27, 16, 20, 21, 18, 10, 14], [23, 29, 24, 26, 25]]
