0: [[16, 14, 15, 6], [1, 3], [2, 5, 4], [8, 10, 7], [13, 11, 12, 9], [17, 19, 20, 18]]
1: [[16, 14, 15, 6], [1, 3], [2, 4, 5], [8, 10, 7], [13, 9, 11, 12], [17, 19, 20, 18]]
2: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10, 7], [13, 9, 11, 12], [17, 19, 20, 18]]
3: [[15, 16, 6, 14], [3, 1], [2, 4, 5], [8, 10, 7], [13, 9, 11], [12, 17], [19, 20, 18]]
4: [[16, 15, 6], [14], [1, 2, 4, 3], [5, 8, 10, 7], [13, 9, 11, 12], [17, 19, 20, 18]]
5: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10], [7, 13, 9], [11, 12], [17, 19, 20, 18]]
6: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10, 7], [13, 9, 11], [12, 17, 19, 20, 18]]
7: [[16, 15], [14, 6], [1, 2, 4, 5, 3], [8, 10, 7], [13, 9], [11, 12], [17, 19, 20, 18]]
8: [[15, 16, 6, 14], [3, 1], [2, 4], [5, 8, 10], [7, 13, 9, 11], [12, 17, 19, 20, 18]]
9: [[15, 16], [6, 14], [3, 1], [2, 4, 5, 8], [10, 7], [13, 9, 11], [12, 17, 19, 20, 18]]
10: [[15, 16], [6, 14], [3, 1], [2, 4, 5], [8, 10], [7, 13, 9], [11, 12], [17, 19], [20, 18]]
11: [[15, 16], [6, 14], [3, 1], [2, 4, 5], [8, 10], [7, 13, 9], [11, 12, 17, 19, 20, 18]]
12: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10], [7, 13, 9, 11], [12, 17, 19, 20, 18]]
13: [[16, 15, 6], [14, 1, 3], [2, 4, 5], [8, 10, 7], [13, 9], [11, 12, 17], [19, 20, 18]]
14: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10], [7, 13, 9], [11, 12], [17, 19], [20, 18]]
15: [[16, 15], [14, 3, 1, 2, 4, 6], [5, 8, 10, 7, 13], [9, 11, 12, 17], [19, 20, 18]]
16: [[15, 16], [6, 14], [3, 1], [2, 4, 5], [8, 10], [7, 13, 9], [11, 12, 17, 19], [20, 18]]
17: [[15, 16], [6, 14, 3, 1], [2, 4], [5, 8], [10, 7], [13, 9, 11, 12], [17, 19, 20, 18]]
18: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10, 7], [13, 9, 11, 12, 17, 19, 20, 18]]
19: [[16, 14, 15, 6], [1, 3], [2, 4, 5], [8, 10, 7, 13], [9, 11, 12, 17, 19], [20, 18]]
20: [[15, 16], [6, 14], [3, 1], [2, 4, 5, 8, 10], [7, 13], [9, 11], [12, 17], [19, 20, 18]]
21: [[16, 15, 6], [14], [1, 2, 4, 3], [5, 8, 10], [7, 13, 9, 11], [12, 17], [19, 20, 18]]
22: [[16, 15, 6], [14], [1, 2, 4, 3], [5, 8, 10], [7, 13, 9, 11], [12, 17], [19, 20, 18]]
23: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8], [10, 7], [13, 9, 11], [12, 17, 19, 20, 18]]
24: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10], [7, 13], [9, 11], [12, 17], [19, 20, 18]]
25: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8], [10, 7], [13, 9, 11, 12], [17, 19], [20, 18]]
26: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8], [10, 7], [13, 9], [11, 12, 17], [19, 20, 18]]
27: [[16, 14, 3, 15, 6], [1, 2], [4, 5, 8, 10], [7, 13, 9], [11, 12, 17, 19, 20, 18]]
28: [[15, 16], [6, 14], [3, 1], [2, 4, 5], [8, 10, 7, 13], [9, 11], [12, 17, 19], [20, 18]]
29: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8, 10, 7, 13], [9, 11, 12, 17, 19, 20, 18]]
30: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8], [10, 7, 13, 9], [11, 12], [17, 19], [20, 18]]
31: [[15, 16, 6, 14], [3, 1], [2, 4, 5, 8], [10, 7, 13, 9, 11, 12, 17, 19, 20, 18]]
32: [[15, 16, 14, 6], [1, 2], [4, 5, 8, 3], [10, 7, 13], [9, 11, 12, 17, 19, 20, 18]]
33: [[15, 16], [6, 14], [3, 1, 2, 4], [5, 8], [10, 7], [13, 9], [11, 12], [17, 19], [20, 18]]
34: [[16, 15], [14, 1, 3], [2, 4], [5, 8], [10, 7, 6], [13, 9], [11, 12], [17, 19], [20, 18]]
35: [[15, 16, 14, 1, 6, 3], [2, 4], [5, 8, 10], [7, 13], [9, 11, 12, 17, 19, 20, 18]]
36: [[15, 16], [6, 14], [3, 1, 2, 4, 5, 8], [10, 7, 13, 9, 11, 12, 17, 19, 20, 18]]
37: [[15, 16], [6, 14], [3, 1], [2, 4], [5, 8], [10, 7, 13, 9, 11, 12, 17, 19, 20, 18]]
38: [[15, 16], [6, 14, 3, 1, 2, 4, 5], [8, 10, 7, 13, 9, 11, 12, 17, 19, 20, 18]]
39: [[15, 16], [14, 6], [3, 1, 2], [5, 8, 10, 7, 13, 9, 11, 12, 17, 19, 20, 18, 4]]
40: [[15, 16, 6, 14, 3], [1, 2], [5, 8, 10, 7, 13, 9, 11, 12, 17, 19, 20, 4], [18]]
41: [[15, 16], [6, 14], [3, 1, 2, 4, 5, 8, 10, 7, 13, 9, 11, 12, 17, 19, 20, 18]]
