0: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
1: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
2: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
3: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
4: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
5: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
6: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
7: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
8: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
9: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
10: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
11: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
12: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
13: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
14: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
15: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
16: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
17: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
18: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
19: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
20: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
21: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
22: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
23: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
24: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
25: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
26: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
27: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
28: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
29: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
30: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
31: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
32: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
33: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
34: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
35: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
36: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
37: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
38: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
39: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
40: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
41: [[5, 7], [1, 2, 3, 4], [14, 6, 10, 8], [13, 11, 12, 9], [16, 19, 17, 18, 20, 15]]
