0: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
1: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
2: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
3: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
4: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
5: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
6: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
7: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
8: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
9: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
10: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
11: [[6, 4, 9, 11], [1, 10, 3, 5, 2], [8, 12, 7, 13]]
12: [[6, 4, 9, 11], [1, 10, 3, 5, 2, 8], [12, 7, 13]]
13: [[6, 4, 9, 11], [1, 10, 3, 5], [2, 8, 12, 7, 13]]
14: [[6, 4, 9, 11], [1, 10, 3, 5], [2, 8, 12, 7, 13]]
15: [[6, 4, 9], [11, 1, 10, 3, 5, 2, 8], [12, 7, 13]]
16: [[6, 4, 9, 11, 1], [10, 3, 5, 2], [8, 12, 7, 13]]
17: [[6, 4, 9, 11, 1], [10, 3, 5, 2], [8, 12, 7, 13]]
18: [[6, 4, 9, 11, 1], [10, 3, 5, 2], [8, 12, 7, 13]]
19: [[6, 4, 9, 11, 1], [10, 3, 5, 2], [8, 12, 7, 13]]
20: [[6, 4, 9, 11, 1], [10, 3, 5, 2], [8, 12, 7, 13]]
21: [[6, 4, 9, 11, 1], [10, 3, 5, 2], [8, 12, 7, 13]]
22: [[6, 4, 9, 11, 1], [10, 3, 5, 2], [8, 12, 7, 13]]
23: [[6, 4, 9, 11, 1], [10, 3, 5, 2, 8], [12, 7, 13]]
24: [[6, 4, 9, 11, 1], [10, 3, 5, 2, 8], [12, 7, 13]]
25: [[6, 4, 9, 11, 1], [10, 3, 5, 2, 8], [12, 7, 13]]
26: [[6, 4, 9, 11, 1, 10], [3, 5, 2, 8], [12, 7, 13]]
27: [[6, 4, 9, 11, 1], [10, 3, 5], [2, 8, 12, 7, 13]]
