It No., Best MQ, No clusters, max clus, min clus
1,1.3454715219421103,3,7,2
2,1.3109730848861285,3,5,4
3,1.2916666666666667,3,7,2
4,1.2592105263157896,3,7,2
5,1.3032581453634084,3,7,3
6,1.232608695652174,3,9,2
7,1.4098751490055839,4,4,2
8,1.3398268398268398,3,5,3
9,1.415064935064935,3,5,3
10,1.3606060606060606,4,5,2
11,1.46482683982684,3,6,3
12,1.3398268398268398,3,5,3
13,1.3109730848861285,3,5,4
14,1.2714596949891068,3,5,3
15,1.283008658008658,3,6,2
16,1.3436363636363637,3,5,3
17,1.3083333333333331,3,6,3
18,1.3795093795093796,3,6,3
19,1.4949494949494948,4,5,2
20,1.3255411255411256,3,7,3
21,1.3585858585858586,3,8,2
22,1.2428571428571429,3,6,2
23,1.3131313131313131,3,8,2
24,1.3429487179487178,5,4,1
25,1.3696969696969696,3,6,3
26,1.2410526315789474,3,5,4
27,1.3022222222222222,3,6,2
28,1.3115079365079363,4,4,2
29,1.3585858585858586,3,8,2
30,1.375,3,6,3
31,1.3984189723320157,4,4,2
