0: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
1: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
2: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
3: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
4: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
5: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
6: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
7: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
8: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
9: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
10: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
11: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
12: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
13: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
14: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
15: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
16: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
17: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
18: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
19: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
20: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
21: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
22: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
23: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
24: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
25: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
26: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
27: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
28: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
29: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
30: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
31: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
32: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
33: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
34: [[2, 19, 1, 24, 8, 5, 12], [20, 11, 3], [15, 21, 29, 26, 4, 27], [17, 6, 23, 18, 22, 7, 9], [13, 16, 25, 28, 10, 14]]
