0: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
1: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
2: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
3: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
4: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
5: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
6: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
7: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
8: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
9: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
10: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
11: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
12: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
13: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
14: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
15: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
16: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
17: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
18: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
19: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
20: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
21: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
22: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
23: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
24: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
25: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
26: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
27: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
28: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
29: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
30: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
31: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
32: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
33: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
34: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
35: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
36: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
37: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
38: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
39: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
40: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
41: [[13, 20, 4], [1, 3, 2, 8], [16, 14, 6], [10, 5, 7, 11, 9], [17, 12, 15], [18, 19]]
