0: [[10, 5, 2, 8], [1, 3], [7, 6], [4, 14], [11, 13, 9, 12], [15, 16], [18, 17, 19, 20]]
1: [[10, 5, 2, 8], [1, 3, 7, 6], [14, 4], [11, 13, 12, 9], [16, 17, 19, 18, 20, 15]]
2: [[10, 5, 2, 8], [1, 3, 7], [14, 4, 6], [11, 13, 12, 9], [15, 16, 18, 19, 17, 20]]
3: [[10, 5, 2], [8, 1, 3], [7, 6], [4, 11, 14, 13, 9, 12], [15, 16], [19, 17, 18, 20]]
4: [[10, 5], [2, 8], [1, 3], [7, 14, 4, 6], [11, 13, 9], [12, 16, 15], [19, 17, 18, 20]]
5: [[10, 5, 2], [8, 1, 3], [7, 14, 6], [11, 13, 9, 4], [12, 16, 15], [19, 17, 18, 20]]
6: [[10, 5, 2, 8], [1, 3], [7], [14, 4], [13, 12, 9, 15], [11, 16, 6], [18, 17, 19, 20]]
7: [[10, 5, 2], [8, 1, 3], [7, 6], [14, 13, 4, 15], [12, 11, 17, 9], [16, 19, 18, 20]]
8: [[10, 5], [2, 8, 1, 3], [7], [14, 4, 6], [13, 12, 9], [11, 17, 16, 15], [18, 19, 20]]
9: [[10, 5, 2], [8, 1, 3], [7, 6], [14, 13, 4, 15], [12, 11, 16, 9], [17, 19, 18], [20]]
10: [[10, 5], [2, 8, 1], [3, 7, 14, 4, 6], [11, 13, 12, 9], [19], [17, 18, 20, 16, 15]]
11: [[10, 5, 2], [8, 1, 3, 7], [14, 11, 4, 6], [13, 12, 9], [15, 16, 17, 19, 18, 20]]
12: [[10, 5, 2], [8, 1, 3], [7, 4, 6], [14, 11, 13, 9], [12, 17, 18], [19, 16, 20, 15]]
13: [[10, 5, 2, 8], [1, 3], [7, 14, 4, 6], [11, 13, 12, 15, 20, 9], [17, 18, 16, 19]]
14: [[10, 5, 2, 8], [1, 3], [7, 14, 4, 6], [15, 13, 11, 12, 17, 16, 19, 18, 20, 9]]
15: [[10, 5], [2, 8, 1], [3, 7, 4, 6], [14, 11, 13, 9], [12, 16, 15], [19, 17, 18, 20]]
16: [[10, 5, 2, 8], [1, 3], [7, 14, 6], [11, 4], [13, 12, 9], [16, 18, 19, 17, 15], [20]]
17: [[10, 5], [2, 8], [1, 3, 7], [14, 9, 4, 6, 15], [11, 12, 13, 16], [17, 19, 18, 20]]
18: [[10, 5, 2, 8], [1, 3], [7, 4, 6], [11, 9], [13, 12, 14], [17, 19, 16, 15], [18, 20]]
19: [[10, 5, 2], [8, 1, 3], [7, 4, 6], [14, 13, 9, 15], [12, 11, 17, 16], [19, 18, 20]]
20: [[10, 5], [2, 8, 1], [3, 7, 4, 6], [14, 11, 13, 9], [12, 16, 17, 15], [19, 18, 20]]
21: [[10, 5, 2], [8, 1, 3], [7, 4, 6], [14, 13, 9], [12, 11], [16, 17, 19, 18, 15], [20]]
22: [[10, 5, 2], [8, 1, 3], [7, 4, 6], [14], [13, 12, 9], [11, 17], [16, 19, 18, 20, 15]]
23: [[10, 5], [2, 8, 1], [3, 7, 6], [12], [11, 13, 9], [14, 4], [16, 19, 15], [17, 20, 18]]
24: [[10, 5], [2, 8, 1], [3, 7, 6], [14, 4], [11, 13, 9], [12, 17, 19], [16, 18, 20, 15]]
25: [[10, 5], [2, 8, 1], [3, 7, 4], [14, 9, 6], [11, 12, 13], [17, 16, 19, 15], [18, 20]]
26: [[10, 5, 2, 8], [1, 3, 7], [14, 4, 6], [15, 13, 9], [12, 11, 17, 16, 19, 18, 20]]
27: [[10, 5, 2, 8], [1, 3, 7, 14, 4, 6], [15, 13, 9, 12, 16, 17, 19, 11, 20, 18]]
28: [[10, 5, 2], [8, 1, 3], [7, 4, 6], [12], [11, 14, 13, 17, 9], [16, 19, 18, 20, 15]]
29: [[10, 5], [2, 8, 1], [3, 7, 4, 6], [14, 11, 13, 9], [12, 17, 15], [16, 19, 18, 20]]
30: [[10, 5, 2], [8, 1, 3], [7, 12, 4], [11, 13, 9], [14, 19, 16, 6], [17, 15, 18, 20]]
31: [[10, 5, 2], [8, 1], [3, 7, 9, 6], [14, 13, 4, 15], [12, 11, 17], [16, 19, 18, 20]]
32: [[10, 5, 2], [8, 1], [3, 7, 4, 6], [14, 11, 9, 15], [12, 13, 16], [17, 19, 18, 20]]
33: [[10, 5], [2, 8, 1], [3, 7, 9, 4, 6], [14, 11, 13, 12, 15, 16, 19, 17, 18, 20]]
34: [[10, 5, 2], [8, 1, 3], [7, 6, 4, 14, 15, 13, 9, 11, 12, 17, 16, 19, 18, 20]]
35: [[10, 5, 2], [8, 1], [3, 7, 6], [14, 4], [11, 13, 9], [12, 19, 16, 15], [17, 18, 20]]
36: [[10, 5], [2, 8, 1], [3, 7, 6], [14, 11, 13, 9], [12], [16, 17, 19, 18, 15], [20, 4]]
37: [[10, 5], [8, 1, 2], [3, 7, 6, 4], [9, 12, 13, 14, 11, 15, 17, 16, 19, 18, 20]]
38: [[10, 5, 2], [8, 1, 3], [7, 4, 6], [14, 13, 9], [12], [11, 16, 18, 17, 15], [19, 20]]
39: [[10, 5, 2, 8], [1, 3, 7], [6, 4, 12, 15, 13, 9, 14, 11, 17, 16, 19, 18, 20]]
40: [[10, 5, 2], [8, 1], [3, 7, 6], [14, 11, 4], [12, 15], [13, 17, 16, 9], [19, 18, 20]]
41: [[10, 5, 2], [8, 1], [3, 7, 4, 6], [14, 11, 13, 9], [12], [17, 16, 19, 15], [18, 20]]
