It No., Best MQ, No clusters, max clus, min clus
1,1.7556318443708165,6,4,4
2,1.22049213392497,3,8,8
3,1.6784992733268593,6,4,4
4,1.471864106144025,8,3,3
5,1.6851301218161683,6,4,4
6,1.3884501561452558,4,6,6
7,1.5762061403508771,5,5,4
8,1.3687538933440573,4,6,6
9,1.6671344198030855,11,3,2
10,1.6219654795495564,5,5,4
11,1.678230167417154,5,5,4
12,1.9394583601951871,5,5,4
13,1.2323684210526316,3,8,8
14,1.49377256889452,5,5,4
15,1.7577624503156417,6,4,4
16,2.003608616722221,10,3,2
17,1.7186043908188933,7,4,3
18,1.922105810550418,7,4,3
19,1.8468793306796403,9,3,2
20,1.7964956195244053,5,5,4
21,1.8843613793829865,8,3,3
22,1.8960657921259139,9,3,2
23,1.9655563674745262,9,3,2
24,1.7224762618690654,9,3,2
25,1.77150990457366,5,5,4
26,1.6683027756557167,9,3,2
27,1.277518130539887,3,8,8
28,1.8262609413925204,7,4,3
29,1.934129646010451,8,3,3
30,1.970629072547231,11,3,2
31,1.660894385722761,10,3,2
