0: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
1: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
2: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11, 10, 13, 8, 14], [12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
3: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
4: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
5: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
6: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
7: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
8: [[22, 1, 2, 5, 3, 6], [4, 9], [7, 11], [10, 13, 8, 14], [12, 15, 16, 18, 17, 19, 20], [23, 21, 24]]
9: [[22, 1, 2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16], [18, 17], [19, 20], [23, 21, 24]]
10: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11], [10, 13, 8, 14, 12, 15, 16], [18, 17, 19, 20], [23, 21, 24]]
11: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11, 10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
12: [[22, 1], [2, 5, 3, 6, 4, 9], [7, 11, 10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
13: [[22, 1, 2, 5, 3, 6, 4, 9, 7], [11, 10], [13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
14: [[22, 1, 2, 5, 3, 6], [4, 9], [7, 11, 10, 13, 8, 14, 12, 15], [16, 18], [17, 19, 20], [23, 21, 24]]
15: [[22, 1, 2, 5, 3, 6, 4], [9, 7], [11, 10], [13, 8, 14, 12, 15, 16, 18], [17, 19, 20], [23, 21, 24]]
16: [[22, 1, 2, 5, 3, 6], [4, 9], [7, 11], [10, 13], [8, 14, 12, 15, 16, 18, 17, 19, 20], [23, 21, 24]]
