0: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
1: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
2: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
3: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
4: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
5: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
6: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
7: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
8: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
9: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
10: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
11: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
12: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
13: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
14: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
15: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
16: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
17: [[1, 5, 3], [11, 8, 6], [4, 9, 10, 2], [13, 12, 7]]
18: [[1, 5, 3], [11, 8, 6, 4], [9, 10, 2], [13, 7, 12]]
19: [[1, 5, 3], [11, 8, 6, 4], [9, 10, 2], [13, 7, 12]]
20: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
21: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
22: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
23: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
24: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
25: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
26: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
27: [[1, 5, 3, 11], [8, 6, 4], [9, 10, 2], [13, 7, 12]]
