0: [[41, 48, 20], [3, 1, 30], [39, 14, 26, 5, 4, 18], [8, 42], [13, 44, 16, 21], [19], [9, 40, 31, 24, 15, 23, 6, 10, 12], [7, 53, 46, 27], [51], [25, 28], [32, 34], [60, 29], [11, 56, 37, 36, 17, 58, 54, 33], [35, 2], [38], [43, 45, 55, 22], [59, 47], [49, 57, 50, 52]]
1: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 6, 10, 13, 15, 30, 16, 28, 17, 22, 23, 21, 31], [26, 25, 29, 27, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
2: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 10, 23, 6, 15, 13, 17, 16, 21, 25, 26, 28, 30], [22, 29, 31, 27, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
3: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 6, 23, 10, 13, 22, 15, 16, 25, 21, 31, 17, 28], [27, 29, 26, 30, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
4: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 6, 10, 16, 15, 21, 25, 13, 23, 17, 28, 22, 31], [26, 29, 27, 30, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
5: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 6, 28, 15, 10, 17, 31, 21, 16, 27, 13, 22, 23], [25, 26, 29, 30, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
6: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 6, 13, 17, 21, 10, 15, 23, 16, 30, 22, 25, 28], [26, 27, 29, 31, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
7: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 6, 10, 16, 15, 13, 25, 17, 21, 22, 23, 30, 28], [27, 29, 31, 26, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
8: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 6, 13, 10, 15, 16, 28, 21, 17, 23, 22, 27, 26], [25, 31, 29, 30, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
9: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14, 5, 8, 19], [18, 6, 13, 17, 15, 22, 10, 16, 21, 23, 28, 31, 26], [27, 25, 29, 30, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
10: [[35, 33, 1, 2, 20, 7, 11, 3, 12, 9, 4, 24, 14], [5, 8, 19, 18, 28, 23, 15, 16, 13, 17, 26, 22, 25, 30, 10, 21, 6], [29, 27, 31, 38, 40, 34, 32, 36, 44, 39, 43, 41, 45, 42, 37], [47, 46, 50, 49, 48, 56, 51, 53, 54, 52, 55, 59, 57, 58, 60]]
