0: [[12, 10, 2, 5], [6, 3, 1, 4], [7, 9, 11, 8, 13]]
1: [[12, 10, 2, 5], [6, 3, 1, 4], [7, 9, 11, 8, 13]]
2: [[12, 10, 2, 5], [6, 3, 1, 4], [7, 9, 11, 8, 13]]
3: [[12, 10, 2, 5], [6, 3, 1, 4], [7, 9, 11, 8, 13]]
4: [[12, 10, 2, 5, 6], [3, 1, 4], [7, 9, 11, 8, 13]]
5: [[12, 10, 2, 5, 6], [3, 1, 4], [7, 9, 11, 8, 13]]
6: [[12, 10, 2, 5], [6, 3, 1, 4], [7, 9, 11], [8, 13]]
7: [[12, 10, 2, 5], [6, 3, 1], [4, 7, 9, 11, 8, 13]]
8: [[12, 10, 2], [5, 6, 3, 1], [4], [7, 9, 11, 8, 13]]
9: [[12, 10], [2, 5], [6, 3, 1, 4], [7, 9, 11, 8, 13]]
10: [[12, 10, 2, 5, 6], [3, 1, 4], [7, 9, 11], [8, 13]]
11: [[12, 10, 2, 5], [6, 3, 1, 4, 7, 9], [11, 8, 13]]
12: [[12, 10], [2, 5, 6, 3, 1], [4, 7, 9, 11, 8, 13]]
13: [[12, 10, 2, 5], [6, 3, 1, 4, 7], [9, 11, 8, 13]]
14: [[12, 10], [2, 5, 6, 3, 1], [4], [7, 9, 11, 8, 13]]
15: [[12, 10, 2, 5], [6, 3, 1, 4, 7], [9, 11, 8, 13]]
16: [[12, 10, 2, 5], [6, 3, 1, 4, 7], [9, 11, 8, 13]]
17: [[12, 10, 2, 5], [6, 3, 1, 4, 7, 9, 11], [8, 13]]
18: [[12, 10, 2, 5], [6, 3, 1, 4, 7, 9, 11], [8, 13]]
19: [[12, 10, 2, 5], [6, 3, 1, 4, 7, 9, 11], [8, 13]]
20: [[12, 10, 2], [5, 6, 3, 1], [4, 7, 9, 11], [8], [13]]
21: [[12, 10, 2, 5], [6], [3, 1, 4, 7, 9], [11, 8, 13]]
22: [[12, 10, 2, 5, 6], [3, 1, 4, 7], [9, 11, 8, 13]]
23: [[12, 10, 2], [5, 6, 3], [1, 4, 7, 9, 11], [8, 13]]
24: [[12, 10, 2], [5, 6, 3], [1, 4, 7, 9, 11], [8], [13]]
25: [[12, 10, 2, 5, 6], [3, 1], [4, 7, 9, 11], [8, 13]]
26: [[12, 10], [2, 5, 6, 3, 1, 4, 7, 9], [11, 8, 13]]
27: [[12, 10], [2, 5, 6], [3, 1, 4, 7, 9], [11, 8, 13]]
