0: [[7, 43, 22, 13, 2, 1, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [26, 17, 19, 16, 18, 21, 20], [24, 23], [25, 27], [31, 63], [29, 28], [30, 36], [35, 33, 32], [34, 39], [37, 46], [38, 42], [41, 60], [44, 40, 47], [45, 56], [51, 50, 52, 48], [54, 49], [53, 55, 59, 57], [58, 62], [61, 67, 68, 65], [72, 66], [64, 69, 79], [70, 78], [71, 73, 75, 74, 77, 76], [85, 81, 82], [80, 83, 84, 86, 87, 88]]
1: [[7, 43, 22, 13, 2, 1, 12], [3, 4], [5, 6], [10, 9, 8, 11], [15, 14], [26, 17, 19, 16], [18, 21, 20, 24, 23], [25, 27], [31, 63], [29, 28], [30, 36], [35, 33, 32], [34, 39], [37, 46], [38, 42], [41, 60], [44, 40], [47, 45, 56], [51, 50, 52, 48, 54, 49, 53, 55, 59, 57], [58, 61, 62, 67, 68, 65, 72, 66, 64, 69, 79, 70, 78, 71, 73, 75, 74], [77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
2: [[7, 43, 22, 13, 2, 1, 12], [3, 4, 5], [6, 10, 9], [8, 11], [15, 14], [26, 17], [19, 16, 18, 21, 20, 24, 23], [25, 27, 31, 63], [29, 28], [30, 36], [35, 33], [32, 34, 39], [37, 46], [38, 42], [41, 60, 44], [40, 47], [45, 56, 51], [50, 52, 48], [54, 49, 53], [55, 59], [57, 58, 62], [61, 67], [68, 65, 72], [66, 64, 69], [79, 70, 78, 71, 73, 75, 74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
3: [[7, 43, 22, 13, 2, 1, 12], [3, 4, 5], [6, 10, 9], [8, 11], [15, 14], [26, 17], [19, 16, 18, 21, 20, 24, 23], [25, 27, 31, 63], [29, 28], [30, 36], [35, 33], [32, 34, 39], [37, 46], [38, 42], [41, 60, 44], [40, 47], [45, 56, 51], [50, 52, 48], [54, 49, 53], [55, 59], [57, 58, 62], [61, 67], [68, 65, 72], [66, 64, 69], [79, 70, 78, 71, 73, 75, 74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
4: [[7, 43, 22, 13, 2, 1, 12], [3, 4, 5], [6, 10, 9], [8, 11], [15, 14], [26, 17], [19, 16, 18, 21, 20, 24, 23], [25, 27, 31, 63], [29, 28], [30, 36], [35, 33], [32, 34, 39], [37, 46], [38, 42], [41, 60, 44], [40, 47], [45, 56, 51], [50, 52, 48], [54, 49, 53], [55, 59, 57, 58, 61, 62, 67, 68], [65, 72, 66, 64, 69, 79, 70, 78], [71, 73, 75], [74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
5: [[7, 43, 22, 13, 2, 1, 12], [3, 4, 5], [6, 10, 9], [8, 11], [15, 14], [26, 17], [19, 16, 18, 21, 20, 24, 23], [25, 27, 31, 63], [29, 28], [30, 36], [35, 33], [32, 34, 39], [37, 46], [38, 42], [41, 60, 44], [40, 47], [45, 56, 51], [50, 52, 48], [54, 49, 53], [55, 59, 57, 58, 61, 62, 67, 68], [65, 72, 66, 64, 69, 79, 70, 78], [71, 73, 75], [74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
6: [[7, 43, 22, 13, 2, 1, 12], [3, 4, 5], [6, 10, 9], [8, 11], [15, 14], [26, 17], [19, 16, 18, 21, 20, 24, 23], [25, 27, 31, 63], [29, 28], [30, 36], [35, 33], [32, 34, 39], [37, 46], [38, 42], [41, 60, 44], [40, 47], [45, 56, 51], [50, 52, 48], [54, 49, 53], [55, 59, 57, 58, 61, 62, 67, 68], [65, 72, 66, 64, 69, 79, 70, 78], [71, 73, 75], [74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
7: [[7, 43, 22, 13, 2, 1, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14], [26, 17, 19], [16, 18], [21, 20, 24, 23], [25, 27], [31, 63, 29, 28], [30, 36, 35, 33], [32, 34, 39, 37, 46], [38, 42, 41, 60], [44, 40], [47, 45, 56], [51, 50, 52, 48, 54, 49, 53, 55, 59, 57, 58, 61, 62, 67, 68, 65, 72, 66, 64, 69, 79, 70, 78, 71, 73], [75, 74], [77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
8: [[7, 43, 22, 13, 2, 1, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14, 26, 17, 19, 16, 18], [21, 20, 24, 23], [25, 27], [31, 63, 29, 28], [30, 36, 35, 33, 32], [34, 39], [37, 46], [38, 42], [41, 60], [44, 40, 47], [45, 56], [51, 50], [52, 48], [54, 49], [53, 55], [59, 57, 58], [61, 62, 67, 68, 65, 72, 66, 64, 69, 79], [70, 78, 71, 73, 75, 74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
9: [[7, 43, 22, 13, 2, 1, 12], [3, 4], [5, 6], [10, 9], [8, 11], [15, 14, 26, 17, 19, 16, 18], [21, 20], [24, 23], [25, 27, 31], [63, 29, 28], [30, 36], [35, 33], [32, 34], [39, 37], [46, 38, 42], [41, 60], [44, 40], [47, 45, 56], [51, 50, 52, 48, 54], [49, 53, 55, 59, 57, 58, 61, 62, 67, 68, 65, 72, 66, 64, 69, 79, 70, 78, 71, 73, 75, 74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
10: [[7, 43, 22, 13, 2, 1, 12], [3, 4], [5, 6], [10, 9], [8, 11, 15, 14, 26, 17, 19], [16, 18], [21, 20], [24, 23, 25, 27, 31, 63], [29, 28, 30], [36, 35, 33, 32, 34, 39], [37, 46, 38, 42], [41, 60], [44, 40], [47, 45, 56], [51, 50], [52, 48, 54], [49, 53], [55, 59, 57, 58, 61, 62, 67, 68, 65, 72, 66, 64, 69, 79, 70, 78], [71, 73, 75, 74, 77, 76, 85, 81, 82, 80, 83, 84, 86, 87, 88]]
