0: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15], [19, 21, 17, 18], [16, 24, 20, 23], [59, 27], [25, 28, 31, 29], [30, 34, 32, 35, 33], [36, 43, 45], [37, 38, 42, 40], [41, 60, 46], [44, 47, 50], [61, 48], [53, 51, 49, 52, 54], [63, 57, 55], [58, 56, 62], [83, 64, 74, 71], [65, 67, 68], [77, 70, 69], [66, 72, 75, 73, 78], [76], [79, 87, 80, 81, 82], [84, 85], [86, 88]]
1: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15, 19], [21, 17], [18, 16], [24, 20, 23], [59, 27, 25], [28, 31], [29, 30, 34, 32], [35, 33], [36, 43, 45], [37, 38, 42], [40, 41, 60, 46], [44, 47, 50], [61, 48], [53, 51], [49, 52, 54], [63, 57, 55], [58, 56, 62], [83, 64, 74, 71], [65, 67, 68], [77, 70, 69], [66, 72], [75, 73, 78, 76], [79, 87, 80, 81, 82, 84], [85, 86, 88]]
2: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15], [19, 21, 17], [18, 16], [24, 20, 23], [59, 27, 25], [28, 31, 29], [30, 34, 32], [35, 33, 36], [43, 45, 37], [38, 42, 40], [41, 60, 46], [44, 47, 50], [61, 48, 53, 51], [49, 52, 54], [63, 57, 55], [58, 56, 62, 83], [64, 74, 71], [65, 67, 68, 77], [70, 69, 66], [72, 75, 73, 78], [76, 79, 87, 80, 81, 82, 84, 85, 86, 88]]
3: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15], [19, 21, 17], [18, 16, 24], [20, 23, 59], [27, 25, 28, 31], [29, 30, 34, 32, 35, 33], [36, 43, 45], [37, 38, 42], [40, 41, 60], [46, 44], [47, 50], [61, 48], [53, 51, 49, 52, 54, 63, 57, 55, 58, 56, 62, 83, 64, 74, 71, 65, 67, 68, 77, 70, 69, 66, 72, 75, 73, 78, 76, 79, 87], [80, 81, 82, 84, 85, 86, 88]]
4: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15, 19], [21, 17], [18, 16], [24, 20, 23], [59, 27, 25], [28, 31], [29, 30, 34, 32], [35, 33], [36, 43, 45], [37, 38, 42], [40, 41, 60, 46], [44, 47, 50], [61, 48], [53, 51], [49, 52, 54], [63, 57, 55], [58, 56, 62, 83, 64, 74, 71, 65, 67, 68, 77, 70, 69, 66, 72, 75, 73, 78, 76, 79, 87, 80, 81, 82, 84, 85, 86], [88]]
5: [[39, 3, 10, 4, 9], [1, 6], [2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15], [19, 21, 17], [18, 16, 24], [20, 23, 59, 27], [25, 28, 31, 29], [30, 34], [32, 35], [33, 36, 43, 45], [37, 38, 42, 40], [41, 60], [46, 44, 47, 50], [61, 48], [53, 51, 49], [52, 54, 63], [57, 55], [58, 56, 62, 83, 64], [74, 71, 65], [67, 68, 77], [70, 69, 66, 72, 75], [73, 78, 76], [79, 87, 80, 81], [82], [84, 85], [86, 88]]
6: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15, 19], [21, 17], [18, 16], [24, 20, 23], [59, 27, 25], [28, 31], [29, 30, 34, 32], [35, 33], [36, 43, 45], [37, 38, 42], [40, 41, 60, 46], [44, 47, 50], [61, 48], [53, 51], [49, 52, 54], [63, 57, 55], [58, 56, 62, 83, 64, 74, 71, 65, 67, 68, 77, 70, 69, 66, 72, 75, 73, 78, 76, 79, 87, 80, 81, 82, 84, 85, 86], [88]]
7: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7], [26, 8, 11], [14, 15, 19], [21, 17, 18], [16, 24, 20, 23], [59, 27, 25], [28, 31, 29, 30], [34, 32, 35], [33, 36, 43, 45], [37, 38, 42], [40, 41, 60], [46, 44, 47, 50], [61, 48, 53], [51, 49, 52], [54, 63, 57, 55], [58, 56, 62], [83, 64, 74, 71], [65, 67, 68, 77, 70, 69, 66, 72, 75, 73, 78, 76, 79, 87, 80, 81, 82, 84, 85, 86, 88]]
8: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15], [19, 21, 17, 18], [16, 24, 20, 23], [59, 27], [25, 28, 31, 29], [30, 34, 32, 35, 33], [36, 43, 45], [37, 38, 42, 40], [41, 60, 46, 44, 47, 50, 61, 48, 53, 51, 49, 52, 54, 63, 57, 55, 58, 56, 62, 83, 64, 74, 71, 65, 67, 68, 77, 70, 69, 66, 72, 75, 73], [78, 76, 79, 87, 80, 81, 82, 84, 85, 86, 88]]
9: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15, 19], [21, 17], [18, 16], [24, 20, 23], [59, 27, 25], [28, 31], [29, 30, 34, 32], [35, 33], [36, 43, 45], [37, 38, 42], [40, 41, 60, 46], [44, 47, 50], [61, 48], [53, 51], [49, 52], [54, 63], [57, 55, 58, 56], [62, 83, 64, 74], [71, 65, 67], [68, 77, 70], [69, 66, 72, 75], [73, 78, 76], [79, 87, 80, 81, 82, 84, 85, 86, 88]]
10: [[39, 3, 10, 4], [9, 1], [6, 2], [22, 13, 12, 5], [7, 26, 8, 11], [14, 15], [19, 21, 17, 18], [16, 24, 20, 23, 59], [27, 25, 28], [31, 29, 30, 34], [32, 35, 33], [36, 43, 45, 37], [38, 42], [40, 41, 60, 46], [44, 47, 50], [61, 48, 53], [51, 49, 52, 54, 63], [57, 55, 58, 56], [62, 83, 64, 74], [71, 65, 67, 68], [77, 70], [69, 66], [72, 75, 73, 78], [76, 79, 87, 80], [81, 82, 84, 85, 86, 88]]
11: [[39, 3, 10, 4], [9, 1], [6, 2], [22, 13, 12, 5], [7, 26, 8, 11], [14, 15], [19, 21, 17, 18], [16, 24, 20, 23, 59], [27, 25, 28], [31, 29, 30, 34], [32, 35, 33], [36, 43, 45, 37], [38, 42], [40, 41, 60, 46], [44, 47, 50], [61, 48, 53], [51, 49, 52, 54, 63], [57, 55, 58, 56], [62, 83, 64, 74], [71, 65, 67, 68], [77, 70], [69, 66], [72, 75, 73, 78], [76, 79, 87, 80], [81, 82, 84, 85, 86, 88]]
12: [[39, 3, 10, 4], [9, 1, 6, 2], [22, 13, 12], [5, 7, 26], [8, 11], [14, 15, 19], [21, 17, 18], [16, 24], [20, 23, 59, 27], [25, 28, 31], [29, 30, 34], [32, 35, 33], [36, 43, 45], [37, 38, 42, 40], [41, 60, 46], [44, 47, 50], [61, 48, 53, 51], [49, 52, 54], [63, 57, 55], [58, 56, 62, 83], [64, 74, 71], [65, 67, 68, 77], [70, 69, 66, 72, 75, 73, 78], [76, 79, 87, 80, 81, 82, 84, 85, 86, 88]]
13: [[39, 3, 10, 4], [9, 1, 6, 2], [22, 13, 12], [5, 7, 26], [8, 11], [14, 15, 19], [21, 17, 18, 16], [24, 20, 23, 59], [27, 25, 28], [31, 29, 30], [34, 32, 35, 33], [36, 43, 45], [37, 38, 42], [40, 41, 60, 46], [44, 47, 50], [61, 48, 53, 51], [49, 52, 54, 63], [57, 55, 58, 56, 62, 83, 64, 74, 71, 65, 67, 68, 77, 70, 69, 66, 72, 75, 73, 78, 76, 79, 87, 80, 81, 82, 84, 85, 86, 88]]
14: [[39, 3, 10], [4, 9, 1], [6, 2], [22, 13, 12], [5, 7], [26, 8, 11], [14, 15], [19, 21, 17], [18, 16], [24, 20, 23], [59, 27, 25], [28, 31, 29], [30, 34, 32, 35], [33, 36, 43], [45, 37], [38, 42], [40, 41, 60], [46, 44, 47], [50, 61, 48], [53, 51, 49, 52], [54, 63, 57], [55, 58, 56, 62], [83, 64, 74, 71], [65, 67, 68, 77], [70, 69, 66], [72, 75, 73, 78], [76, 79, 87], [80, 81, 82, 84], [85, 86, 88]]
15: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15], [19, 21, 17], [18, 16], [24, 20, 23], [59, 27], [25, 28, 31, 29], [30, 34, 32, 35], [33, 36, 43], [45, 37, 38, 42, 40, 41, 60, 46], [44, 47, 50, 61, 48, 53], [51, 49, 52, 54, 63, 57], [55, 58, 56, 62, 83, 64, 74, 71, 65, 67, 68, 77, 70, 69, 66, 72, 75, 73, 78, 76, 79, 87, 80, 81, 82, 84, 85, 86, 88]]
16: [[39, 3, 10, 4, 9], [1, 6, 2, 22, 13, 12], [5, 7, 26], [8, 11], [14, 15], [19, 21, 17, 18, 16], [24, 20, 23], [59, 27, 25], [28, 31, 29], [30, 34], [32, 35, 33], [36, 43], [45, 37], [38, 42, 40], [41, 60, 46, 44, 47, 50, 61, 48, 53, 51, 49], [52, 54, 63, 57, 55, 58, 56, 62, 83, 64, 74, 71], [65, 67], [68, 77, 70, 69, 66, 72, 75, 73], [78, 76, 79, 87, 80, 81, 82, 84, 85, 86, 88]]
