0: [[2, 1, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 12, 19, 15, 20, 17, 18, 13], [21, 23, 24]]
1: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
2: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
3: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
4: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
5: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
6: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
7: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
8: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
9: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
10: [[1, 2, 3, 16], [22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
11: [[1, 3, 16], [2, 22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
12: [[1, 3, 16], [2, 22, 4, 5], [6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
13: [[1, 2, 3, 16], [22, 4, 5, 6], [14, 11, 9, 7, 10, 8], [13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
14: [[1, 3, 16], [2, 22, 4], [5, 6, 14, 11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
15: [[1, 2, 22, 4, 5, 6, 3, 16], [14, 11, 9, 7, 10, 8], [13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
16: [[1, 2, 22, 4, 5, 6, 3, 16], [14, 11, 9, 7, 10, 8], [13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
17: [[1, 2, 22, 4, 5, 6, 3, 16], [14, 11, 9, 7, 10, 8], [13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
18: [[3, 16, 1, 2, 22], [4, 5, 6, 14], [11, 9, 7], [10, 8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
19: [[1, 3, 16], [2, 22, 4, 5, 6, 14], [11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
20: [[1, 2, 22, 4, 3, 16], [5, 6, 14], [11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
21: [[1, 2, 22, 4, 3, 16], [5, 6, 14], [11, 9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
22: [[1, 2, 22, 3, 16], [4, 5, 6], [14, 11, 9, 7, 10, 8], [13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
23: [[3, 2, 22, 16, 1], [4, 5, 6], [14, 11, 9, 7], [10, 8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
24: [[3, 2, 22, 16, 1], [4, 5, 6], [14, 11, 9, 7], [10, 8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
25: [[3, 16, 1], [2, 22, 4, 5, 6], [14, 11, 9, 7, 10, 8, 13, 12], [19, 15, 20, 17, 18], [21, 23, 24]]
26: [[3, 16, 1], [2, 22, 4, 5, 6], [14, 11, 9, 7, 10, 8, 13, 12], [19, 15, 20, 17, 18], [21, 23, 24]]
27: [[1, 3, 16], [2, 22, 4, 5, 6, 14], [11, 9, 7, 10, 8, 13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
28: [[1, 3, 16], [2, 22, 4, 5, 6, 14], [11, 9, 7, 10, 8, 13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
29: [[1, 3, 16], [2, 22, 4, 5, 6, 14], [11, 9, 7, 10, 8, 13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
30: [[1, 2, 22, 4, 3, 16], [5, 6, 14], [11, 9, 7, 10, 8, 13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
31: [[1, 2, 22, 4, 5, 3, 16], [6, 14, 11, 9, 7, 10, 8], [13, 12, 19, 15], [20, 17, 18], [21, 23, 24]]
32: [[3, 2, 22, 4, 5, 6, 16, 1], [14, 11, 9, 7], [10, 8, 13, 12, 19, 15], [20, 17, 18], [21, 23, 24]]
33: [[3, 2, 22, 4, 5, 6, 16, 1], [14, 11, 9, 7], [10, 8, 13], [12, 19, 15, 20, 17, 18], [21, 23, 24]]
34: [[3, 2, 22, 4, 5, 6, 16, 1], [14, 11, 9, 7], [10, 8, 13], [12, 19, 15, 20, 17, 18], [21, 23, 24]]
35: [[3, 2, 22, 4, 5, 6, 16, 1], [14, 11, 9, 7], [10, 8, 13], [12, 19, 15, 20, 17, 18], [21, 23, 24]]
36: [[1, 2, 3, 16], [22, 4, 5, 6, 14, 11], [9, 7, 10], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
37: [[1, 2, 22, 4], [5, 6, 14, 11], [9, 7, 10, 3, 16], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
38: [[1, 2, 22, 4], [5, 6, 14, 11], [9, 7, 10, 3, 16], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
39: [[1, 2, 22, 4, 5], [6, 14, 11], [9, 7, 10, 3, 16], [8, 13, 12, 19, 15, 20, 17, 18], [21, 23, 24]]
40: [[1, 2, 22, 4, 5, 6, 14, 3, 16], [11, 9, 7, 10, 8], [13, 12, 19, 15], [20, 17, 18], [21, 23, 24]]
41: [[1, 2, 22, 4, 5, 6, 14, 3, 16], [11, 9, 7, 10, 8], [13, 12, 19, 15], [20, 17, 18], [21, 23, 24]]
42: [[3, 16, 1], [2, 22, 4, 5, 6, 14, 11], [9, 7, 10, 8, 13, 12, 19], [15, 20, 17, 18], [21, 23, 24]]
