0: [[1, 10, 8, 3, 2], [12, 11, 13, 9], [7, 5], [14, 15, 16, 6, 4], [19, 17, 18, 20]]
1: [[1, 10, 8, 3, 2], [12, 11, 13, 9], [7, 5], [14, 15, 16, 6, 4], [19, 17, 18, 20]]
2: [[1, 10, 8, 3, 2], [12, 11], [13, 7, 5, 9], [14, 4, 16, 6, 15], [19, 17, 18, 20]]
3: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 15, 16, 6, 4], [19, 17, 18, 20]]
4: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 16, 6, 15, 4], [19, 17, 18, 20]]
5: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 16, 6, 15, 4], [19, 17, 18, 20]]
6: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 16, 6, 15, 4], [19, 17, 18, 20]]
7: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 4, 16, 6, 15], [19, 17, 18, 20]]
8: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 6, 16, 15, 4], [19, 17, 18, 20]]
9: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 16, 4, 6, 15], [19, 17, 18, 20]]
10: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 15, 4, 6, 16], [19, 17, 18, 20]]
11: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 9], [5], [14, 15, 16, 6, 4], [19, 17, 18, 20]]
12: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 9], [5], [14, 6, 16, 15, 4], [19, 17, 18, 20]]
13: [[1, 10, 8, 3, 2], [12, 11], [13, 5, 7, 4], [14, 6, 16, 9, 15], [19, 17, 18, 20]]
14: [[1, 10, 8, 3, 2], [12, 11], [13, 5, 4, 7], [14, 15, 16, 6, 9], [19, 17, 18, 20]]
15: [[1, 10, 8, 3, 2], [12, 11], [13, 5, 7, 9, 14], [16, 6, 4, 15], [19, 17, 18, 20]]
16: [[1, 10, 8, 3, 2], [12, 11, 13, 7], [5, 9], [14, 15, 16, 6, 4], [19, 17, 18, 20]]
17: [[1, 10, 8, 3, 2], [12, 11, 13, 5], [7, 9], [6, 15, 16, 4, 14], [19, 17, 18, 20]]
18: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [6], [14, 16, 4, 15], [19, 17, 18, 20]]
19: [[1, 10, 8, 3, 2], [12, 11, 13, 15, 7, 5, 9], [14, 6, 4, 16], [19, 17, 18, 20]]
20: [[1, 10, 8, 3, 2, 12], [11, 13, 7, 5, 9], [14, 16, 6, 15, 4], [19, 17, 18, 20]]
21: [[1, 10, 8, 3, 2, 12], [11, 13, 9, 5, 7], [14, 15, 16, 6, 4], [19, 17, 18, 20]]
22: [[1, 10, 8, 3, 2, 12], [11, 13, 7, 5, 9], [14, 4, 16, 6, 15], [19, 17, 18, 20]]
23: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5], [9, 14, 15, 16, 6, 4], [18, 17, 19, 20]]
24: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 18, 15, 6, 4], [19, 17, 16, 20]]
25: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 15, 20, 6, 4], [19, 17, 18, 16]]
26: [[1, 10, 8, 3, 2], [12, 11, 13, 5, 4], [14], [16, 6, 7, 15, 9], [19, 17, 18, 20]]
27: [[1, 10, 8, 3, 2], [12, 11, 13, 6, 5, 9], [7, 14, 16, 4, 15], [19, 17, 18, 20]]
28: [[1], [10, 8, 3, 2, 12], [11, 13, 7, 5, 9], [14, 16, 6, 15, 4], [19, 17, 18, 20]]
29: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5, 9], [14, 19, 15, 6, 4], [16, 17, 18, 20]]
30: [[1, 10, 8, 3, 2], [12, 11, 13, 7, 5], [9, 14, 16, 6], [15, 4], [19, 17, 18, 20]]
31: [[1, 10, 8, 3, 2], [12, 11, 13, 6], [7, 5], [9, 14, 17, 4, 15], [16, 19, 18, 20]]
32: [[1, 10], [8, 3, 2, 12], [11, 13, 5, 7, 9], [14, 16, 6, 15, 4], [19, 17, 18, 20]]
33: [[1, 10, 8, 3, 2], [12, 11, 13, 5, 14, 9], [6], [16, 7, 4, 15], [19, 17, 18, 20]]
34: [[1, 10, 8, 3, 2], [12, 11, 13, 7], [5, 6], [14, 15, 16, 9, 4], [19, 17, 18, 20]]
35: [[1, 10], [8, 3, 2, 12, 11], [13, 4, 7, 5], [14, 15, 9, 6, 16], [19, 17, 18, 20]]
36: [[1, 10, 8, 3, 2, 12], [11, 13, 7, 5, 9], [14, 15, 6, 4, 20], [19, 17, 18, 16]]
37: [[1, 10, 8, 3, 2], [12, 11, 13, 5, 9], [6, 15, 18, 4, 7], [14, 19, 16, 17, 20]]
38: [[1, 10, 8, 3], [2, 12, 11, 13, 7], [5, 9], [14, 6, 15, 18, 4], [19, 17, 16, 20]]
39: [[1, 10], [8, 3, 2, 12], [11, 13, 5, 4, 9], [16, 6, 7, 15, 14], [19, 17, 18, 20]]
40: [[1, 10, 8, 3], [2, 12, 11, 13, 5, 9], [7, 4], [14, 17, 6, 15], [19, 16, 18, 20]]
41: [[1, 10], [8, 3, 2, 12, 11], [13, 7, 5, 9], [14, 18, 6, 15, 4], [19, 17, 16, 20]]
