0: [[1, 2], [3, 6, 5], [15, 8], [7, 11, 12], [13, 14, 10, 20], [9, 17, 18, 16], [19, 22, 4], [21, 23, 24]]
1: [[2], [3, 6, 10], [15, 8], [7, 11], [12, 14, 5], [9, 17, 20], [18, 16], [19, 22, 1, 13, 4], [21, 23, 24]]
2: [[2, 3, 10], [6, 5, 1], [15, 8], [7, 11], [12, 13, 20], [14, 9], [17, 18, 16], [19, 22, 4], [21, 23, 24]]
3: [[1, 2, 3, 6, 5], [15, 8], [7, 11, 12], [13, 14, 10, 20], [9, 17, 18, 16], [19, 22, 4], [21, 23, 24]]
4: [[1, 2, 3, 6, 5], [15, 8], [7, 11, 12], [13, 14, 10, 20], [9, 17, 18, 16], [19, 22, 4], [21, 23, 24]]
5: [[1, 20], [2, 3, 10], [6, 5, 15, 8], [7, 11, 12], [13, 14], [9, 17, 18, 16], [19, 22, 4], [21, 23, 24]]
6: [[1], [2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20], [14, 9, 17, 18], [16, 19, 22, 4], [21, 23, 24]]
7: [[1, 2], [3, 6], [5, 15, 8, 7], [11, 12], [13, 14, 10], [9, 17, 20], [18, 16], [19, 22, 4], [21, 23, 24]]
8: [[1], [2, 3, 10], [6, 5], [15, 8, 20], [7, 11, 12], [13, 14], [9, 17, 18, 16], [19, 22, 4], [21, 23, 24]]
9: [[1], [2, 3, 10], [6, 5, 15, 8], [7, 11], [12, 13, 14, 9], [17, 18, 20], [16, 19, 22, 4], [21, 23, 24]]
10: [[1, 2, 10, 20], [3, 6], [5, 15, 8], [7, 11], [12, 13, 14], [9, 17, 18, 16], [19, 22, 21, 4], [23, 24]]
11: [[1, 2], [3, 6], [5, 15, 8], [7, 11, 12], [13, 14, 10, 20], [9, 17, 18], [16, 19, 4], [22, 21, 23, 24]]
12: [[1], [2, 3, 10], [6, 5], [15, 8, 20], [7, 11, 12], [13, 14], [9, 17, 18], [16, 19, 22, 4], [21, 23, 24]]
13: [[1, 4], [2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 14], [9, 17, 20], [18, 16, 19], [22, 21, 23, 24]]
14: [[1, 2], [3, 6], [5, 15], [8, 7], [11, 12, 20], [13, 14, 10], [9, 17, 18, 16], [19, 22, 4], [21, 23, 24]]
15: [[1, 2, 3], [6, 5], [15, 8, 7], [11, 12, 20], [13, 14, 10], [9, 17, 18], [16, 19, 22, 4], [21, 23, 24]]
16: [[2], [3, 6], [5, 15], [8, 7], [11, 12], [13, 14, 10], [9, 17, 20, 1], [18, 16], [19, 22, 4], [21, 23, 24]]
17: [[1], [2, 3, 6, 10], [5, 15, 8], [7, 11], [12, 13, 20], [14, 9, 17], [18, 16], [19, 22, 21, 4], [23, 24]]
18: [[1, 2, 10, 20], [3, 6, 5, 15, 8, 4], [7, 11], [12, 13, 14], [9, 17, 18, 16, 19, 22, 21], [23, 24]]
19: [[2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20, 1], [14, 9], [17, 18, 16, 19], [22, 21, 4], [23, 24]]
20: [[1], [2, 3, 10], [6, 5, 15], [8, 7, 20], [11, 12, 13], [14, 9], [17, 18, 16], [19, 22, 4], [21, 23, 24]]
21: [[1], [2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20], [14, 9], [17, 18], [16, 19, 4], [22, 21, 23, 24]]
22: [[1, 2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 14], [9, 17, 20], [18, 16, 19, 4], [22, 21], [23, 24]]
23: [[1, 2], [3, 6], [5, 15, 4], [8, 7, 11], [12, 13, 20], [14, 9, 10], [17, 18], [16, 19], [22, 21, 23, 24]]
24: [[2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20, 1], [14, 9], [17, 18], [16, 19, 22, 21, 4], [23, 24]]
25: [[2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20, 1], [14, 9], [17, 18], [16, 19, 22, 21, 4], [23, 24]]
26: [[2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20, 1], [14, 9], [17, 18], [16, 19, 4], [22, 21], [23, 24]]
27: [[2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20, 1], [14, 9], [17, 18], [16, 19, 4], [22, 21], [23, 24]]
28: [[1, 2, 3, 6, 5], [15, 8], [7, 11], [12, 13, 20], [14, 9, 10], [17, 18], [16, 19, 4], [22, 21], [23, 24]]
29: [[1, 4], [2, 3, 10], [6, 5], [15, 8, 7, 20], [11, 12, 13, 14, 9, 17, 18, 16, 19], [22, 21, 23, 24]]
30: [[2, 3, 10], [6, 5], [15, 8, 7], [11, 12], [13, 14], [9, 17, 20, 1], [18, 16], [19, 22, 21, 4], [23, 24]]
31: [[1, 2, 3], [6, 5, 15], [8, 7], [11, 12, 20], [13, 14, 10], [9, 17, 18], [16, 19, 4], [22, 21, 23, 24]]
32: [[1, 4], [2, 3, 10], [6, 5, 15], [8, 7], [11, 12, 13, 14], [9, 17, 20], [18, 16, 19], [22, 21, 23, 24]]
33: [[2, 3, 10], [6, 5, 15], [8, 7], [11, 12], [13, 14], [9, 17, 20, 1], [18, 16], [19, 22, 21, 4], [23, 24]]
34: [[2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20, 1], [14, 9, 17, 18], [16, 19, 4], [22, 21, 23], [24]]
35: [[1, 2, 4], [3, 6, 5, 15], [8, 7], [11, 12], [13, 14, 9, 17, 10, 20], [18, 16, 19], [22, 21, 23, 24]]
36: [[1, 2, 3, 10, 4], [6, 5], [15, 8, 7, 11], [12, 13, 20], [14, 9, 17], [18, 16], [19, 22, 21, 23, 24]]
37: [[1, 4], [2, 3, 10], [6, 5, 15], [8, 7, 20], [11, 12], [13, 14, 9], [17, 18, 16, 19], [22, 21, 23, 24]]
38: [[1, 4], [2, 3, 10, 20], [6, 5, 15, 8], [7, 11, 12, 13, 14], [9, 17, 18, 16], [19, 22, 21, 23, 24]]
39: [[20, 1, 2, 10, 4], [3, 6, 5, 15, 8, 7, 11, 12, 13, 14, 9, 17, 18, 16], [19, 22, 21, 23, 24]]
40: [[2, 3, 10], [6, 5], [15, 8], [7, 11], [12, 13, 20, 1], [14, 9], [17, 18], [16, 19, 4], [22, 21, 23], [24]]
41: [[1, 2, 3, 6, 5, 15], [8, 7], [11, 12], [13, 14, 9, 10], [17, 18, 20], [16, 19, 22, 21, 4], [23, 24]]
42: [[1, 2, 3, 6, 5], [15, 8], [7, 11, 12], [13, 14, 10], [9, 17, 20], [18, 16], [19, 22, 21, 23, 4], [24]]
43: [[1, 4], [2, 3, 10], [6, 5, 15, 8], [7, 11], [12, 13, 14, 20], [9, 17, 18, 16, 19, 22, 21, 23, 24]]
44: [[1], [2, 3, 10], [6, 5, 15, 4], [8, 7, 20], [11, 12], [13, 14], [9, 17, 18, 16], [19, 22, 21, 23, 24]]
45: [[1], [2, 3, 6], [5, 15, 4], [8, 7], [11, 12, 20], [13, 14, 10], [9, 17, 18, 16], [19, 22, 21, 23, 24]]
46: [[20, 1, 2, 10, 4], [3, 6], [5, 15, 8], [7, 11, 12, 13, 14, 9, 17, 18, 16, 19, 22, 21, 23, 24]]
