0: [[1, 35, 7, 2], [13, 3, 5, 8, 6, 21], [20, 12, 24], [9, 4, 11, 26, 14, 16, 17, 19, 15, 30, 10, 18], [22, 28, 25, 23], [29, 27, 31, 40, 42], [36, 41, 32, 37], [34, 47, 33, 39, 44, 38, 45, 46, 43], [57, 49], [50, 53, 48, 54, 51, 55], [59, 52, 58, 56, 60]]
1: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 11, 9, 12, 15, 24, 14, 19, 10, 18, 16, 31, 17, 22, 29, 20, 26, 27, 23, 25, 28, 30, 41, 45, 33, 39, 34, 32, 36, 40, 47, 37, 44, 46, 38, 42, 43, 52, 58], [50, 54, 49, 48, 53, 51, 56, 55, 57, 59, 60]]
2: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4, 8, 11, 14, 12, 10, 15, 19, 30, 20, 16, 24, 18, 23, 17, 9, 25, 22, 26, 28, 27, 29, 31, 48, 37, 32, 44, 34, 36, 39, 33, 43, 38, 42, 47, 45, 40, 41, 46], [52, 49, 51, 50, 55, 54, 53, 59, 58, 57, 56, 60]]
3: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 11, 12], [14, 9, 10, 24, 30, 15, 18, 31, 19, 17, 23, 22, 16, 20, 29, 25], [26, 27, 28, 43], [37, 34, 32, 38, 39], [45, 42, 47, 33, 36, 44, 46, 40, 48, 51], [41, 50, 52, 49, 53, 59, 54, 55, 57], [56, 60, 58]]
4: [[1, 35, 7, 2], [13, 3, 21, 6], [5, 4, 26, 9, 25, 12, 10, 8, 15, 11, 23, 14, 20, 18, 19, 17, 16, 22, 27, 31, 24, 28, 29, 30, 32, 37, 33, 36, 47, 34, 46, 43, 39, 38, 42, 40, 45], [41, 48, 59, 50, 57, 53, 44, 51, 49, 52, 55, 60, 56, 58, 54]]
5: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 10, 9, 25, 8, 26, 11, 14, 12, 19, 31, 18, 15, 24, 20, 23, 16, 17, 22, 29, 27, 28, 30, 32, 39, 33, 37, 40, 34, 36, 47, 38, 41, 43, 46, 45], [44, 42, 50, 48, 51, 54, 49, 52, 53, 55, 57, 60, 56, 59, 58]]
6: [[1, 35, 7, 2], [13, 3, 21, 5, 6, 8], [22, 12, 24], [9, 4, 11, 10, 14, 19, 15, 16, 17, 20, 27, 18, 23, 26, 25, 29, 28, 30, 31, 40, 33, 32, 41, 34, 37, 38, 43, 39, 42, 44, 36, 45], [47, 46, 50, 48, 49, 53, 51, 54, 57, 55, 59, 60, 58, 56, 52]]
7: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 8, 11], [9, 10, 12, 14, 30, 26, 31, 19, 28, 16, 27], [15, 22, 25, 17, 29, 18], [20, 24, 23, 59, 37], [33, 32, 36], [41, 38, 43, 45, 34], [39, 40, 42, 46, 55, 58], [49, 48, 52, 57], [44, 47], [50, 51, 54], [53, 56, 60]]
8: [[1, 35, 7, 2], [13, 3, 21, 6], [4, 5, 24, 9], [14, 12, 10, 20, 8, 26, 11, 28, 15, 17, 22, 19, 16, 18, 31, 27, 25, 23, 29], [30, 41, 37, 32, 38, 34, 33, 36, 42, 47, 39], [40, 44, 45], [43, 46, 50, 48], [60, 52, 49, 51, 53, 55, 54, 56, 57, 58, 59]]
9: [[1, 35, 7, 2], [13, 3, 21, 6, 5], [4, 28, 11, 9, 10, 12, 14, 31, 8, 29, 22, 15, 18], [16, 19, 17, 20, 23, 25, 27, 30, 24, 26, 33, 39, 40, 37, 36, 32, 34, 47, 41, 46, 44, 38, 42, 43, 52, 48, 45, 49, 50, 51, 56, 55, 53, 57, 59, 54, 58], [60]]
10: [[1, 35, 7, 2, 13, 3, 21, 6, 5], [4, 24, 11, 25, 14, 9, 8, 31, 10, 15, 12, 19, 16, 30, 17, 18, 26, 20, 29, 28, 23, 22, 27, 32, 36, 37, 34, 33, 46, 47, 38, 43, 42, 39, 41, 40, 44, 45, 51, 50, 54, 48, 52, 53, 55], [58, 49, 59, 57, 56, 60]]
