0: [[3, 1], [7, 5, 2], [13, 4], [8, 10], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
1: [[3, 1], [7, 5, 2], [13, 4], [8, 10], [11, 12, 9], [14, 16, 6, 15], [17, 19, 18, 20]]
2: [[3, 1], [7, 5, 2], [13, 4], [8, 10], [11, 14, 9, 6], [12, 16, 17, 15], [18, 19, 20]]
3: [[3, 1], [7, 5, 2], [14, 4], [8, 6], [10, 9], [13, 11, 12], [16, 15], [17, 19, 18, 20]]
4: [[3, 1], [7, 5, 2], [13, 8, 4], [10, 9], [12, 11], [14, 16, 6, 15], [17, 18], [19, 20]]
5: [[3, 1], [7, 5, 2], [13, 4], [12, 10], [8], [11, 9], [14, 16, 6, 15], [17, 18, 19, 20]]
6: [[3, 1], [7, 5, 2], [12, 4], [8, 10], [14], [11, 13, 9], [16, 17, 6, 15], [19, 18, 20]]
7: [[3, 1], [7, 5, 2, 13, 10, 9, 6], [11, 14, 8, 12, 4], [19, 16, 17, 15, 18, 20]]
8: [[3, 1], [7, 5, 2], [13], [8], [10, 9], [12, 19, 11], [14, 16, 4, 6, 15], [18, 17, 20]]
9: [[3, 1], [7, 5, 2], [14, 8, 4], [10, 9, 6], [12, 11], [16, 13, 17, 19, 15], [18, 20]]
10: [[3, 1], [7, 5, 2], [14, 8, 4], [10, 9, 6], [12, 11], [16, 13, 17, 19, 15], [18, 20]]
11: [[3, 1], [7, 5, 2, 14], [8, 10, 6, 4], [12, 13, 9], [11, 16, 19, 17, 18, 20, 15]]
12: [[3, 1], [7, 5, 2], [13, 10, 4, 6], [11, 14, 8, 12, 15, 9], [16, 19, 18, 17, 20]]
13: [[3, 1], [7, 5, 2], [13, 4], [12, 10, 9], [8, 11, 14], [16, 17, 6, 15], [19, 18, 20]]
14: [[3, 1], [7, 5, 2], [12, 6], [10], [8, 11, 9], [14, 13, 4], [17, 16, 18, 19, 20, 15]]
15: [[3, 1], [7, 5, 2], [13, 8, 4], [10, 12, 6], [11, 9], [14, 18, 16, 19, 17, 20, 15]]
16: [[3, 1], [7, 5], [2, 13, 8, 14, 10, 11, 12, 15, 9, 4, 6], [17, 16, 18, 19, 20]]
17: [[3, 1], [7, 5, 2], [13, 4, 6], [8, 10, 12, 11, 14, 9], [18], [17, 16, 19, 20, 15]]
18: [[3, 1, 7, 6], [5, 2, 13, 4], [10, 8], [14, 11, 12], [16, 17, 9], [19, 18, 20, 15]]
19: [[3, 1], [7, 5, 2], [12, 4], [10, 8], [14, 11, 9, 15], [16, 13, 6], [19, 17], [18, 20]]
20: [[3, 1], [7, 5, 2], [13], [12, 8, 14, 15], [10, 11, 9, 4, 6], [17, 19, 20, 18, 16]]
21: [[3, 1], [7, 5, 2], [13, 8, 10, 9, 4], [11, 14, 12, 15, 16, 19, 17, 18, 20, 6]]
22: [[3, 1], [7, 5], [2, 12], [8, 10], [11, 9, 6], [14, 18, 4], [13, 17, 16, 19, 20, 15]]
23: [[3, 1], [7, 5], [2, 13, 10, 11, 12, 4], [8, 14, 15, 9, 6], [16, 17, 19, 18, 20]]
24: [[3, 1], [7, 5, 2], [12, 8], [10, 11, 9, 6], [13], [14, 20, 4], [17, 16, 15], [18, 19]]
25: [[3, 1], [7, 5], [2, 13, 4], [12, 10, 11, 14, 8, 6], [15, 16, 19, 17, 18, 20, 9]]
26: [[3, 1], [7, 5, 2], [8, 4], [10, 11, 12], [13, 14, 16, 19, 9, 6, 15], [17, 18, 20]]
27: [[3, 1], [7, 5, 2], [13, 10, 4, 6], [8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 9]]
28: [[3, 1], [7, 5, 2], [12, 8, 4], [10, 6], [11, 13, 14, 9], [16, 20, 19, 15], [17, 18]]
29: [[3, 1], [7, 5, 2], [12, 4], [8, 15], [14, 11], [10, 13, 16, 9, 6], [17, 18, 19, 20]]
30: [[3, 1], [7, 5], [2, 12], [8, 10, 4], [11, 13, 14, 9], [16, 17, 6, 15], [18, 19, 20]]
31: [[3, 1], [7, 5, 2], [12, 4], [10, 13, 9], [11, 8, 6], [14, 16, 17, 19, 18, 20, 15]]
32: [[3, 1], [7, 5, 2], [12], [10, 14, 6], [8, 11], [13, 17, 9], [16, 19, 4, 15], [18, 20]]
33: [[3, 1], [7, 5, 2], [14, 12, 8, 10, 11, 4, 9, 15, 13, 16, 6, 17, 19, 18, 20]]
34: [[3, 1], [7, 5, 2], [12, 8, 4], [14], [13, 11, 9], [10, 18], [17, 16, 6, 15], [19, 20]]
35: [[3, 1], [7, 5], [2, 13, 12, 8, 10, 15, 4, 9, 11, 14, 18, 16, 17, 6, 20, 19]]
36: [[3, 1], [7, 5, 2], [12, 10, 6], [8, 9], [11, 14, 13, 17, 19, 4], [18, 16, 20, 15]]
37: [[3, 1, 7, 6], [5, 2, 13, 9], [12, 10], [11, 14, 4], [8], [17, 19], [18, 20, 16, 15]]
38: [[3, 1, 7], [5], [2, 13, 8], [10, 9, 4], [11, 14, 12], [16, 19, 6, 15], [17, 18, 20]]
39: [[3, 1, 7], [5, 2, 13, 8, 4, 10, 9, 6, 14, 11, 12, 15, 17, 19], [16, 18, 20]]
40: [[3, 1, 7, 5], [2, 13, 12, 9], [10, 4, 6], [8], [14, 11], [17], [18], [16, 19, 20, 15]]
41: [[3, 1, 7], [5, 2, 13, 4, 8, 10, 14, 9, 15, 12, 11, 16, 17, 19], [18, 20, 6]]
