0: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20, 23, 16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31, 33, 34, 32], [36, 35, 37]]
1: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20, 23, 16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31, 33, 34, 32], [36, 35, 37]]
2: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31, 33], [34, 32, 36], [35, 37]]
3: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15], [7, 8, 27], [12, 20, 23, 16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31, 33, 34, 32], [36, 35, 37]]
4: [[9, 18, 17, 3], [4, 10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12], [20, 23], [16, 21], [19, 22, 29, 24], [25, 26, 28], [30, 31, 33], [34, 32, 36], [35, 37]]
5: [[9, 18], [17, 3, 4], [10, 14], [1, 2, 6], [11, 5], [13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31], [33, 34, 32, 36], [35, 37]]
6: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19, 22], [29, 24], [25, 26, 28], [30, 31, 33, 34], [32, 36, 35, 37]]
7: [[9, 18], [17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7], [8, 27, 12], [20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31], [33, 34, 32], [36, 35, 37]]
8: [[9, 18], [17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7], [8, 27, 12], [20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31], [33, 34, 32], [36, 35, 37]]
9: [[9, 18, 17], [3, 4], [10, 14, 1], [2, 6, 11], [5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29], [24, 25, 26, 28], [30, 31, 33, 34, 32], [36, 35, 37]]
10: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5], [13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26], [28, 30, 31, 33, 34, 32, 36, 35, 37]]
11: [[9, 18], [17, 3], [4, 10, 14], [1, 2], [6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31, 33], [34, 32, 36], [35, 37]]
12: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20], [23, 16, 21], [19, 22, 29, 24], [25, 26, 28], [30, 31], [33, 34, 32, 36, 35, 37]]
13: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12], [20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31, 33], [34, 32, 36], [35, 37]]
14: [[9, 18, 17], [3, 4], [10, 14, 1], [2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29, 24], [25, 26, 28, 30], [31, 33, 34], [32, 36, 35, 37]]
15: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20, 23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30, 31], [33, 34], [32, 36, 35, 37]]
16: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30, 31, 33], [34, 32, 36, 35, 37]]
17: [[9, 18, 17], [3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31], [33, 34, 32], [36, 35, 37]]
18: [[9, 18], [17, 3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12], [20, 23], [16, 21], [19, 22, 29, 24], [25, 26, 28], [30, 31, 33], [34, 32, 36, 35, 37]]
19: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29, 24, 25], [26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
20: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13, 15, 7, 8, 27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
21: [[9, 18, 17], [3, 4, 10, 14], [1, 2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23, 16], [21, 19, 22, 29], [24, 25, 26, 28], [30, 31, 33], [34, 32, 36], [35, 37]]
22: [[9, 18, 17, 3], [4, 10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21, 19], [22, 29, 24], [25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
23: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20, 23], [16, 21, 19, 22], [29, 24, 25], [26, 28, 30], [31, 33], [34, 32, 36, 35, 37]]
24: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12], [20, 23, 16], [21, 19], [22, 29], [24, 25, 26, 28], [30, 31, 33, 34], [32, 36, 35, 37]]
25: [[9, 18, 17, 3, 4], [10, 14], [1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12], [20, 23, 16], [21, 19, 22, 29, 24], [25, 26, 28, 30, 31, 33], [34, 32, 36], [35, 37]]
26: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5], [13, 15, 7, 8], [27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
27: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20], [23, 16, 21, 19], [22, 29, 24], [25, 26, 28, 30], [31, 33, 34, 32], [36, 35, 37]]
28: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5], [13, 15, 7, 8], [27, 12, 20], [23, 16, 21, 19, 22], [29, 24, 25], [26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
29: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5], [13, 15, 7, 8], [27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
30: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12, 20], [23, 16, 21, 19], [22, 29, 24], [25, 26, 28, 30], [31, 33, 34, 32], [36, 35, 37]]
31: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29, 24], [25, 26], [28, 30, 31, 33, 34, 32, 36, 35, 37]]
32: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15, 7, 8, 27, 12], [20, 23, 16], [21, 19, 22], [29, 24, 25], [26, 28], [30, 31, 33, 34], [32, 36, 35, 37]]
33: [[9, 18], [17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7], [8, 27, 12], [20, 23, 16], [21, 19, 22], [29, 24, 25], [26, 28, 30], [31, 33, 34], [32, 36, 35], [37]]
34: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13], [15, 7, 8], [27, 12, 20, 23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30, 31, 33, 34], [32, 36, 35], [37]]
35: [[9, 18, 17, 3, 4], [10, 14, 1], [2, 6], [11, 5, 13], [15, 7, 8, 27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
36: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13, 15], [7, 8, 27], [12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
37: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29], [24, 25], [26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
38: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23, 16, 21, 19, 22], [29, 24, 25], [26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
39: [[9, 18], [17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30, 31], [33, 34, 32], [36, 35, 37]]
40: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5], [13, 15, 7], [8, 27, 12], [20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
41: [[9, 18], [17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7], [8, 27, 12, 20], [23, 16, 21], [19, 22, 29], [24, 25], [26, 28, 30], [31, 33, 34], [32, 36, 35, 37]]
42: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6], [11, 5, 13], [15, 7, 8], [27, 12], [20, 23, 16, 21, 19], [22, 29, 24], [25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
43: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6], [11, 5, 13], [15, 7, 8, 27, 12, 20], [23, 16, 21], [19, 22, 29], [24], [25, 26], [28, 30, 31, 33], [34, 32], [36, 35, 37]]
44: [[9, 18, 17, 3, 4], [10, 14], [1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22], [29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
45: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27, 12], [20, 23, 16, 21, 19], [22, 29, 24], [25, 26], [28, 30, 31], [33, 34, 32, 36, 35, 37]]
46: [[9, 18, 17, 3, 4], [10, 14, 1], [2, 6, 11, 5], [13, 15, 7, 8], [27, 12, 20], [23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
47: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30, 31, 33], [34, 32, 36], [35, 37]]
48: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27, 12], [20, 23, 16], [21, 19, 22], [29, 24, 25, 26, 28], [30, 31, 33], [34, 32, 36, 35, 37]]
49: [[9, 18], [17, 3], [4, 10], [14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28], [30, 31], [33, 34, 32], [36, 35, 37]]
50: [[9, 18, 17], [3, 4, 10, 14, 1], [2, 6, 11], [5, 13, 15, 7, 8, 27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
51: [[9, 18, 17], [3, 4, 10, 14, 1], [2, 6, 11], [5, 13, 15, 7, 8, 27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
52: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15], [7, 8, 27], [12, 20], [23, 16, 21], [19, 22, 29], [24, 25], [26, 28], [30, 31, 33], [34, 32], [36, 35, 37]]
53: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26, 28, 30, 31], [33, 34, 32, 36, 35, 37]]
54: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29, 24], [25, 26], [28, 30, 31], [33, 34, 32], [36, 35, 37]]
55: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5, 13], [15, 7, 8], [27, 12, 20, 23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30, 31], [33, 34], [32, 36, 35, 37]]
56: [[9, 18, 17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8, 27], [12, 20, 23], [16, 21, 19], [22, 29], [24, 25, 26], [28], [30, 31, 33, 34, 32, 36, 35, 37]]
57: [[9, 18], [17, 3, 4], [10, 14, 1], [2, 6, 11], [5, 13, 15], [7, 8], [27, 12, 20], [23, 16, 21, 19], [22, 29, 24, 25], [26, 28, 30], [31, 33, 34, 32, 36], [35, 37]]
58: [[9, 18, 17], [3, 4, 10], [14, 1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25], [26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
59: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12], [20, 23, 16], [21, 19, 22], [29, 24, 25], [26, 28, 30], [31, 33, 34], [32, 36, 35, 37]]
60: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12], [20, 23], [16, 21, 19], [22, 29, 24], [25, 26], [28, 30, 31], [33, 34, 32], [36, 35, 37]]
61: [[9, 18], [17, 3, 4], [10, 14, 1, 2], [6, 11, 5], [13, 15, 7], [8, 27, 12], [20, 23, 16], [21, 19, 22], [29, 24, 25], [26, 28, 30, 31], [33, 34, 32, 36], [35, 37]]
62: [[9, 18], [17, 3, 4, 10], [14, 1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12], [20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
63: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11], [5, 13], [15, 7, 8], [27, 12, 20], [23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30], [31, 33, 34], [32, 36, 35, 37]]
64: [[9, 18], [17, 3], [4, 10], [14, 1, 2, 6], [11, 5, 13], [15, 7, 8], [27, 12, 20, 23, 16], [21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
65: [[9, 18], [17, 3, 4, 10], [14, 1, 2, 6], [11, 5, 13], [15, 7], [8, 27, 12, 20, 23, 16, 21, 19, 22, 29, 24, 25, 26, 28, 30, 31, 33, 34, 32, 36, 35, 37]]
66: [[9, 18, 17], [3, 4, 10], [14, 1, 2], [6, 11, 5], [13, 15], [7, 8, 27], [12, 20], [23, 16, 21], [19, 22, 29], [24, 25, 26], [28, 30, 31], [33, 34], [32, 36, 35], [37]]
