0: [[20, 19], [11, 3], [4, 14], [10, 5, 7, 6], [1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
1: [[20, 19], [11, 3], [4, 14], [10, 5, 7, 6], [1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
2: [[20, 19], [11, 3], [4, 14], [10, 5, 7, 6], [1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
3: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6, 1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
4: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6, 1, 2], [13, 8, 9], [12, 17, 15, 18, 16]]
5: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
6: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
7: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
8: [[20, 19], [11, 3], [4, 14, 10, 5], [7, 6, 1, 2], [13, 8, 9, 12], [17, 15, 18, 16]]
9: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8], [9, 12, 17], [15, 18, 16]]
10: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8, 9, 12, 17, 15, 18, 16]]
11: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6, 1, 2, 13], [8, 9, 12, 17, 15, 18, 16]]
12: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6, 1], [2, 13, 8], [9, 12, 17], [15, 18, 16]]
13: [[20, 19], [11, 3], [4, 14], [10, 5, 7, 6], [1, 2], [13, 8, 9, 12, 17, 15], [18, 16]]
14: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6, 1, 2, 13], [8, 9, 12, 17, 15, 18, 16]]
15: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6, 1], [2, 13, 8], [9, 12, 17], [15, 18, 16]]
16: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6, 1, 2, 13, 8, 9, 12, 17, 15, 18, 16]]
17: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8, 9], [12, 17], [15, 18], [16]]
18: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2, 13], [8, 9, 12, 17], [15, 18, 16]]
19: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6, 1], [2, 13, 8], [9, 12, 17], [15, 18, 16]]
20: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6, 1], [2, 13, 8], [9, 12, 17], [15, 18, 16]]
21: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6, 1], [2, 13, 8], [9, 12, 17], [15, 18, 16]]
22: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6, 1], [2, 13, 8], [9, 12, 17], [15, 18, 16]]
23: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8, 9], [12, 17, 15], [18, 16]]
24: [[20, 19], [11, 3], [4, 14, 10], [5, 7, 6], [1, 2, 13, 8, 9], [12, 17, 15, 18, 16]]
25: [[20, 19], [11, 3], [4, 14, 10, 5], [7, 6, 1, 2], [13, 8], [9, 12, 17, 15, 18, 16]]
26: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2], [13, 8, 9], [12, 17, 15], [18, 16]]
27: [[20, 19], [11, 3, 4, 14], [10, 5, 7, 6], [1, 2, 13, 8], [9, 12, 17, 15], [18, 16]]
28: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6], [1, 2, 13, 8, 9, 12, 17, 15, 18, 16]]
29: [[20, 19], [11, 3], [4, 14], [10, 5], [7, 6], [1, 2, 13], [8, 9], [12, 17, 15], [18, 16]]
30: [[20, 19], [11, 3], [4, 14, 10, 5], [7, 6, 1, 2, 13, 8], [9, 12, 17, 15], [18, 16]]
31: [[20, 19], [11, 3, 4, 14], [10, 5, 7, 6], [1, 2, 13, 8, 9, 12, 17, 15, 18, 16]]
32: [[20, 19], [11, 3, 4], [14, 10], [5, 7], [6, 1, 2], [13, 8], [9, 12, 17], [15, 18, 16]]
33: [[20, 19], [11, 3, 4], [14, 10], [5, 7], [6, 1, 2], [13, 8], [9, 12], [17, 15, 18, 16]]
34: [[20, 19], [11, 3, 4], [14, 10], [5, 7], [6, 1], [2, 13, 8], [9, 12, 17], [15, 18, 16]]
35: [[20, 19], [11, 3, 4, 14, 10, 5, 7, 6, 1], [2, 13, 8, 9, 12, 17, 15, 18, 16]]
36: [[20, 19], [11, 3], [4, 14], [10, 5, 7], [6, 1], [2, 13], [8, 9], [12, 17, 15], [18, 16]]
37: [[20, 19], [11, 3], [4, 14, 10, 5], [7, 6, 1, 2, 13, 8, 9, 12, 17, 15], [18, 16]]
38: [[20, 19], [11, 3, 4, 14], [10, 5, 7, 6, 1, 2, 13, 8, 9, 12, 17, 15], [18, 16]]
39: [[20, 19, 11], [3, 4, 14, 10, 5], [7, 6, 1, 2, 13, 8, 9, 12, 17, 15, 18, 16]]
