0: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [41, 15, 14], [11, 13, 23], [25, 19, 16], [17, 20, 21], [28, 31, 43], [27], [26, 62, 29, 34], [30, 44, 39, 8], [35, 37, 32], [47, 36, 40], [42], [45, 61], [56, 58, 46], [50, 51], [49, 54, 55], [52, 53, 48], [59, 57], [60, 63, 68], [64, 66], [71, 67, 70], [69, 73, 77, 10], [72, 76, 74], [75, 78], [79, 82], [85, 80, 81], [87, 84, 86], [83, 88]]
1: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9], [41, 15, 14], [11, 13, 23], [25, 19, 16], [17, 20, 21], [28, 31, 43], [27], [26, 62, 29, 34], [30, 44, 39, 8], [35, 37, 32], [47, 36, 40], [42], [45, 61], [56, 58, 46], [50, 51], [49, 54, 55], [52, 53, 48], [59, 57], [60, 63, 68], [64, 66], [71, 67, 70], [69, 73, 77, 10], [72, 76, 74], [75, 78], [79, 82], [85, 80, 81], [87, 84, 86], [83, 88]]
2: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10], [11, 15], [21, 16, 31, 13, 23], [52, 17], [19, 14], [20, 28, 25], [30, 62, 50, 58, 26, 54, 27, 29], [32, 35, 34, 44, 39, 8], [40, 41], [42], [37, 45, 46], [59, 53, 47, 56, 36], [48, 61, 49], [55, 51, 60, 43], [63, 57, 64], [67, 70], [80, 69, 66], [77, 78], [72, 71, 73, 75, 74], [76, 79, 83, 68, 81, 87, 82, 85, 86, 84, 88]]
3: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 8, 10], [15, 11, 14], [17, 21, 13], [19, 29, 16], [25], [26, 20, 62, 27], [28, 53], [31, 59, 23], [58, 32], [60, 42, 46, 34, 35, 36, 39, 37, 47, 41, 40, 61, 44, 48, 43, 45, 54, 55, 49, 50, 52, 56, 51, 63, 57, 30, 66, 64, 68, 71, 76, 67, 74, 69, 79, 72, 70, 75, 78, 77, 73, 80], [81, 82, 85, 84, 87, 86, 83, 88]]
4: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 23, 13], [14, 15], [17, 16, 20, 25], [27, 21, 26], [28, 31, 58, 19, 30, 54, 29, 42, 34, 47, 37, 35, 40, 43], [36, 32, 39, 41, 46], [44, 60, 45, 61, 51, 48, 52, 50, 53, 49], [57], [55, 56, 62, 59, 63, 11, 66, 64, 71, 68, 76, 67, 72, 70, 74, 77, 75, 73], [78, 80, 83, 87], [79, 81, 69, 82, 86, 84, 85, 88]]
5: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 40, 8], [29], [14, 15, 16], [25, 20, 21], [17], [11, 19, 27], [28, 30], [26, 31, 36, 56], [34, 35, 49, 41, 39, 10], [50, 44, 37], [43, 32, 13, 23], [47, 48, 60, 57], [45, 55], [46, 42, 52, 51, 53, 63, 54, 58, 59, 61, 62, 66, 64, 70, 71, 69, 67, 68, 72, 73, 76, 77, 75, 74, 79, 78, 80, 81, 82, 83, 84, 85, 87, 86, 88]]
6: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 14, 39], [26, 15], [29, 17, 11], [27, 13, 23], [48, 25, 16, 59, 20, 55, 19, 21, 28], [51, 30, 62, 37, 32, 53, 31, 35, 36, 43, 41, 42, 44, 40, 58, 45, 57, 46, 34, 47, 49, 50, 63, 52, 54, 56], [61, 60], [64, 66, 71, 69], [76, 77, 67], [70, 74, 68, 73], [75, 72, 78, 79, 81, 85, 80], [82, 83], [86, 87, 84, 88]]
7: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 40], [8, 11, 26], [14, 15], [30, 29], [27, 10, 16], [19, 20, 25], [54, 17, 21], [28, 23], [57, 58, 52], [13, 37, 51], [60, 31, 43, 32, 34, 61], [36, 35, 41, 42, 39, 44, 50], [45, 46, 47, 48, 49, 53, 62, 56, 55, 59, 63, 66, 64, 78, 81], [70, 76, 67, 71, 74, 68, 69, 73, 77, 79, 75, 72, 86, 88, 80, 83, 84, 85, 87, 82]]
8: [[33, 65], [4, 3], [1, 24, 18], [2, 43, 12, 22], [38, 5, 7], [6, 9], [8, 15, 11, 19, 25, 16, 28, 29, 20, 13, 23], [48, 14], [17, 21], [27], [30, 62, 31, 26], [32, 35, 36, 34], [52, 44, 39, 10], [58, 47], [42, 37], [40, 55, 41], [45, 57, 46], [49, 61, 50, 51, 54], [56], [53, 59, 60, 63, 64, 70, 69, 67, 76, 68, 66, 71, 73, 74, 72, 75, 77, 78, 79, 82, 81, 80], [85, 87, 83, 84, 86, 88]]
9: [[33, 65], [4, 3], [1, 24], [18, 2, 12, 22], [38, 5, 7], [6, 9, 10], [8, 23, 13], [14, 15, 17], [16, 20, 25, 26, 21, 27, 28, 31, 58, 29, 30, 54, 19, 34, 60, 40, 41, 35, 32, 42, 36, 48, 37, 43, 46, 47, 44, 45, 61, 51, 39, 52, 50, 53, 49], [57, 55, 56, 62, 63, 59, 11, 64, 66, 71, 68, 76, 67, 72, 70, 78, 69, 74, 75, 77, 80, 73, 83, 79, 81, 85, 82, 86, 84, 87, 88]]
10: [[33, 65], [4, 3], [1, 24, 18], [2, 12, 22], [38, 5, 7], [6, 9, 10], [11, 8, 21, 17], [15, 29, 26, 13, 23], [16, 19], [20, 31, 14], [25], [27, 58, 28, 30, 63], [34, 36, 46, 39], [37, 45], [40, 41, 47], [35, 44], [32, 42, 43, 49, 52, 60, 53, 48, 51, 55, 54, 61, 50, 56, 62, 57, 59, 64, 66, 70, 67, 76, 69, 77, 68, 72, 73, 71, 75, 79, 88, 78, 81, 74, 80], [83, 84, 82, 86, 87, 85]]
