0: [[2], [10, 4, 14, 3], [6, 12, 7, 5, 13, 11], [9, 8], [15, 18], [19, 17, 16, 20, 1], [22], [21, 23, 24]]
1: [[2], [10, 4, 3], [14, 5, 6], [12, 7, 11], [9, 8, 13], [15, 18], [19, 17, 16, 20, 1], [22], [21, 23, 24]]
2: [[2], [10, 4, 14], [5, 6, 12], [7, 9, 11], [8, 13], [15, 18], [19, 17, 16, 1, 3], [20, 22], [21, 23, 24]]
3: [[2, 10], [4, 14, 5], [6, 12, 3], [7, 9, 11], [8, 13, 15], [18, 19, 17], [16, 20, 22, 1], [21, 23, 24]]
4: [[2], [10, 4, 14], [5], [6, 12, 3], [7, 9, 11], [8, 13, 15], [18, 19, 17], [16, 20, 22, 1], [21, 23, 24]]
5: [[2], [10, 4, 14], [5, 6, 12, 7, 9, 11], [8, 13], [15, 18, 19], [17, 16, 20, 1, 3], [22], [21, 23, 24]]
6: [[2], [10], [4, 14, 5], [6, 12, 7, 11], [9, 8, 13, 1], [15, 18], [19, 17, 16, 3], [20, 22], [21, 23, 24]]
7: [[2], [10, 4, 14], [5, 6], [12, 7, 11], [9, 8, 13, 1], [15, 18, 19], [17, 16, 20, 3], [22, 21, 23, 24]]
8: [[2], [10], [4, 14, 5, 6], [12, 7, 9, 11], [8, 13, 15], [18, 19, 17], [16, 20, 22, 1, 3], [21, 23, 24]]
9: [[2], [10, 4, 3], [14, 5, 6], [12, 7, 9, 8, 11], [13, 15, 18], [19, 17, 16, 20, 1], [22], [21, 23, 24]]
10: [[2, 1], [10, 3], [4, 14], [5, 6], [12, 7, 9, 11], [8, 13, 15], [18, 19, 17, 16], [20], [22, 21, 23, 24]]
11: [[2, 10], [4, 14], [5, 6], [12, 7, 9, 11], [8, 13, 15], [18, 19], [17, 16, 1, 3], [20, 22], [21, 23, 24]]
12: [[2, 10], [4, 14, 5], [6, 12, 3], [7, 9, 11], [8, 13, 15], [18, 19], [17, 16, 20, 1], [22, 21, 23, 24]]
13: [[2], [10, 3], [4, 14, 5], [6, 12], [7, 9, 8, 11], [13, 15, 18], [19, 17], [16, 20, 22, 1], [21, 23, 24]]
14: [[2], [10, 4, 3], [14, 5], [6, 12, 7, 11], [9, 8, 13, 1], [15, 18, 19], [17, 16, 20], [22], [21, 23, 24]]
15: [[2, 10, 4, 3], [14, 5, 6, 12, 7], [9, 8], [13, 15, 18, 19], [17], [16, 20, 22, 11, 1], [21, 23, 24]]
16: [[2], [10, 4, 3], [14, 5], [6, 12, 7, 11], [9, 8, 13, 1], [15, 18, 19], [17, 16], [20, 22], [21, 23, 24]]
17: [[2], [10, 4, 14], [5, 6], [12, 7, 11], [9, 8, 13], [15, 18, 19, 17], [16, 20, 22, 21, 1, 3], [23, 24]]
18: [[2], [10, 4, 3], [14, 5], [6, 12], [7, 9, 11], [8, 13, 15], [18, 19, 17, 16, 20, 1], [22, 21, 23, 24]]
19: [[2], [10, 4, 3], [14, 5], [6, 12, 11], [7, 9, 8, 13, 15, 18, 19, 17, 16, 20, 22, 1], [21, 23, 24]]
20: [[11], [2], [10, 4, 14, 5, 6, 12, 7, 9, 8, 13, 15, 18, 19], [17, 16, 20, 1, 3], [22, 21, 23, 24]]
21: [[2], [10, 4, 3], [14, 5], [6, 12], [7, 9, 8, 11], [13, 15, 18], [19, 17, 16, 1], [20, 22], [21, 23, 24]]
22: [[2], [4, 14, 5, 10], [6, 12, 3], [7, 9, 11], [8, 13], [15, 18], [19, 17], [16, 20, 1], [22, 21], [23, 24]]
23: [[2], [10, 4, 14], [5, 6], [12, 7, 9, 11], [8, 13], [15, 18], [19, 17], [16, 20, 22, 21, 1, 3], [23, 24]]
24: [[2], [10, 4, 14], [5, 6], [12, 7, 11], [9, 8], [13, 15, 18], [19, 17, 16, 1, 3], [20, 22, 21], [23, 24]]
25: [[2], [10], [4, 14, 5], [6, 12, 7, 11], [9, 8, 1], [13, 15], [18, 19], [17, 16, 3], [20, 22], [21, 23, 24]]
26: [[2, 1], [10, 4, 14], [5, 6, 12, 3], [7, 9, 8, 13, 15, 18, 19, 17, 16, 11], [20, 22, 21, 23, 24]]
27: [[2, 1], [10, 4, 14], [5, 6], [12, 7, 11], [9, 8], [13, 15], [18, 19, 17, 16, 3], [20, 22, 21, 23, 24]]
28: [[2], [10, 4, 3], [14, 5, 6], [12, 7, 9, 11], [8, 13], [15, 18], [19, 17, 16, 1], [20, 22, 21], [23, 24]]
