0: [[27], [4, 25, 8], [23, 3, 20, 12, 22], [19, 16, 2], [13, 9, 17, 1], [5, 6], [11, 10], [28, 24], [21, 26], [15, 18, 29, 7, 14]]
1: [[27], [4, 25, 8], [23, 3, 20], [12, 22, 19], [16, 2], [13, 9, 17], [1, 5, 6], [11, 10], [28, 24], [21, 26], [15, 18], [29, 7, 14]]
2: [[27, 4, 25, 8], [23, 3, 20, 12, 22], [19, 16, 2], [17, 9, 13, 1, 5, 6, 11], [28, 10, 24, 21, 26, 15, 18], [29, 7, 14]]
3: [[27, 4, 25, 8], [23, 3, 20, 12, 22], [19, 16, 2], [17, 9, 13, 1, 5, 6, 11], [10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
4: [[27], [4, 25, 8], [23, 3, 20, 12, 22], [19, 16, 2], [13, 9], [17, 1, 5, 6], [11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
5: [[27, 4, 25, 8], [23, 3, 20, 12, 22], [19, 16, 2], [17, 9, 13], [1, 5, 6, 11, 28, 10, 24, 21, 26, 15, 18, 29, 7, 14]]
6: [[27], [4, 25, 8], [23, 3], [20, 22, 18, 19, 16, 2], [13, 9, 17, 1], [5, 6], [11, 10], [28, 24, 21], [26, 15, 12], [29, 7, 14]]
7: [[27, 4], [25, 8, 23], [3, 20, 22], [12, 19, 16], [2, 17], [9, 13, 1], [5, 6, 11, 10], [28, 24], [21, 26], [15, 18, 29], [7, 14]]
8: [[27], [4, 25], [8, 23], [3, 20], [22, 12, 19], [16, 2, 17], [9, 13, 1], [5, 6, 11], [10, 28, 24], [21, 26], [15, 18], [7, 29, 14]]
9: [[27], [4, 25, 8], [23, 3, 20, 22], [19, 16, 12], [2], [13, 9, 17], [1, 5, 6], [11, 10], [28, 24, 21], [26, 15, 18, 29, 7, 14]]
10: [[27, 4, 25, 8], [23], [3, 20, 12], [22, 19, 16, 2, 13, 9], [17, 1, 5, 6, 11], [10, 28], [24, 21, 26, 15, 18, 29, 7, 14]]
11: [[27, 4], [25, 8, 23], [3, 20, 12], [22, 19, 16], [2, 17, 9, 13, 1], [5, 6], [11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
12: [[27], [4, 25, 8], [23, 3], [20, 22, 18, 19, 16, 2], [13, 9, 17, 1], [5, 6], [11, 10, 24, 21, 26, 15, 12], [7, 29, 28, 14]]
13: [[27, 4], [25, 8, 23], [3, 20], [12], [22, 19, 16], [2, 17, 9], [13, 1, 5], [6, 11, 10], [28, 24], [21, 26], [15, 18], [7, 29, 14]]
14: [[27, 4, 25, 8], [23, 3, 20, 12, 22, 19, 16, 2, 17, 9], [13, 1, 5, 6, 11, 10, 28], [24, 21, 26, 15, 18, 29, 7, 14]]
15: [[27], [4, 25, 8], [23, 3, 20], [12, 22, 19, 16, 2, 17], [9, 13, 1, 5, 6, 11, 10], [28, 24, 21, 26, 15, 18, 29, 7, 14]]
16: [[27], [4, 25, 8], [23], [3, 20], [19, 12, 22], [16, 2], [17, 9, 13], [1, 5], [6, 11, 10], [28, 24, 21], [26, 15, 18], [29, 7, 14]]
17: [[27, 4, 25, 8, 23, 3, 20], [12, 22, 19, 16, 2, 17, 9, 13, 1, 5, 6, 11, 10, 28, 24], [21, 26, 15, 18, 29, 7, 14]]
18: [[27], [4, 25, 8], [23, 3, 20, 12, 22], [19, 16], [2, 17, 9], [13, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
19: [[27], [4, 25, 8, 23, 3], [20, 12, 22, 19, 16, 2, 17, 9], [13, 1, 5, 6, 11, 10, 28], [24, 21, 26, 15, 18, 29, 7, 14]]
20: [[27, 4], [25, 8, 23, 3], [20, 22, 12], [19, 16, 2], [17, 9, 13], [1, 5, 6], [11, 10], [28, 24, 21], [26, 15], [18, 29, 7, 14]]
21: [[27, 4, 8], [25, 23], [3, 20, 22], [18, 19, 16], [2, 13, 9], [17, 1], [5, 6], [11, 10], [28, 24, 21], [26, 15, 12], [29, 7, 14]]
22: [[27], [4, 25, 8], [23, 3, 20, 12, 22, 19], [16, 2, 17, 9], [13, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15], [18, 29, 7, 14]]
23: [[27, 4, 25, 8, 23, 3], [20, 12, 22, 19, 16, 2], [17, 9], [13, 1, 5, 6], [11, 10, 28], [24, 21, 26, 15, 18, 29, 7, 14]]
24: [[27, 4, 25, 8, 23, 3, 20], [12, 22, 19, 16, 2, 17, 9, 13], [1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 7, 29, 14]]
25: [[27, 4, 25, 8, 23, 3], [20, 22, 19, 16, 2, 14], [13, 9, 17], [1, 5, 6], [11, 10], [28, 24, 21], [26, 15, 18, 29], [7, 12]]
26: [[27, 4], [25, 8, 23], [3, 20, 12, 22, 19], [16, 2, 13], [9, 17, 1, 5], [6, 11, 10, 28, 24], [21, 26, 15], [18, 29, 7, 14]]
27: [[27], [4, 25, 8], [23, 3, 20], [22, 12, 19, 16, 2, 17, 9, 13, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
28: [[27], [4, 25, 8], [23, 3, 20], [12, 22, 19], [16, 2, 17, 9, 13, 1, 5, 6, 11, 10, 28, 24, 21, 26, 15, 18, 29, 7, 14]]
29: [[27], [4, 25], [8, 23], [3, 20], [12, 19], [22, 16, 2], [17, 9, 1], [13, 5], [6, 11, 10], [28, 24], [21, 26, 15, 18, 29, 7, 14]]
30: [[27], [4, 25, 8], [23, 3, 20], [12, 22], [19, 16], [2, 13], [9, 17, 1, 5], [6, 11, 10], [28, 24, 21, 26, 15, 18, 29, 7, 14]]
